label,count,parent,id
games,1,which/cup,which/cup/games
steinar,1,did,did/steinar
strømnes,1,did/steinar,did/steinar/strømnes
or,1,which/cup,which/cup/or
runs,9,how/many,how/many/runs
comps,1,how/many,how/many/comps
elevated,2,who/had,who/had/elevated
higher,5,who/had,who/had/higher
associated,2,what/was,what/was/associated
behavior,1,which,which/behavior
was,1,which/behavior,which/behavior/was
was,791,who,who/was
the,611,who/was,who/was/the
accounted,3,what,what/accounted
for,3,what/accounted,what/accounted/for
contributed,1,what,what/contributed
the,1,what/contributed,what/contributed/the
has,1,which/sex,which/sex/has
di,1,which/club,which/club/di
female,1,how/many,how/many/female
it,4,when/was,when/was/it
had,1,when,when/had
a,1,when/had,when/had/a
got,10,who,who/got
a,2,who/got,who/got/a
had,19,which/year,which/year/had
municipalities,3,which,which/municipalities
were,2,which/municipalities,which/municipalities/were
did,9,how/many,how/many/did
municipality,6,which,which/municipality
was,1,which/municipality,which/municipality/was
steve,2,did,did/steve
fox,1,did/steve,did/steve/fox
years,118,how/many,how/many/years
single,11,which,which/single
did,4,which/single,which/single/did
days,14,how/many,how/many/days
metres,5,how/many,how/many/metres
competition,30,which,which/competition
did,7,which/competition,which/competition/did
division,28,which,which/division
did,22,which/division,which/division/did
apperances,3,how/many,how/many/apperances
votes,77,how/many,how/many/votes
who,1,which/sex,which/sex/who
song,28,which,which/song
was,8,which/song,which/song/was
alexander,2,did,did/alexander
finish,2,did/alexander,did/alexander/finish
two,81,which,which/two
occupations,3,which/two,which/two/occupations
classes,1,how/many,how/many/classes
deni,2,which,which/deni
hines,2,which/deni,which/deni/hines
kilograms,6,how/many,how/many/kilograms
maldonado,1,did,did/maldonado
join,1,did/maldonado,did/maldonado/join
matches,36,how/many,how/many/matches
where,515,,where
did,163,where,where/did
torres,1,where/did,where/did/torres
residents,6,how/many,how/many/residents
the,20,where,where/the
share,3,where/the,where/the/share
juan,1,did,did/juan
manuel,1,did/juan,did/juan/manuel
mush,1,how,how/mush
was,1,how/mush,how/mush/was
comparatively,2,which/is,which/is/comparatively
grainger,1,did,did/grainger
play,1,did/grainger,did/grainger/play
rank,20,which,which/rank
has,13,which/rank,which/rank/has
times,2,how/much,how/much/times
different,50,how/many,how/many/different
hjulmand,1,when/did,when/did/hjulmand
had,2,how/much,how/much/had
miguel,1,when/did,when/did/miguel
more,3,are,are/more
likely,2,are/more,are/more/likely
oregon,1,what/was,what/was/oregon
includes,2,which,which/includes
those,1,which/includes,which/includes/those
percentage,1,what/is,what/is/percentage
types,7,what,what/types
of,7,what/types,what/types/of
caused,3,what,what/caused
the,2,what/caused,what/caused/the
sells,2,which,which/sells
more,2,which/sells,which/sells/more
have,6,which,which/have
a,4,which/have,which/have/a
produce,2,which,which/produce
more,2,which/produce,which/produce/more
goeloe,1,what/was,what/was/goeloe
rose,2,what/was,what/was/rose
period,5,which/age,which/age/period
was,69,how,how/was
the,34,how/was,how/was/the
province,6,in/which,in/which/province
registered,5,how/many,how/many/registered
s,7,which/gender,which/gender/s
cotto,1,what/is,what/is/cotto
william,1,did,did/william
robertson,1,did/william,did/william/robertson
time,2,what/the,what/the/time
season,58,which,which/season
was,5,which/season,which/season/was
arrived,1,which,which/arrived
years,1,which/arrived,which/arrived/years
immigrant,3,which,which/immigrant
category,1,which/immigrant,which/immigrant/category
intended,1,which,which/intended
region,1,which/intended,which/intended/region
a,16,what/was,what/was/a
gary,1,did,did/gary
pollard,1,did/gary,did/gary/pollard
group,2,which/gender,which/gender/group
had,16,which/province,which/province/had
with,1,which/province,which/province/with
wins,41,how/many,how/many/wins
losses,14,how/many,how/many/losses
event,27,which,which/event
was,4,which/event,which/event/was
firm,4,which,which/firm
structure,1,which/firm,which/firm/structure
percentage,31,what/the,what/the/percentage
bicaj,1,did,did/bicaj
play,1,did/bicaj,did/bicaj/play
number,5,what/the,what/the/number
iraqis,3,how/many,how/many/iraqis
premier,2,how/many,how/many/premier
sellers,1,did,did/sellers
join,1,did/sellers,did/sellers/join
was,10,which/league,which/league/was
bert,1,did,did/bert
gosnell,1,did/bert,did/bert/gosnell
adamyan,1,did,did/adamyan
made,1,did/adamyan,did/adamyan/made
agricultural,10,which,which/agricultural
region,10,which/agricultural,which/agricultural/region
of,27,which/sector,which/sector/of
gap,1,which,which/gap
years,1,which/gap,which/gap/years
belonged,1,is,is/belonged
to,1,is/belonged,is/belonged/to
log,2,how/many,how/many/log
people,149,how/many,how/many/people
numbers,17,how/many,how/many/numbers
professionals,4,how/many,how/many/professionals
childhood,1,what/was,what/was/childhood
total,4,what/the,what/the/total
average,2,what/the,what/the/average
rate,8,what/the,what/the/rate
broad,2,which,which/broad
field,2,which/broad,which/broad/field
visible,2,which,which/visible
minority,2,which/visible,which/visible/minority
not,8,who/were,who/were/not
regions,3,which,which/regions
have,1,which/regions,which/regions/have
english,1,are,are/english
language,1,are/english,are/english/language
were,19,where,where/were
immigrants,3,where/were,where/were/immigrants
combined,7,how/many,how/many/combined
tackles,3,how/many,how/many/tackles
two,24,in/which,in/which/two
was,10,which/gender,which/gender/was
three,2,in/which,in/which/three
15,1,who/were,who/were/15
much,8,is,is/much
higher,8,is/much,is/much/higher
billion,8,how/many,how/many/billion
location,30,which,which/location
had,4,which/location,which/location/had
adults,11,how/many,how/many/adults
the,8,how/many,how/many/the
rates,6,how/much,how/much/rates
admissions,1,is/the,is/the/admissions
points,1,what/percentage,what/percentage/points
league,21,what,what/league
matches,1,what/league,what/league/matches
charles,1,did,did/charles
sims,1,did/charles,did/charles/sims
had,16,which,which/had
a,8,which/had,which/had/a
population,5,which,which/population
has,3,which/population,which/population/has
top,4,which,which/top
4,1,which/top,which/top/4
has,9,which/sector,which/sector/has
police,15,how/many,how/many/police
full,5,how/many,how/many/full
provincial,1,is/the,is/the/provincial
patrick,2,when/did,when/did/patrick
being,2,are,are/being
supervised,2,are/being,are/being/supervised
in,6,are,are/in
either,1,are/in,are/in/either
adult,2,how/many,how/many/adult
custody,1,are/in,are/in/custody
provincial,1,are/in,are/in/provincial
federal,1,are/in,are/in/federal
provinces,5,how/many,how/many/provinces
offenders,1,how/many,how/many/offenders
rate,19,is/the,is/the/rate
number,1,is,is/number
of,1,is/number,is/number/of
largest,4,is/the,is/the/largest
institutional,2,is/the,is/the/institutional
said,1,who,who/said
they,1,who/said,who/said/they
witnessed,1,who,who/witnessed
no,1,who/witnessed,who/witnessed/no
jupp,1,when/did,when/did/jupp
of,2,which/source,which/source/of
industry,5,which,which/industry
has,1,which/industry,which/industry/has
class,2,which/immigrant,which/immigrant/class
proportion,16,what,what/proportion
of,14,what/proportion,what/proportion/of
gourp,3,which,which/gourp
of,1,which/gourp,which/gourp/of
matches,2,what,what/matches
did,2,what/matches,what/matches/did
least,1,is,is/least
likely,1,is/least,is/least/likely
operating,2,which,which/operating
arrangement,2,which/operating,which/operating/arrangement
of,52,how/many,how/many/of
women,9,how/many,how/many/women
or,1,which/provinces,which/provinces/or
the,111,when,when/the
new,1,when/the,when/the/new
skipped,2,who,who/skipped
meals,2,who/skipped,who/skipped/meals
in,2,which/province,which/province/in
main,4,which,which/main
industrial,2,which/main,which/main/industrial
workplace,2,which,which/workplace
size,2,which/workplace,which/workplace/size
ranked,1,which/sectors,which/sectors/ranked
percentatge,1,how/many,how/many/percentatge
louis,2,what/was,what/was/louis
the,32,are,are/the
lfpr,1,are/the,are/the/lfpr
proportion,1,are/the,are/the/proportion
has,41,which/country,which/country/has
satisfied,1,who/were,who/were/satisfied
occupational,1,which,which/occupational
group,1,which/occupational,which/occupational/group
badhri,1,did,did/badhri
move,1,did/badhri,did/badhri/move
passes,4,how/many,how/many/passes
had,6,which/gender,which/gender/had
35,1,where,where/35
of,1,where/35,where/35/of
lowest,1,is,is/lowest
and,1,is/lowest,is/lowest/and
highest,1,is,is/highest
and,1,is/highest,is/highest/and
five,1,did,did/five
federal,1,did/five,did/five/federal
88,1,where,where/88
of,1,where/88,where/88/of
provinces,1,what/the,what/the/provinces
high,1,did,did/high
hispanic,1,did/high,did/high/hispanic
an,1,where,where/an
administration,1,where/an,where/an/administration
cases,2,did,did/cases
involving,1,did/cases,did/cases/involving
failure,1,where,where/failure
to,1,where/failure,where/failure/to
charged,1,did/cases,did/cases/charged
instances,1,did,did/instances
of,1,did/instances,did/instances/of
was,4,which/sex,which/sex/was
has,12,which/group,which/group/has
recorded,4,which/province,which/province/recorded
admissions,2,how/many,how/many/admissions
per,2,what/were,what/were/per
custodial,1,what/was,what/was/custodial
community,1,what/was,what/was/community
youth,12,how/many,how/many/youth
jurisdictions,2,how/many,how/many/jurisdictions
education,7,which,which/education
level,4,which/education,which/education/level
participation,1,is,is/participation
rate,1,is/participation,is/participation/rate
field,3,in/which,in/which/field
participation,1,is/the,is/the/participation
top,3,did/the,did/the/top
or,4,which/province,which/province/or
or,1,what/cups,what/cups/or
first,12,how/many,how/many/first
mnay,4,how,how/mnay
percentage,1,how/mnay,how/mnay/percentage
sacked,2,how/many,how/many/sacked
ages,1,which/group,which/group/ages
is,486,who,who/is
more,4,who/is,who/is/more
less,2,who/is,who/is/less
likely,6,who/is,who/is/likely
place,27,which,which/place
rc,1,which/place,which/place/rc
wake,1,when/did,when/did/wake
employment,1,who/received,who/received/employment
served,1,which,which/served
a,1,which/served,which/served/a
municipal,3,how/many,how/many/municipal
percentage,10,how/much,how/much/percentage
city,33,which,which/city
reported,1,which/city,which/city/reported
basic,1,did,did/basic
research,1,did/basic,did/basic/research
has,69,who,who/has
a,15,who/has,who/has/a
identified,1,who/were,who/were/identified
living,1,who,who/living
in,1,who/living,who/living/in
reported,8,who,who/reported
employment,2,who/reported,who/reported/employment
were,1,who/is,who/is/were
three,14,which,which/three
places,2,which/three,which/three/places
in,3,which/place,which/place/in
less,1,how/many,how/many/less
places,1,which/two,which/two/places
canada,1,how/many,how/many/canada
csis,4,how/many,how/many/csis
seven,1,which,which/seven
cmas,1,which/seven,which/seven/cmas
hospitalized,1,who/were,who/were/hospitalized
inpatient,5,who/received,who/received/inpatient
study,3,which,which/study
field,2,which/study,which/study/field
relied,2,who,who/relied
on,2,who/relied,who/relied/on
net,8,how/many,how/many/net
recorded,4,which/place,which/place/recorded
maany,1,how,how/maany
net,1,how/maany,how/maany/net
earnings,1,who/have,who/have/earnings
reason,1,which,which/reason
was,1,which/reason,which/reason/was
scioscia,1,when/did,when/did/scioscia
are,5,which/sex,which/sex/are
is,2,which/type,which/type/is
alus,1,how/many,how/many/alus
ilus,1,how/many,how/many/ilus
ict,2,did,did/ict
industries,2,did/ict,did/ict/industries
was,7,which/album,which/album/was
did,29,which/year,which/year/did
final,1,is/the,is/the/final
characteristics,6,which,which/characteristics
of,5,which/characteristics,which/characteristics/of
by,95,,by
what,62,by,by/what
percentage,34,by/what,by/what/percentage
family,2,which,which/family
type,1,which/family,which/family/type
was,6,which/group,which/group/was
income,11,which,which/income
group,1,which/income,which/income/group
hadn,1,who,who/hadn
t,1,who/hadn,who/hadn/t
points,105,how/many,how/many/points
their,1,who/experienced,who/experienced/their
so,1,did,did/so
for,1,did/so,did/so/for
decedents,1,which,which/decedents
had,1,which/decedents,which/decedents/had
were,1,which/two,which/two/were
aboriginal,6,how/many,how/many/aboriginal
property,1,which/includes,which/includes/property
females,2,did,did/females
account,2,did/females,did/females/account
members,10,how/many,how/many/members
male,1,who/was,who/was/male
relationship,2,which,which/relationship
were,2,which/relationship,which/relationship/were
intoxicating,1,which,which/intoxicating
substance,1,which/intoxicating,which/intoxicating/substance
accused,1,which,which/accused
previous,1,which/accused,which/accused/previous
u,2,how/many,how/many/u
count,2,is/the,is/the/count
feeding,1,which,which/feeding
history,1,which/feeding,which/feeding/history
only,1,who/were,who/were/only
breastfeeding,1,which,which/breastfeeding
duration,1,which/breastfeeding,which/breastfeeding/duration
very,1,who/reported,who/reported/very
new,1,when/did,when/did/new
both,1,which,which/both
custody,1,which/both,which/both/custody
proportion,2,what/the,what/the/proportion
adult,1,did,did/adult
correctional,1,did/adult,did/adult/correctional
jobs,2,how/many,how/many/jobs
neet,2,did/the,did/the/neet
talked,1,who/had,who/had/talked
made,1,who/had,who/had/made
are,61,who,who/are
more,5,who/are,who/are/more
consulted,1,who,who/consulted
an,1,who/consulted,who/consulted/an
lifetime,1,who/reported,who/reported/lifetime
percentages,9,what,what/percentages
are,1,what/percentages,what/percentages/are
did,2,what/percentages,what/percentages/did
walk,1,who,who/walk
alone,1,who/walk,who/walk/alone
walking,1,when,when/walking
alone,1,when/walking,when/walking/alone
estimated,1,are,are/estimated
to,1,are/estimated,are/estimated/to
weight,1,which,which/weight
category,1,which/weight,which/weight/category
thought,1,who,who/thought
that,1,who/thought,who/thought/that
s,1,which/group,which/group/s
that,2,who/reported,who/reported/that
born,2,who/were,who/were/born
greater,1,who/had,who/had/greater
would,3,who,who/would
have,1,who/would,who/would/have
method,3,what,what/method
produces,1,what/method,what/method/produces
internet,1,who/had,who/had/internet
less,3,who/had,who/had/less
school,30,which,which/school
had,4,which/school,which/school/had
was,2,which/school,which/school/was
played,6,which,which/played
the,1,which/played,which/played/the
did,2,which/group,which/group/did
trillion,1,how/many,how/many/trillion
percentgae,2,what/was,what/was/percentgae
incidents,16,how/many,how/many/incidents
was,14,how/much,how/much/was
linda,1,which,which/linda
ronstadt,1,which/linda,which/linda/ronstadt
grams,8,how/many,how/many/grams
experienced,1,who/had,who/had/experienced
15,1,how/many,how/many/15
hhe,1,did,did/hhe
institutions,1,did/hhe,did/hhe/institutions
percnet,4,how/many,how/many/percnet
international,7,how/many,how/many/international
the,2,are/under,are/under/the
margin,1,is/the,is/the/margin
first,2,who,who/first
obtained,2,who/first,who/first/obtained
transition,2,is/the,is/the/transition
came,22,who,who/came
to,3,who/came,who/came/to
completed,5,who,who/completed
at,2,who/completed,who/completed/at
proportion,8,is/the,is/the/proportion
became,11,who,who/became
permanent,2,who/became,who/became/permanent
males,1,which/place,which/place/males
females,1,which/place,which/place/females
more,1,who/was,who/was/more
not,16,did,did/not
belong,5,did/not,did/not/belong
wre,2,who,who/wre
more,2,who/wre,who/wre/more
landed,4,who,who/landed
in,2,who/landed,who/landed/in
over,1,who/landed,who/landed/over
they,19,did,did/they
account,2,did/they,did/they/account
less,5,which/is,which/is/less
is,5,which/sex,which/sex/is
less,1,which/was,which/was/less
higher,1,which/is,which/is/higher
minutes,6,how/many,how/many/minutes
their,1,who/completed,who/completed/their
field,1,are,are/field
of,1,are/field,are/field/of
of,10,how/much,how/much/of
people,2,how/mnay,how/mnay/people
lived,6,who,who/lived
with,3,who/lived,who/lived/with
their,6,what/was,what/was/their
regular,5,how/many,how/many/regular
gang,1,how/many,how/many/gang
firearm,5,did,did/firearm
related,5,did/firearm,did/firearm/related
more,34,how/many,how/many/more
federally,2,did,did/federally
funded,2,did/federally,did/federally/funded
other,2,when,when/other
factors,2,when/other,when/other/factors
wast,1,what,what/wast
the,1,what/wast,what/wast/the
bilingual,1,which,which/bilingual
youth,1,which/bilingual,which/bilingual/youth
schools,6,which,which/schools
were,2,which/schools,which/schools/were
average,1,which/schools,which/schools/average
had,3,which/schools,which/schools/had
private,1,did,did/private
school,1,did/private,did/private/school
has,1,which/gender,which/gender/has
she,1,when/did,when/did/she
seats,47,how/many,how/many/seats
lloyd,1,when/did,when/did/lloyd
was,2,which/type,which/type/was
team,182,which,which/team
did,34,which/team,which/team/did
employees,5,how/many,how/many/employees
paid,1,which/was,which/was/paid
federal,1,did/the,did/the/federal
transmitted,1,is,is/transmitted
as,1,is/transmitted,is/transmitted/as
property,1,where,where/property
values,1,where/property,where/property/values
was,16,which/year,which/year/was
lowest,1,which/were,which/were/lowest
first,1,did,did/first
nations,1,did/first,did/first/nations
ther,2,what/was,what/was/ther
considering,2,when,when/considering
crime,1,when/considering,when/considering/crime
recorded,3,which/cma,which/cma/recorded
reported,5,which/cma,which/cma/reported
for,1,how/many,how/many/for
posted,2,which/sector,which/sector/posted
posted,2,which/province,which/province/posted
new,2,are,are/new
to,1,are/new,are/new/to
only,1,are/new,are/new/only
need,2,which/province,which/province/need
spend,2,who,who/spend
less,1,who/spend,who/spend/less
less,1,who/are,who/are/less
more,1,who/spend,who/spend/more
places,4,in/which,in/which/places
witnessed,1,which/regions,which/regions/witnessed
witnessed,1,which/region,which/region/witnessed
s,6,did/federal,did/federal/s
entry,3,how/much,how/much/entry
during,1,which/group,which/group/during
average,2,how/much,how/much/average
policing,1,is/the,is/the/policing
marks,1,which/year,which/year/marks
police,1,which,which/police
service,1,which/police,which/police/service
largest,1,where/the,where/the/largest
highest,1,where/the,where/the/highest
can,4,where,where/can
the,4,where/can,where/can/the
would,1,which/year,which/year/would
would,6,how/much,how/much/would
increase,2,how/much,how/much/increase
more,5,how/much,how/much/more
kind,54,what,what/kind
of,53,what/kind,what/kind/of
lower,2,how/much,how/much/lower
negative,1,which,which/negative
gap,1,which/negative,which/negative/gap
difference,2,which,which/difference
in,2,which/difference,which/difference/in
positive,1,how/much,how/much/positive
associated,1,which/was,which/was/associated
found,1,who/were,who/were/found
for,1,which/was,which/was/for
casualties,3,how/many,how/many/casualties
have,1,which/group,which/group/have
does,5,which/country,which/country/does
countries,15,which,which/countries
are,3,which/countries,which/countries/are
women,5,which,which/women
age,2,which/women,which/women/age
men,1,which,which/men
age,1,which/men,which/men/age
interprovincial,4,how/many,how/many/interprovincial
do,2,how/much,how/much/do
provinces,1,in/which,in/which/provinces
characteristic,4,which,which/characteristic
is,4,which/characteristic,which/characteristic/is
marital,3,which,which/marital
status,3,which/marital,which/marital/status
cultural,4,which,which/cultural
or,4,which/cultural,which/cultural/or
identity,1,which,which/identity
is,1,which/identity,which/identity/is
viewers,12,how/many,how/many/viewers
wsa,2,what,what/wsa
the,2,what/wsa,what/wsa/the
a,6,what/is,what/is/a
percentages,23,how/many,how/many/percentages
women,1,did,did/women
and,1,did/women,did/women/and
u,1,did,did/u
s,1,did/u,did/u/s
contestant,1,what/was,what/was/contestant
milla,1,when/did,when/did/milla
borrowed,1,is,is/borrowed
gendar,1,which,which/gendar
borrows,1,which/gendar,which/gendar/borrows
acres,21,how/many,how/many/acres
satisfied,2,are,are/satisfied
satisfied,2,are/satisfied,are/satisfied/satisfied
neighbourhood,2,what/the,what/the/neighbourhood
are,1,which/group,which/group/are
inhabitants,5,how/many,how/many/inhabitants
sense,1,which,which/sense
of,1,which/sense,which/sense/of
cdsa,2,how/many,how/many/cdsa
cdsa,1,did,did/cdsa
and,1,did/cdsa,did/cdsa/and
continued,1,which,which/continued
to,1,which/continued,which/continued/to
made,1,which/year,which/year/made
earned,7,who,who/earned
a,1,who/earned,who/earned/a
reported,1,where,where/reported
the,1,where/reported,where/reported/the
revenues,4,are,are/revenues
per,4,are/revenues,are/revenues/per
the,6,which/had,which/had/the
reported,1,which/year,which/year/reported
milliond,1,how/many,how/many/milliond
million,1,which,which/million
dollars,1,which/million,which/million/dollars
variable,1,which,which/variable
had,1,which/variable,which/variable/had
identified,1,who,who/identified
as,1,who/identified,who/identified/as
being,2,who/reported,who/reported/being
identified,1,what/percentage,what/percentage/identified
had,1,what/percentage,what/percentage/had
rate,1,in/what,in/what/rate
clubs,8,what,what/clubs
was,1,what/clubs,what/clubs/was
debuted,1,which/club,which/club/debuted
large,1,which/reported,which/reported/large
also,2,is,is/also
noteworthy,1,is/also,is/also/noteworthy
would,2,what/percentage,what/percentage/would
unchanged,1,is,is/unchanged
since,1,is/unchanged,is/unchanged/since
industries,2,which,which/industries
did,2,which/industries,which/industries/did
had,1,which/industry,which/industry/had
business,1,which,which/business
sector,1,which/business,which/business/sector
seh,2,how/many,how/many/seh
kevin,2,did,did/kevin
bartlett,1,did/kevin,did/kevin/bartlett
type,59,what,what/type
of,49,what/type,what/type/of
revenue,2,which,which/revenue
class,2,which/revenue,which/revenue/class
worse,1,did/the,did/the/worse
field,2,which,which/field
of,1,which/field,which/field/of
estimated,1,is,is/estimated
increase,1,is/estimated,is/estimated/increase
of,6,which/album,which/album/of
accused,1,are,are/accused
of,1,are/accused,are/accused/of
te,1,what/is,what/is/te
related,1,are,are/related
to,1,are/related,are/related/to
