question,answer,table,Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities
"Which two singles did Kylie Minogue release off the Kiss Me Once album, and what year were they released?","In 2014, Kylie Minogue released the singles, Into the Blue, and I Was Gonna Cancel from her studio album, Kiss Me Once.","[Wikipedia page title:Kylie Minogue singles discography; Wikipedia section title:2010s; ] [TAB] | Title | Year | Peak chart positions | Peak chart positions | Peak chart positions | Peak chart positions | Peak chart positions | Peak chart positions | Peak chart positions | Peak chart positions | Peak chart positions | Peak chart positions | Sales | Certifications | Album | [SEP] | Title | Year | AUS | AUT | FRA | GER | IRE | NZ | SWI | UK | US | US Dance | Sales | Certifications | Album | [SEP] | ""All the Lovers"" | 2010 | 13 | 5 | 3 | 10 | 6 | — | 6 | 3 | — | 1 | UK: 383,000 | AUS: Gold UK: Gold ITA: Gold | Aphrodite | [SEP] | ""Get Outta My Way"" | 2010 | 69 | 61 | 29 | 41 | 33 | — | 61 | 12 | — | 1 | UK: 100,000 US: 66,000 | - | Aphrodite | [SEP] | ""Better than Today"" | 2010 | 55 | — | 63 | — | — | — | — | 32 | — | 1 | - | - | Aphrodite | [SEP] | ""Put Your Hands Up (If You Feel Love)"" | 2011 | 50 | 38 | — | — | — | — | — | 93 | — | 1 | - | - | Aphrodite | [SEP] | ""Timebomb"" | 2012 | 12 | 58 | 46 | 56 | 26 | 33 | — | 31 | — | 1 | - | ITA: Gold | K25 Time Capsule | [SEP] | ""Flower"" | 2012 | — | — | — | — | — | — | — | 96 | — | — | - | - | The Abbey Road Sessions | [SEP] | ""Limpido"" (with Laura Pausini) | 2013 | — | — | — | — | — | — | 66 | — | — | — | - | ITA: Gold | 20 - The Greatest Hits | [SEP] | ""Into the Blue"" | 2014 | 46 | 37 | 47 | 31 | 9 | — | 32 | 12 | — | 1 | AUS: 3,832 | - | Kiss Me Once | [SEP] | ""I Was Gonna Cancel"" | 2014 | — | — | — | — | — | — | — | 59 | — | 5 | - | - | Kiss Me Once | [SEP] | ""Crystallize"" | 2014 | — | — | 139 | — | 88 | — | — | 60 | — | — | - | - | Non-album single | [SEP] | ""Only You"" (with James Corden) | 2015 | — | — | — | — | — | — | — | 155 | — | — | - | - | Kylie Christmas | [SEP] | ""100 Degrees"" (with Dannii Minogue) | 2015 | — | — | — | — | — | — | — | — | — | — | - | - | Kylie Christmas | [SEP] | ""Every Day's Like Christmas"" | 2015 | — | — | — | — | — | — | — | — | — | — | - | - | Kylie Christmas | [SEP] | ""At Christmas"" | 2016 | — | — | — | — | — | — | — | — | — | — | - | - | Kylie Christmas: Snow Queen Edition | [SEP] | ""Wonderful Christmastime"" (with Mika) | 2016 | — | — | — | — | — | — | — | — | — | — | - | - | Kylie Christmas: Snow Queen Edition | [SEP] | ""Dancing"" | 2018 | 46 | — | 23 | 71 | — | — | — | 38 | — | 1 | UK: 64,609 | AUS: Gold | Golden | [SEP] | ""Stop Me from Falling"" | 2018 | — | — | 111 | — | — | — | — | 52 | — | — | - | - | Golden | [SEP] | ""Golden"" | 2018 | — | — | — | — | — | — | — | — | — | — | - | - | Golden | [SEP] | ""A Lifetime to Repair"" | 2018 | — | — | — | — | — | — | — | — | — | — | - | - | Golden | [SEP] | ""Music's Too Sad Without You"" (with Jack Savoretti) | 2018 | — | — | — | — | — | — | — | — | — | — | - | - | Golden | [SEP] | ""Sincerely Yours"" | 2018 | — | — | — | — | — | — | — | — | — | — | - | - | Golden | [SEP] | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. | ""—"" denotes a title that did not chart, or was not released in that territory. |",Media and Entertainment,0.9474,Culture,0.7743,Art,0.5571,"Kiss Me Once, 2014, Kylie Minogue, two, the Kiss Me Once, Cancel"
How did Le Brocq make his debut in the Supercars Championship in 2015?,Le Brocq made his debut in the Supercars Championship in 2015 with Erebus Motorsport in Mercedes-Benz E63 AMG.,[Wikipedia page title:Jack Le Brocq; Wikipedia section title:Career results; ] [TAB] | Season | Series | Position | Car | Team | [SEP] | 2010 | Australian Formula Ford Championship | 13th | Spectrum 011c | CAMS Rising Stars/Minda Motorsport | [SEP] | 2011 | Australian Formula Ford Championship | 2nd | Mygale SJ11a | CAMS Rising Stars/Minda Motorsport | [SEP] | 2012 | Australian Formula Ford Championship | 1st | Mygale SJ12A | CAMS Rising Stars/Minda Motorsport | [SEP] | 2013 | Australian GT Championship | 9th | Mercedes-Benz SLS AMG GT3 | Erebus Motorsport | [SEP] | 2014 | Dunlop V8 Supercar Series | 13th | Ford FG Falcon | Image Racing | [SEP] | 2015 | V8 Supercars Dunlop Series | 3rd | Ford FG Falcon | MW Motorsport | [SEP] | 2015 | International V8 Supercars Championship | 51st | Mercedes-Benz E63 AMG | Erebus Motorsport | [SEP] | 2016 | Supercars Dunlop Series | 2nd | Ford FG X Falcon | Prodrive Racing Australia | [SEP] | 2016 | International V8 Supercars Championship | 46th | Ford FG X Falcon | Prodrive Racing Australia | [SEP] | 2017 | Dunlop Super2 Series | 3rd | Nissan Altima L33 | MW Motorsport | [SEP] | 2017 | Virgin Australia Supercars Championship | 36th | Nissan Altima L33 | Nissan Motorsport | [SEP] | 2018 | Virgin Australia Supercars Championship | 19th | Holden ZB Commodore | Tekno Autosports |,Sports,0.9223,Culture,0.4006,Media and Entertainment,0.1508,"Erebus Motorsport, Le Brocq, 2015, the Supercars Championship, Mercedes-Benz E63 AMG"
Who released the album Psykosoul and what were the singles off of that album?,"Sy Smith released her first album Psykosoul, which spawned the singles Gladly and Good N Strong.","[Wikipedia page title:Sy Smith discography; Wikipedia section title:Singles; ] [TAB] | Year | Title | Chart positions | Chart positions | Album | [SEP] | Year | Title | U.S. R&B | Hot Adult R&B | Album | [SEP] | 1999 | ""Gladly"" | 79 | — | Psykosoul | [SEP] | 2000 | ""Good N Strong"" | — | — | Psykosoul | [SEP] | 2005 | ""Fa'Sho"" | — | — | The Syberspace Social | [SEP] | 2008 | ""Fly Away With Me"" | — | 38 | Conflict | [SEP] | 2010 | ""Truth"" | — | — | Fast and Curious | [SEP] | 2011 | ""Teena (Lovergirl Syberized)"" | — | — | Fast and Curious | [SEP] | 2012 | ""Nights (Feel Like Getting Down)"" | — | — | - | [SEP] | 2015 | ""When I Think of You"" | — | — | When I Think of You - single | [SEP] | ""—"" denotes items which were not released in that country or failed to chart. | ""—"" denotes items which were not released in that country or failed to chart. | ""—"" denotes items which were not released in that country or failed to chart. | ""—"" denotes items which were not released in that country or failed to chart. | ""—"" denotes items which were not released in that country or failed to chart. |",Media and Entertainment,0.8527,Art,0.5464,Culture,0.4281,"Gladly, Smith, first, Psykosoul"
"in 2016, how many yards did dan raudabaugh throw for?",4303.0,"[Table caption:statistics; ] [TAB] | year | team | passing | passing | passing | passing | passing | passing | passing | rushing | rushing | rushing | [SEP] | year | team | cmp | att | pct | yds | td | int | rtg | att | yds | td | [SEP] | 2010 | dallas | 31 | 46 | 67.4 | 442 | 10 | 1 | 128.80 | 2 | 2 | 0 | [SEP] | 2011 | dallas | 360 | 557 | 64.6 | 4,741 | 90 | 17 | 118.27 | 15 | 8 | 0 | [SEP] | 2012 | philadelphia | 362 | 540 | 67.0 | 4,790 | 115 | 18 | 120.60 | 13 | 6 | 2 | [SEP] | 2013 | philadelphia | 390 | 573 | 68.1 | 4,699 | 96 | 14 | 122.37 | 9 | 18 | 0 | [SEP] | 2014 | philadelphia | 363 | 562 | 64.6 | 4,328 | 85 | 18 | 112.46 | 5 | 17 | 0 | [SEP] | 2015 | philadelphia | 411 | 620 | 66.3 | 4,995 | 119 | 12 | 122.41 | 4 | 15 | 1 | [SEP] | 2016 | philadelphia | 339 | 490 | 69.2 | 4,303 | 101 | 13 | 124.86 | 1 | 3 | 0 | [SEP] | 2017 | philadelphia | 243 | 365 | 66.6 | 3,175 | 82 | 10 | 121.97 | 3 | 12 | 1 | [SEP] | 2018 | philadelphia | 145 | 209 | 69.4 | 1,728 | 36 | 6 | 121.97 | 5 | 0 | 0 | [SEP] | career | career | 2,644 | 3,962 | 66.7 | 33,201 | 734 | 109 | 120.73 | 57 | 23 | 4 |",Sports,0.9129,Culture,0.1439,Society,0.084,"dan, 4303.0, 2016"
how many games in total did jeff fisher lose during the regular-season?,165.0,[Table caption:head coaching record; ] [TAB] | team | year | regular season | regular season | regular season | regular season | regular season | post season | post season | post season | post season | [SEP] | team | year | won | lost | ties | win % | finish | won | lost | win % | result | [SEP] | hou | 1994 | 1 | 5 | 0 | .167 | 4th in afc central | - | - | - | - | [SEP] | hou | 1995 | 7 | 9 | 0 | .438 | 3rd in afc central | - | - | - | - | [SEP] | hou | 1996 | 8 | 8 | 0 | .500 | 4th in afc central | - | - | - | - | [SEP] | tno | 1997 | 8 | 8 | 0 | .500 | 3rd in afc central | - | - | - | - | [SEP] | tno | 1998 | 8 | 8 | 0 | .500 | 2nd in afc central | - | - | - | - | [SEP] | ten | 1999 | 13 | 3 | 0 | .813 | 2nd in afc central | 3 | 1 | .750 | lost to st. louis rams in super bowl xxxiv | [SEP] | ten | 2000 | 13 | 3 | 0 | .813 | 1st in afc central | 0 | 1 | .000 | lost to baltimore ravens in afc divisional game | [SEP] | ten | 2001 | 7 | 9 | 0 | .438 | 4th in afc central | - | - | - | - | [SEP] | ten | 2002 | 11 | 5 | 0 | .688 | 1st in afc south | 1 | 1 | .500 | lost to oakland raiders in afc championship game | [SEP] | ten | 2003 | 12 | 4 | 0 | .750 | 2nd in afc south | 1 | 1 | .500 | lost to new england patriots in afc divisional game | [SEP] | ten | 2004 | 5 | 11 | 0 | .313 | 3rd in afc south | - | - | - | - | [SEP] | ten | 2005 | 4 | 12 | 0 | .250 | 3rd in afc south | - | - | - | - | [SEP] | ten | 2006 | 8 | 8 | 0 | .500 | 2nd in afc south | - | - | - | - | [SEP] | ten | 2007 | 10 | 6 | 0 | .625 | 3rd in afc south | 0 | 1 | .000 | lost to san diego chargers in afc wild-card game | [SEP] | ten | 2008 | 13 | 3 | 0 | .813 | 1st in afc south | 0 | 1 | .000 | lost to baltimore ravens in afc divisional game | [SEP] | ten | 2009 | 8 | 8 | 0 | .500 | 3rd in afc south | - | - | - | - | [SEP] | ten | 2010 | 6 | 10 | 0 | .375 | 4th in afc south | - | - | - | - | [SEP] | hou/ten total | hou/ten total | 142 | 120 | 0 | .542 | none | 5 | 6 | .455 | none | [SEP] | stl | 2012 | 7 | 8 | 1 | .469 | 3rd in nfc west | - | - | - | - | [SEP] | stl | 2013 | 7 | 9 | 0 | .438 | 4th in nfc west | - | - | - | - | [SEP] | stl | 2014 | 6 | 10 | 0 | .375 | 4th in nfc west | - | - | - | - | [SEP] | stl | 2015 | 7 | 9 | 0 | .438 | 3rd in nfc west | - | - | - | - | [SEP] | la | 2016 | 4 | 9 | 0 | .308 | (fired) | - | - | - | - | [SEP] | stl / la total | stl / la total | 31 | 45 | 1 | .414 | none | 0 | 0 | .000 | none | [SEP] | total | total | 173 | 165 | 1 | .512 | none | 5 | 6 | .455 | none |,Sports,0.887,Business and Economic,0.2209,Culture,0.2154,"165.0, jeff"
what were the average time spent on unpaid work for those who reported fair or poor health and for those in excellent or very good health respectively?,"<2.9>, <3.4>","[Table caption:participation rate and time spent on selected activities, by self-rated health, 2015; ] [TAB] | activities | participation rate | participation rate | participation rate | average time spent | average time spent | average time spent | [SEP] | activities | excellent or very good | good | fair or poor | excellent or very good | good | fair or poor | [SEP] | activities | percent | percent | percent | hours | hours | hours | [SEP] | doing unpaid household work | 89 | 87 | 84 | 3.4 | 3.2 | 2.9 | [SEP] | engaging in civic, religious and organizational activities | 10 | 9 | 5 | 2.3 | 1.9 | 2.1 | [SEP] | socializing and communicating | 45 | 41 | 37 | 2.3 | 2.2 | 2.4 | [SEP] | engaging in leisure and physical activities | 45 | 39 | 36 | 2.2 | 2.1 | 2.3 | [SEP] | using technology | 32 | 27 | 25 | 1.9 | 2.0 | 2.3 | [SEP] | watching television and videos | 82 | 88 | 85 | 3.7 | 4.2 | 4.9 | [SEP] | reading | 42 | 37 | 32 | 2.0 | 2.0 | 2.0 | [SEP] | sleeping | 100 | 100 | 100 | 8.9 | 9.1 | 9.5 |",Healthcare and Medicine,0.525,Society,0.4926,Art,0.196,
what percentage of increase happened in alberta?,1,"[Table caption:cases completed in adult criminal court, by province and territory, 2012/2013 and 2013/2014; ] [TAB] | province and territory | 2012/2013 | 2012/2013 | 2013/2014 | 2013/2014 | percent change in number of cases 2012/2013 to 2013/2014 | difference in median length of cases 2012/2013 to 2013/2014 | [SEP] | province and territory | number | median length of case | number | median length of case | percent | days | [SEP] | canada | 387,614 | 120 | 360,640 | 123 | -7 | 3 | [SEP] | newfoundland and labrador | 5,439 | 113 | 5,150 | 146 | -5 | 33 | [SEP] | prince edward island | 1,432 | 35 | 1,312 | 37 | -8 | 2 | [SEP] | nova scotia | 11,908 | 158 | 11,485 | 155 | -4 | -3 | [SEP] | new brunswick | 7,784 | 94 | 7,341 | 104 | -6 | 10 | [SEP] | quebec | 74,051 | 215 | 62,844 | 238 | -15 | 23 | [SEP] | ontario | 144,399 | 93 | 133,890 | 99 | -7 | 6 | [SEP] | manitoba | 19,096 | 160 | 19,058 | 159 | 0 | -1 | [SEP] | saskatchewan | 23,781 | 78 | 23,053 | 71 | -3 | -7 | [SEP] | alberta | 55,823 | 121 | 56,346 | 127 | 1 | 6 | [SEP] | british columbia | 39,424 | 120 | 35,850 | 113 | -9 | -7 | [SEP] | yukon | 931 | 98 | 985 | 92 | 6 | -6 | [SEP] | northwest territories | 1,578 | 59 | 1,465 | 63 | -7 | 4 | [SEP] | nunavut | 1,968 | 55 | 1,861 | 66 | -5 | 12 |",Business and Economic,0.6581,Culture,0.2168,Science and Technology,0.2006,alberta
"of the approximately 709,700 seh doctoral degree holders in the labor force in 2010, how many percent in psychology?",0.146823,"[Table caption:number in labor force and unemployment rate for scientists and engineers with u; ] [TAB] | field of doctorate | 2001 | 2003 | 2006 | 2008 | 2010 | [SEP] |  | number in labor force | number in labor force | number in labor force | number in labor force | number in labor force | [SEP] | all seh fields | 582500 | 606300 | 630300 | 670200 | 709700 | [SEP] | biological, agricultural, and environmental life sciences | 142400 | 148800 | 158200 | 167600 | 179600 | [SEP] | computer and information sciences | 10900 | 12300 | 13700 | 16300 | 19400 | [SEP] | mathematics and statistics | 26300 | 29000 | 29500 | 31200 | 32500 | [SEP] | physical sciences | 113200 | 115700 | 115800 | 119900 | 124400 | [SEP] | psychology | 89600 | 93000 | 97500 | 101000 | 104200 | [SEP] | social sciences | 77200 | 79600 | 81000 | 85100 | 88700 | [SEP] | engineering | 101300 | 104400 | 108000 | 119800 | 129100 | [SEP] | health | 21500 | 23600 | 26500 | 29300 | 31800 | [SEP] |  | unemployment rate (percent)a | unemployment rate (percent)a | unemployment rate (percent)a | unemployment rate (percent)a | unemployment rate (percent)a | [SEP] | all seh fields | 1.3 | 2.1 | 1.4 | 1.7 | 2.4 | [SEP] | biological, agricultural, and environmental life sciences | 1.1 | 2 | 1.4 | 1.9 | 2.2 | [SEP] | computer and information sciences | 0.9 | 2.4 | 1.4 | 1.2 | 2.1 | [SEP] | mathematics and statistics | 1.5 | 2.4 | 1 | 1 | 1.5 | [SEP] | physical sciences | 1.7 | 2.5 | 2.1 | 2.4 | 3.5 | [SEP] | psychology | 0.8 | 1.7 | 0.9 | 1.3 | 1.7 | [SEP] | social sciences | 1.3 | 1.5 | 1 | 1.3 | 1.9 | [SEP] | engineering | 1.7 | 2.7 | 1.4 | 1.8 | 2.8 | [SEP] | health | 0.5 | 1.3 | 0.7 | 1 | 1.9 |",Society,0.5785,Education,0.0232,Warfare and Conflict,0.0026,"2010, approximately 709,700, 0.146823"
"by dmt, what is the percentage of individuals with urban street addresses (dmt=b) matched to a single da?",95.25,"[Table caption:percentage of the canadian population matched to one dissemination area or more than one dissemination area in the postal code conversion file plus, by postal code characteristics; ] [TAB] | | population of canada | percentage of the population with postal codes, by number of dissemination area links | percentage of the population with postal codes, by number of dissemination area links | percentage of the population with postal codes, by number of dissemination area links | percentage of the population with postal codes, by number of dissemination area links | percentage of the population with postal codes, by number of dissemination area links | percentage of the population with postal codes, by number of dissemination area links | [SEP] |  | population of canada | 1 | 2 | 3 | 4 | 5 or more | missing | [SEP] |  | number | percent | percent | percent | percent | percent | percent | [SEP] | canada | 35,151,700 | 72.56 | 9.77 | 3.03 | 1.98 | 12.54 | 0.12 | [SEP] | province or territory |  |  |  |  |  |  |  | [SEP] | newfoundland and labrador | 519,700 | 62.30 | 12.09 | 4.97 | 4.95 | 15.38 | 0.31 | [SEP] | prince edward island | 142,900 | 44.01 | 3.82 | 1.30 | 2.45 | 48.01 | 0.41 | [SEP] | nova scotia | 923,600 | 57.07 | 8.35 | 3.76 | 2.25 | 28.39 | 0.18 | [SEP] | new brunswick | 747,100 | 85.74 | 8.52 | 2.87 | 1.36 | 1.27 | 0.24 | [SEP] | quebec | 8,164,400 | 71.94 | 9.43 | 3.47 | 2.64 | 12.50 | 0.02 | [SEP] | ontario | 13,448,500 | 72.21 | 9.47 | 2.07 | 0.94 | 15.18 | 0.12 | [SEP] | manitoba | 1,278,400 | 71.32 | 9.89 | 4.54 | 3.40 | 10.67 | 0.19 | [SEP] | saskatchewan | 1,098,500 | 67.95 | 12.48 | 5.53 | 4.61 | 9.12 | 0.31 | [SEP] | alberta | 4,067,000 | 72.35 | 11.58 | 3.33 | 2.47 | 10.02 | 0.24 | [SEP] | british columbia | 4,648,100 | 79.47 | 9.24 | 3.17 | 2.10 | 5.99 | 0.04 | [SEP] | yukon | 35,900 | 95.70 | 2.61 | 0.02 | 0.00 | 1.29 | 0.39 | [SEP] | northwest territories | 41,800 | 69.84 | 13.94 | 5.97 | 2.63 | 7.55 | 0.06 | [SEP] | nunavut | 35,900 | 28.15 | 31.30 | 40.55 | 0.00 | 0.00 | 0.00 | [SEP] | delivery mode type |  |  |  |  |  |  |  | [SEP] | a - urban street address | 24,812,400 | 85.32 | 11.24 | 2.09 | 0.68 | 0.68 | 0.00 | [SEP] | b - urban apartment building | 3,438,200 | 95.25 | 2.38 | 1.28 | 0.86 | 0.23 | 0.00 | [SEP] | e - business building | 46,100 | 90.64 | 4.96 | 1.75 | 1.79 | 0.86 | 0.00 | [SEP] | g - large volume receiver | 72,400 | 95.80 | 2.56 | 0.98 | 0.54 | 0.11 | 0.00 | [SEP] | h - rural route | 420,000 | 6.80 | 4.11 | 3.29 | 5.64 | 80.16 | 0.00 | [SEP] | j - general delivery | 1,400 | 43.29 | 27.69 | 1.54 | 27.48 | 0.00 | 0.00 | [SEP] | k - post office box | 124,200 | 63.67 | 9.19 | 5.27 | 4.50 | 17.37 | 0.00 | [SEP] | m - large volume receiver | 5,400 | 53.43 | 29.97 | 10.62 | 0.81 | 4.37 | 0.80 | [SEP] | t - suburban service | 208,400 | 6.74 | 8.14 | 9.47 | 10.47 | 65.18 | 0.00 | [SEP] | rural - rural postal code | 5,884,000 | 13.86 | 8.28 | 7.57 | 7.32 | 62.94 | 0.04 | [SEP] | z - retired postal code | 100,000 | 10.94 | 24.47 | 15.49 | 14.96 | 34.14 | 0.00 | [SEP] | missing | 39,300 | 0.00 | 0.00 | 0.00 | 0.35 | 0.17 | 99.48 | [SEP] | population centre or rural area type |  |  |  |  |  |  |  | [SEP] | core | 24,401,500 | 87.12 | 9.04 | 1.76 | 0.73 | 1.30 | 0.05 | [SEP] | fringe | 1,102,800 | 52.31 | 11.84 | 3.44 | 2.31 | 30.04 | 0.07 | [SEP] | rural area inside a cma or ca | 2,543,100 | 38.10 | 11.30 | 5.10 | 4.44 | 40.63 | 0.43 | [SEP] | population centre outside a cma or ca | 1,814,700 | 39.84 | 9.08 | 4.55 | 5.17 | 41.09 | 0.27 | [SEP] | rural area outside a cma or ca | 4,069,800 | 26.15 | 11.15 | 8.60 | 6.73 | 47.09 | 0.29 | [SEP] | secondary core | 1,204,700 | 74.90 | 15.84 | 2.93 | 1.00 | 5.26 | 0.07 | [SEP] | missing | 15,100 | 82.27 | 7.95 | 1.77 | 1.66 | 6.36 | 0.00 |",Business and Economic,0.176,Healthcare and Medicine,0.0716,Culture,0.0647,95.25
"which type of workers in manitoba's agricultural region 7 were more likely to have no certificate, diploma or degree, french-language workers or other workers?",french-language workers,"[Table caption:education by fols of workers in the agricultural sector aged 15 years and over, five agricultural regions of western canada, 2011; ] [TAB] | education | agricultural region 7 manitoba | agricultural region 7 manitoba | agricultural region 8 manitoba | agricultural region 8 manitoba | agricultural region 9 manitoba | agricultural region 9 manitoba | agricultural region 8b saskatchewan | agricultural region 8b saskatchewan | agricultural region 7 alberta | agricultural region 7 alberta | [SEP] | education | french-language workers | other workers | french-language workers | other workers | french-language workers | other workers | french-language workers | other workers | french-language workers | other workers | [SEP] | education | percent | percent | percent | percent | percent | percent | percent | percent | percent | percent | [SEP] | no certificate, diploma, or degree | 44.4 | 34.9 | 32.8 | 36.4 | 28.2 | 30.3 | 35.0 | 31.8 | 27.3 | 40.2 | [SEP] | secondary school diploma | 37.8 | 36.6 | 41.4 | 39.3 | 32.4 | 36.3 | 52.5 | 42.1 | 50.6 | 39.5 | [SEP] | certificate or college diploma | 0.0 | 15.2 | 12.1 | 9.4 | 18.3 | 13.3 | 0.0 | 11.7 | 14.3 | 14.2 | [SEP] | bachelor's degree | 11.1 | 11.3 | 13.8 | 12.7 | 18.3 | 15.5 | 0.0 | 12.3 | 7.8 | 5.2 | [SEP] | certificate or diploma above bachelor level | 0.0 | 2.0 | 0.0 | 1.7 | 0.0 | 4.3 | 0.0 | 2.0 | 0.0 | 0.9 |",Society,0.3149,Culture,0.2282,Art,0.0474,"manitoba, french"
"broken down by type of drug, what is the percentage of cannabis possession offences with a guilty decision from 2008/2009 to 2011/2012?",43.0,"[Table caption:this table displays the results of completed drug-related cases in adult criminal court, by decision, type of offence, and type of drug, canada, 2008/2009 to 2011/2012; ] [TAB] | type of offence and type of drug | guilty | guilty | stayed/withdrawn | stayed/withdrawn | acquitted | acquitted | other | other | total | total | [SEP] | type of offence and type of drug | number | percent | number | percent | number | percent | number | percent | number | percent | [SEP] | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | completed cases related to drug possession | [SEP] | cannabis | 25,219 | 43 | 33,369 | 57 | 92 | 0 | 258 | 0 | 58,938 | 100 | [SEP] | other drugs | 22,740 | 65 | 12,158 | 35 | 129 | 0 | 120 | 0 | 35,147 | 100 | [SEP] | cocaine | 13,870 | 66 | 6,933 | 33 | 88 | 0 | 63 | 0 | 20,954 | 100 | [SEP] | heroin | 743 | 67 | 355 | 32 | 4 | 0 | 1 | 0 | 1,103 | 100 | [SEP] | methamphetamines | 1,223 | 65 | 641 | 34 | 7 | 0 | 8 | 0 | 1,879 | 100 | [SEP] | ecstasy | 510 | 59 | 345 | 40 | 1 | 0 | 8 | 1 | 864 | 100 | [SEP] | other cdsa | 6,394 | 62 | 3,884 | 38 | 29 | 0 | 40 | 0 | 10,347 | 100 | [SEP] | total completed cases related to drug possession | 47,959 | 51 | 45,527 | 48 | 221 | 0 | 378 | 0 | 94,085 | 100 | [SEP] | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | completed cases related to drug supply | [SEP] | cannabis | 7,752 | 49 | 7,883 | 50 | 148 | 1 | 85 | 1 | 15,868 | 100 | [SEP] | other drugs | 15,248 | 56 | 11,600 | 43 | 270 | 1 | 111 | 0 | 27,229 | 100 | [SEP] | cocaine | 10,968 | 58 | 7,774 | 41 | 206 | 1 | 77 | 0 | 19,025 | 100 | [SEP] | heroin | 740 | 58 | 504 | 40 | 22 | 2 | 3 | 0 | 1,269 | 100 | [SEP] | methamphetamines | 371 | 52 | 329 | 46 | 5 | 1 | 6 | 1 | 711 | 100 | [SEP] | ecstasy | 256 | 52 | 230 | 46 | 4 | 1 | 6 | 1 | 496 | 100 | [SEP] | other cdsa | 2,913 | 51 | 2,763 | 48 | 33 | 1 | 19 | 0 | 5,728 | 100 | [SEP] | total completed cases related to drug supply | 23,000 | 53 | 19,483 | 45 | 418 | 1 | 196 | 0 | 43,097 | 100 | [SEP] | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | completed drug-related cases | [SEP] | cannabis | 32,971 | 44 | 41,252 | 55 | 240 | 0 | 343 | 0 | 74,806 | 100 | [SEP] | other drugs | 37,988 | 61 | 23,758 | 38 | 399 | 1 | 231 | 0 | 62,376 | 100 | [SEP] | cocaine | 24,838 | 62 | 14,707 | 37 | 294 | 1 | 140 | 0 | 39,979 | 100 | [SEP] | heroin | 1,483 | 63 | 859 | 36 | 26 | 1 | 4 | 0 | 2,372 | 100 | [SEP] | methamphetamines | 1,594 | 62 | 970 | 37 | 12 | 0 | 14 | 1 | 2,590 | 100 | [SEP] | ecstasy | 766 | 56 | 575 | 42 | 5 | 0 | 14 | 1 | 1,360 | 100 | [SEP] | other cdsa | 9,307 | 58 | 6,647 | 41 | 62 | 0 | 59 | 0 | 16,075 | 100 | [SEP] | total completed drug-related cases | 70,959 | 52 | 65,010 | 47 | 639 | 0 | 574 | 0 | 137,182 | 100 |",Society,0.4291,Art,0.0305,Culture,0.0238,"43.0, 2008/2009"
how many times aboriginal men aged 15 or older were more likely than non-aboriginal men to report disabilities?,1.168,"[Table caption:prevalence of disability among women and men aged 15 or older, by aboriginal identity and age group, canada, 2011; ] [TAB] | age group | women | women | men | men | [SEP] | age group | non-aboriginal | aboriginal | non-aboriginal | aboriginal | [SEP] | age group | percent | percent | percent | percent | [SEP] | 15 or older | 14.7 | 22.0 | 12.5 | 14.6 | [SEP] | 15 to 24 | 4.1 | 8.1 | 4.4 | 7.0 | [SEP] | 25 to 54 | 9.1 | 21.3 | 8.1 | 12.1 | [SEP] | 55 to 64 | 20.8 | 33.9 | 19.0 | 26.8 | [SEP] | 65 or older | 35.0 | 53.4 | 30.6 | 39.2 |",Culture,0.6647,Art,0.4785,Society,0.3724,"1.168, 15 or older"
