Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities,Original Question
Culture,0.5551,Business and Economic,0.4592,Warfare and Conflict,0.4263,933.0,933.0
Culture,0.6319,Business and Economic,0.4698,Science and Technology,0.4556,,<214.0>\
Culture,0.7374,Society,0.5868,Science and Technology,0.5826,february 16\,february 16\
Culture,0.6366,Society,0.4492,Science and Technology,0.441,199.0,199.0
Society,0.3431,Culture,0.225,Business and Economic,0.0778,a given day,how many adult offenders are in either custody or a community program on a given day?
Culture,0.5942,Business and Economic,0.4558,Warfare and Conflict,0.4474,492,492
Culture,0.5729,Business and Economic,0.4382,Warfare and Conflict,0.4327,22895,22895
Culture,0.6611,Business and Economic,0.5067,Society,0.4751,,81
Culture,0.6901,Business and Economic,0.6299,Science and Technology,0.6206,,3
Political,0.1216,Society,0.1125,Culture,0.0158,,how many percent of the federal incarceration rate was increased?
Culture,0.6195,Business and Economic,0.4297,Science and Technology,0.4209,0.186393,0.186393
Culture,0.6261,Business and Economic,0.4693,Science and Technology,0.4338,0.821697,0.821697
Society,0.1608,Culture,0.0273,Business and Economic,0.0175,an average day,how many adults are in custody on an average day?
Culture,0.2054,Society,0.1628,Art,0.1254,,how many adult offenders are in provincial/territorial custody?
Art,0.0733,Culture,0.0575,Warfare and Conflict,0.042,,how many adult offenders are in federal custody?
Culture,0.6233,Business and Economic,0.4872,Society,0.4407,,87
Culture,0.6901,Business and Economic,0.6299,Science and Technology,0.6206,,3
Culture,0.1663,Political,0.1179,Society,0.0765,000,000 adult population?
Culture,0.6713,Business and Economic,0.522,Science and Technology,0.5091,,5
Culture,0.1663,Political,0.1179,Society,0.0765,000,000 adult population?
Culture,0.8022,Political,0.6473,Business and Economic,0.371,british columbia,british columbia
Society,0.5651,Culture,0.3567,Warfare and Conflict,0.0892,2013/2014,what is the rate of adult offenders being supervised in the community stood in 2013/2014?
Society,0.5548,Culture,0.479,Education,0.3152,the previous year,how many percent point of the rate of adult being supervised in community stood has decreased from the previous year?
Political,0.0813,Society,0.0596,Culture,0.0546,000,000 population?
Culture,0.7497,Society,0.708,Science and Technology,0.6599,1982.0,1982.0
Culture,0.6597,Business and Economic,0.5334,Science and Technology,0.4965,136.0,136.0
Culture,0.6815,Business and Economic,0.589,Science and Technology,0.5426,7.0,7.0
Culture,0.6877,Science and Technology,0.5157,Business and Economic,0.4958,17.9,17.9
Art,0.3713,Society,0.3089,Political,0.0457,,what is number of the total admissions to federal and provincial/territorial adult correctional services in the 12 reporting provinces and territories?
Culture,0.6901,Business and Economic,0.6299,Science and Technology,0.6206,,3
Culture,0.6244,Business and Economic,0.4571,Society,0.4395,0.953605,0.953605
Society,0.1071,Art,0.0933,Culture,0.0886,2012/2013,what is the largest overall decrease rate from 2012/2013 in total correctional supervision?
Art,0.1758,Society,0.1438,Political,0.0735,,what is the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?
Culture,0.4077,Art,0.3498,Society,0.2097,,which region has recorded the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?
Healthcare and Medicine,0.2391,Culture,0.2049,Business and Economic,0.1371,,which sector has smaller share of female admissions? custody or community supervision?
Culture,0.7018,Science and Technology,0.5885,Business and Economic,0.5425,24.0,24.0
Culture,0.6976,Science and Technology,0.5625,Business and Economic,0.5414,26.0,26.0
Culture,0.6925,Science and Technology,0.5785,Business and Economic,0.5488,23.0,23.0
Business and Economic,0.0524,Society,0.0276,Political,0.0099,canada,what is the total operating expenditures for correctional services in canada?
Business and Economic,0.2207,Society,0.0794,Art,0.0286,"the previous year, canada",how many percent of total operating expenditures for correctional services in canada has increased from the previous year after adjusting for inflation?
Culture,0.676,Art,0.5073,Society,0.4988,130.32,130.32
Science and Technology,0.3494,Political,0.2215,Culture,0.1941,,federal
Culture,0.7165,Science and Technology,0.5448,Business and Economic,0.5446,17.8,17.8
Society,0.2575,Healthcare and Medicine,0.0489,Culture,0.023,ages 15 to 74,what is the rate of physical abuse across ages 15 to 74?
Culture,0.2681,Society,0.1655,Warfare and Conflict,0.0378,at least six,what is the rate of experiencing physical abuse in childhood if they also witnessed parental violence at least six times?
Society,0.337,Culture,0.0835,Political,0.009,,how many percent of people would say they were victims of childhood physical abuse?
Society,0.337,Culture,0.0835,Political,0.009,,how many percent of people would say they were victims of childhood physical abuse?
Society,0.4451,Culture,0.0143,Political,0.0057,,how many percent of people would say it was physical abuse only?
Society,0.4552,Culture,0.0468,Political,0.0079,,how many percent of people would say it was sexual abuse only?
Society,0.3064,Culture,0.3039,Political,0.0541,,how many percent of people would say that they had witnessed frequent parental violence only?
Society,0.4209,Culture,0.2389,Healthcare and Medicine,0.2356,"three, two",how many percent of people said that they had experienced any two of the three maltreatment factors?
Warfare and Conflict,0.6028,Society,0.3765,Culture,0.0371,three,how many percent of people said they had experienced all three forms of violence?
Culture,0.5552,Science and Technology,0.4986,Media and Entertainment,0.3786,,chelsea
Culture,0.7855,Society,0.688,Science and Technology,0.6651,1 july 1994,1 july 1994
Culture,0.3178,Warfare and Conflict,0.1726,Healthcare and Medicine,0.1711,vojvodina,vojvodina
Culture,0.6086,Business and Economic,0.4684,Science and Technology,0.4575,122.0,122.0
Warfare and Conflict,0.4072,Political,0.3061,Culture,0.149,,illegal
Culture,0.7637,Science and Technology,0.6663,Business and Economic,0.6457,13.2,13.2
Culture,0.7443,Business and Economic,0.6474,Science and Technology,0.6435,11.1,11.1
Science and Technology,0.1683,Business and Economic,0.1542,Healthcare and Medicine,0.1259,,how many percent of immigrant businesses were in the kbi sector?
Science and Technology,0.2276,Healthcare and Medicine,0.1883,Business and Economic,0.0866,canadian,how many percent of canadian-born owned businesses were in the kbi sector?
Business and Economic,0.0978,Society,0.001,Environmental,0.0005,,lessors of real estate
Environmental,0.9262,Business and Economic,0.8859,Education,0.2611,,economic
Environmental,0.9262,Business and Economic,0.8859,Education,0.2611,,economic
Culture,0.68,Science and Technology,0.5582,Business and Economic,0.5296,22.9,22.9
Culture,0.732,Science and Technology,0.5968,Business and Economic,0.5671,18.6,18.6
Culture,0.7166,Science and Technology,0.581,Business and Economic,0.544,21.9,21.9
Culture,0.8124,Science and Technology,0.6928,Business and Economic,0.664,14.4,14.4
Education,0.0086,Sports,0.0076,Culture,0.0061,,person with disability
Culture,0.9616,Art,0.0389,Education,0.0227,,indigenous person
Education,0.0086,Sports,0.0076,Culture,0.0061,,person with disability
Education,0.0086,Sports,0.0076,Culture,0.0061,,person with disability
Culture,0.9616,Art,0.0389,Education,0.0227,,indigenous person
Culture,0.6449,Business and Economic,0.4946,Society,0.4689,282.0,282.0
Culture,0.7782,Science and Technology,0.6519,Business and Economic,0.6376,76.4,76.4
Culture,0.4622,Society,0.2552,Art,0.1858,,female gender
Culture,0.7474,Science and Technology,0.6562,Business and Economic,0.6213,40.3,40.3
Culture,0.6842,Science and Technology,0.575,Business and Economic,0.5588,32.1,32.1
Culture,0.6763,Science and Technology,0.5273,Business and Economic,0.5236,10.7,10.7
Culture,0.7262,Science and Technology,0.6197,Business and Economic,0.6133,41.1,41.1
Culture,0.7692,Science and Technology,0.6453,Business and Economic,0.6219,16.4,16.4
Society,0.4577,Culture,0.3175,Healthcare and Medicine,0.2913,,how many percent of bisexual canadians have reported they had been diagnosed with a mood or anxiety disorder?
Culture,0.7217,Science and Technology,0.5563,Business and Economic,0.5518,29.6,29.6
Culture,0.7144,Science and Technology,0.5573,Business and Economic,0.5335,40.9,40.9
Culture,0.7551,Science and Technology,0.6049,Business and Economic,0.5736,14.9,14.9
Culture,0.7347,Science and Technology,0.6094,Business and Economic,0.5956,40.1,40.1
Culture,0.4232,Society,0.4169,Media and Entertainment,0.0839,,heterosexual
Society,0.0681,Media and Entertainment,0.022,Culture,0.0176,transgender,transgender
Society,0.0681,Media and Entertainment,0.022,Culture,0.0176,transgender,transgender
Society,0.0681,Media and Entertainment,0.022,Culture,0.0176,transgender,transgender
Culture,0.3426,Political,0.3346,Business and Economic,0.2236,newell,newell's old boys
Culture,0.745,Science and Technology,0.6529,Business and Economic,0.6226,59.3,59.3
Culture,0.479,Business and Economic,0.4005,Science and Technology,0.3855,eastleigh,eastleigh
Culture,0.6787,Science and Technology,0.5475,Business and Economic,0.5357,62.0,62.0
Society,0.0681,Media and Entertainment,0.022,Culture,0.0176,transgender,transgender
Culture,0.7528,Science and Technology,0.6979,Business and Economic,0.678,11.3,11.3
Society,0.0681,Media and Entertainment,0.022,Culture,0.0176,transgender,transgender
Society,0.0681,Media and Entertainment,0.022,Culture,0.0176,transgender,transgender
Education,0.6961,Healthcare and Medicine,0.3993,Culture,0.3394,canada,how many percent of total admissions in canada were to transition homes?
Culture,0.7158,Business and Economic,0.5393,Society,0.5338,,41
Culture,0.6703,Business and Economic,0.6366,Science and Technology,0.616,3.0,3.0
Culture,0.6885,Business and Economic,0.6052,Science and Technology,0.5738,6.0,6.0
Society,0.1017,Culture,0.0263,Healthcare and Medicine,0.0079,,<emotional abuse>\
Culture,0.6817,Business and Economic,0.5412,Science and Technology,0.5243,38.0,38.0
Culture,0.6835,Science and Technology,0.549,Business and Economic,0.5291,36.0,36.0
Culture,0.6622,Business and Economic,0.5257,Science and Technology,0.5217,27.0,27.0
Culture,0.7194,Science and Technology,0.6002,Business and Economic,0.5759,21.0,21.0
Culture,0.7093,Science and Technology,0.5957,Business and Economic,0.5682,12.0,12.0
Society,0.0247,Culture,0.0129,Political,0.0034,,how many women have indicated human trafficking as a reason for seeking refuge?
Culture,0.6976,Science and Technology,0.5625,Business and Economic,0.5414,26.0,26.0
Culture,0.7231,Science and Technology,0.5932,Business and Economic,0.5515,18.0,18.0
Culture,0.6612,Science and Technology,0.5453,Business and Economic,0.5276,10.0,10.0
Culture,0.5846,Business and Economic,0.4739,Science and Technology,0.4334,30.0,30.0
Culture,0.7218,Science and Technology,0.5838,Business and Economic,0.5567,17.0,17.0
Culture,0.6612,Science and Technology,0.5453,Business and Economic,0.5276,10.0,10.0
Culture,0.1135,Business and Economic,0.0453,Society,0.0413,,which province has the highest proportion unable to find affordable housing?
Culture,0.6231,Art,0.1167,Society,0.0847,,which provinces or territories has the highest proportion of women residents with mental health issues?
Culture,0.1453,Society,0.1362,Warfare and Conflict,0.1262,,how many women in shelters have dentified their abuser as a current or former spouse or common-law partner?
Society,0.3501,Warfare and Conflict,0.1604,Culture,0.1416,,how many percent of women in shelters have identified their abuser as a current or former spouse or common-law partner?
Culture,0.629,Business and Economic,0.5323,Art,0.4526,18\,$18\
Culture,0.3094,Business and Economic,0.155,Food and Beverage,0.11,foggia,foggia
Culture,0.6885,Business and Economic,0.6052,Science and Technology,0.5738,6.0,6.0
Culture,0.6538,Business and Economic,0.4791,Society,0.4716,169.0,169.0
Culture,0.7534,Science and Technology,0.588,Business and Economic,0.5769,13.74,13.74
Food and Beverage,0.5878,Society,0.4617,Culture,0.3186,the past 12 months,what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was often true that food did not last and there was no money to buy more food during the past 12 months?
Food and Beverage,0.5865,Society,0.4624,Culture,0.3172,the past 12 months,what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was sometimes true that food did not last and there was no money to buy more food during the past 12 months?
Culture,0.6399,Business and Economic,0.5249,Science and Technology,0.4902,30.5,30.5
Science and Technology,0.5508,Healthcare and Medicine,0.5147,Business and Economic,0.4848,almost every month,what was the percentage of doing so almost every month?
Business and Economic,0.4877,Culture,0.4506,Healthcare and Medicine,0.433,"every month, some months",what was the percentage of skipping some months but not every month?
Culture,0.6854,Science and Technology,0.6074,Business and Economic,0.5792,32.2,32.2
Culture,0.7048,Science and Technology,0.5993,Business and Economic,0.5879,65.3,65.3
Culture,0.7691,Science and Technology,0.6366,Business and Economic,0.614,44.4,44.4
Culture,0.7224,Science and Technology,0.58,Business and Economic,0.5568,35.4,35.4
Culture,0.6622,Business and Economic,0.5257,Science and Technology,0.5217,27.0,27.0
Culture,0.6838,Business and Economic,0.4977,Society,0.4874,47.5,47.5
Culture,0.7144,Business and Economic,0.6584,Science and Technology,0.6334,8.2,8.2
Culture,0.7047,Business and Economic,0.6073,Science and Technology,0.5675,7.1,7.1
Culture,0.7148,Science and Technology,0.6134,Business and Economic,0.5996,37.3,37.3
Business and Economic,0.7665,Food and Beverage,0.0043,Science and Technology,0.0016,,manufacturing
Culture,0.6126,Business and Economic,0.4421,Science and Technology,0.4122,0.049823,0.049823
Culture,0.6192,Business and Economic,0.4689,Science and Technology,0.4588,308.0,308.0
Culture,0.6102,Warfare and Conflict,0.4,Business and Economic,0.3858,,-0.174263
Culture,0.5528,Business and Economic,0.5427,Science and Technology,0.139,mumbai,mumbai city
Culture,0.6847,Business and Economic,0.593,Science and Technology,0.5554,8.0,8.0
Culture,0.5703,Healthcare and Medicine,0.408,Business and Economic,0.3763,between 1 and 4,between 1 and 4
Culture,0.8022,Political,0.6473,Business and Economic,0.371,british columbia,british columbia
Culture,0.6287,Society,0.4632,Business and Economic,0.4511,0.11,0.11
Healthcare and Medicine,0.6669,Science and Technology,0.5752,Art,0.4977,,professional\
Education,0.9848,Science and Technology,0.4092,Media and Entertainment,0.032,,educational services
Business and Economic,0.6061,Culture,0.4547,Science and Technology,0.4268,90 days,which workplace size has the highest prevalence of positions vacant for 90 days or more?
Culture,0.7347,Business and Economic,0.6644,Science and Technology,0.6469,6.2,6.2
Culture,0.7312,Science and Technology,0.6214,Business and Economic,0.6153,9.1,9.1
Culture,0.6612,Science and Technology,0.5453,Business and Economic,0.5276,10.0,10.0
Business and Economic,0.5713,Culture,0.4835,Science and Technology,0.3302,less than 20,less than 20 employees
Business and Economic,0.5774,Education,0.4661,Society,0.3584,,how many percent of long-term job vacancies were positions for which the employer did not specify any educational requirements?
Culture,0.7495,Business and Economic,0.6867,Science and Technology,0.68,15.2,15.2
Culture,0.6122,Business and Economic,0.4797,Science and Technology,0.4342,2.952381,2.952381
Culture,0.7299,Business and Economic,0.5757,Science and Technology,0.57,17.5,17.5
Business and Economic,0.8012,Culture,0.7423,Society,0.4896,"23.61, less than 90 days, 19.63",what is the difference between employers were willing to pay $23.61 per hour on average to fill long-term vacancies and those with $19.63 for positions vacant for less than 90 days?
Culture,0.6502,Society,0.4549,Science and Technology,0.4494,0.365104,0.365104
Science and Technology,0.9115,Healthcare and Medicine,0.3476,Warfare and Conflict,0.2192,2017,how many percentage points of all federal fy 2017 s&e obligations were for r&d?
Science and Technology,0.4846,Political,0.1056,Business and Economic,0.0619,2017,how many percentage points of all federal fy 2017 s&e obligations were for fttgs?
Science and Technology,0.4864,Environmental,0.3923,Society,0.3022,2017,how many percentage points of all federal fy 2017 s&e obligations were for other s&e activities?
Science and Technology,0.894,Environmental,0.2488,Business and Economic,0.2472,2017,how many percentage points of all federal fy 2017 s&e obligations were for r&d plant?
Culture,0.698,Science and Technology,0.5665,Business and Economic,0.555,43.0,43.0
Culture,0.5684,Society,0.3758,Art,0.305,96.4 kg,96.4 kg
Culture,0.5467,Media and Entertainment,0.5453,Science and Technology,0.4309,ashley,ashley wilkes
Culture,0.701,Society,0.5557,Science and Technology,0.5491,102.5,102.5
Business and Economic,0.562,Society,0.5558,Healthcare and Medicine,0.5335,1997 to 2015,how many percentage points of the rate has increased from 1997 to 2015?
Healthcare and Medicine,0.5948,Society,0.5569,Business and Economic,0.5537,1997 to 2015,how many percent of the rate has increased from 1997 to 2015?
Culture,0.5934,Business and Economic,0.4912,Science and Technology,0.4567,1.918033,1.918033
Culture,0.6513,Business and Economic,0.6243,Healthcare and Medicine,0.6087,,2
Culture,0.7053,Society,0.6757,Science and Technology,0.526,united states,united states
Business and Economic,0.7319,Healthcare and Medicine,0.5135,Science and Technology,0.4284,,which age group has the largest proportion of people who were satisfied with their job?
Business and Economic,0.0137,Society,0.0008,Culture,0.0002,,manufacturing and utilities
Culture,0.583,Warfare and Conflict,0.3094,Healthcare and Medicine,0.287,,male
Culture,0.6459,Business and Economic,0.5148,Science and Technology,0.5087,,<33.2>\
Culture,0.6819,Science and Technology,0.5177,Business and Economic,0.5155,,<21.9>\
Business and Economic,0.0364,Political,0.0293,Healthcare and Medicine,0.0261,"three, four",how many percent of increasing in the likelihood of being satisfied with their job was associated with having control over three of the four facets of job flexibility in lisa?
Business and Economic,0.6607,Society,0.3802,Culture,0.2982,,how many percent of increasing in the probability of being satisfied with their job was associated controlling over all facets of job flexibility?
Business and Economic,0.6606,Society,0.4515,Healthcare and Medicine,0.2596,two,how many percent of increasing in the probability of being satisfied with their job was associated with controlling over one or two facets of job flexibility.
Culture,0.6775,Society,0.5651,Science and Technology,0.5307,53.03,53.03 s
Culture,0.6494,Business and Economic,0.4969,Science and Technology,0.4645,364.0,364.0
Sports,0.9945,Business and Economic,0.3177,Media and Entertainment,0.2224,indian,indian super league
Sports,0.7236,Business and Economic,0.4372,Political,0.1989,,which league did badhri move to?
Culture,0.665,Business and Economic,0.5065,Science and Technology,0.5002,48.0,48.0
Religion and Philosophy,0.6694,Education,0.4479,Environmental,0.274,,eerste divisie
Culture,0.7199,Science and Technology,0.5901,Business and Economic,0.5717,21.8,21.8
Culture,0.7024,Science and Technology,0.5885,Business and Economic,0.5632,24.5,24.5
Culture,0.7131,Science and Technology,0.5764,Business and Economic,0.5617,16.0,16.0
Culture,0.601,Business and Economic,0.3998,Science and Technology,0.3835,53.666667,53.666667
Culture,0.6344,Science and Technology,0.4534,Business and Economic,0.4459,,20
Culture,0.7162,Business and Economic,0.5408,Science and Technology,0.5217,49.8,49.8
Culture,0.6613,Science and Technology,0.5363,Business and Economic,0.523,20.0,20.0
Culture,0.6782,Science and Technology,0.547,Business and Economic,0.5274,25.6,25.6
Culture,0.6446,Society,0.4526,Political,0.3558,,51 or over
Culture,0.6033,Business and Economic,0.4513,Science and Technology,0.4242,94.808333,94.808333
Culture,0.5828,Business and Economic,0.4382,Media and Entertainment,0.3924,97.958333,97.958333
Culture,0.7247,Business and Economic,0.5916,Society,0.5635,82.5,82.5
Culture,0.732,Society,0.5799,Business and Economic,0.5796,83.7,83.7
Culture,0.6622,Business and Economic,0.5257,Science and Technology,0.5217,27.0,27.0
Culture,0.7276,Science and Technology,0.6713,Business and Economic,0.6314,25.3,25.3
Culture,0.6201,Business and Economic,0.452,Science and Technology,0.4229,38.9,38.9
Culture,0.7306,Science and Technology,0.6269,Business and Economic,0.615,61.1,61.1
Culture,0.6126,Business and Economic,0.4681,Healthcare and Medicine,0.4478,,<169.0>\
Political,0.8954,Warfare and Conflict,0.6617,Culture,0.628,new york,new york red bulls
Culture,0.6239,Political,0.3988,Business and Economic,0.3467,alberta,alberta
Culture,0.5487,Science and Technology,0.4094,Political,0.3359,saskatchewan,saskatchewan
Culture,0.6267,Business and Economic,0.4343,Science and Technology,0.4033,0.973958,0.973958
Culture,0.6859,Society,0.5936,Education,0.3247,50 to 69 years,50 to 69 years
Culture,0.6857,Science and Technology,0.56,Business and Economic,0.5401,31.0,31.0
Culture,0.2064,Political,0.0154,Society,0.0149,,<newfoundland and labrador>\
Healthcare and Medicine,0.6489,Society,0.0948,Culture,0.0449,,which age group has the highest rate of surgical intervention?
Political,0.3834,Media and Entertainment,0.2288,Culture,0.2288,,<prince edward island>\
Culture,0.3921,Media and Entertainment,0.2889,Science and Technology,0.2614,,<new brunswick>\
Healthcare and Medicine,0.8526,Science and Technology,0.6679,Business and Economic,0.1868,five,how many percentage points did five federal agencies account of all federal obligations for s&e support to hbcus?
Culture,0.6303,Business and Economic,0.5178,Healthcare and Medicine,0.4251,98150.1,98150.1
Culture,0.5969,Business and Economic,0.4027,Warfare and Conflict,0.395,0.318781,0.318781
Culture,0.6628,Business and Economic,0.5737,Science and Technology,0.5315,78672.0,78672.0
Culture,0.6514,Business and Economic,0.4543,Science and Technology,0.4365,0.255518,0.255518
Culture,0.5465,Business and Economic,0.3858,Healthcare and Medicine,0.3237,74615.8,74615.8
Culture,0.6541,Business and Economic,0.4499,Science and Technology,0.4395,0.242344,0.242344
Culture,0.681,Business and Economic,0.5255,Science and Technology,0.5248,91.0,91.0
Culture,0.6531,Society,0.5183,Science and Technology,0.5064,94.0,94.0
Culture,0.6463,Science and Technology,0.5158,Business and Economic,0.5155,93.0,93.0
Culture,0.6196,Society,0.4321,Business and Economic,0.4259,98.0,98.0
Society,0.2011,Art,0.0567,Political,0.0112,,what is the percentage of incidents of offences against the administration of justice of all criminal code violations (excluding traffic) reported by police?
Art,0.3335,Society,0.2815,Culture,0.2003,,what is the percentage of incidents includes an offence against the administration of justice cleared by charge?
Society,0.3744,Art,0.3311,Culture,0.2612,,what is the percentage of incidents that did not include administration of justice offences cleared by charge?
Culture,0.7222,Society,0.648,Art,0.6261,7.7,7.7
Culture,0.7107,Business and Economic,0.5274,Science and Technology,0.5139,19.7,19.7
Culture,0.7222,Society,0.648,Art,0.6261,7.7,7.7
Culture,0.7107,Business and Economic,0.5274,Science and Technology,0.5139,19.7,19.7
Culture,0.6076,Business and Economic,0.5166,Society,0.5065,,what is the percentage of charges were subjected to formal charges instead of extrajudicial measures?
Science and Technology,0.7937,Education,0.7857,Culture,0.6947,2017,how many thousand dollars did high-hispanic-enrollment institutions receive in federal obligations for s&e support in fy 2017?
Culture,0.6977,Art,0.5332,Business and Economic,0.5302,1546178.0,1546178.0
Culture,0.5889,Business and Economic,0.5466,Society,0.5459,2016,how many percentage points were up from the fy 2016 total?
Culture,0.6179,Business and Economic,0.4463,Science and Technology,0.3933,0.890882,0.890882
Culture,0.6326,Business and Economic,0.5128,Science and Technology,0.4729,529.0,529.0
Culture,0.5776,Science and Technology,0.4661,Business and Economic,0.4627,232.0,232.0
Culture,0.5619,Society,0.411,Business and Economic,0.4055,2nd,2nd
Culture,0.7474,Science and Technology,0.6562,Business and Economic,0.6213,40.3,40.3
Business and Economic,0.3212,Society,0.253,Warfare and Conflict,0.2169,2013/2014,which type of charges were most frequently finalized by the courts in 2013/2014?
Society,0.2896,Art,0.1594,Culture,0.0687,one,what is the percentage of completed adult criminal court cases where an administration of justice offence represented one or more of the charges were breach of probation?
Society,0.4214,Art,0.3769,Culture,0.3073,,how much did cases involving the relatively low-volume charge of prisoner unlawfully at large grow?
Culture,0.4048,Society,0.2732,Healthcare and Medicine,0.2267,,how much did cases where failure to comply with an order were among the charges grow?
Society,0.2143,Culture,0.0412,Political,0.0369,,how much did cases charged of breach of probation grow?
Healthcare and Medicine,0.4224,Business and Economic,0.2751,Science and Technology,0.2556,,how much did instances of failure change?
Society,0.4692,Art,0.2226,Warfare and Conflict,0.1588,,what is the percentage of cases related to violent offences included charges for offences against the administration of justice?
Culture,0.6135,Art,0.4045,Society,0.392,0.131469,0.131469
Culture,0.6023,Business and Economic,0.453,Science and Technology,0.3975,0.761075,0.761075
Culture,0.6495,Business and Economic,0.4488,Science and Technology,0.4363,0.552141,0.552141
Culture,0.6109,Business and Economic,0.4182,Warfare and Conflict,0.4067,0.213284,0.213284
Culture,0.6141,Business and Economic,0.4415,Science and Technology,0.4007,0.018029,0.018029
Culture,0.6485,Business and Economic,0.4633,Science and Technology,0.4309,0.051883,0.051883
Culture,0.7545,Science and Technology,0.6706,Business and Economic,0.6378,44.3,44.3
Culture,0.6841,Science and Technology,0.5318,Society,0.5314,63.0,63.0
Culture,0.5935,Media and Entertainment,0.2475,Healthcare and Medicine,0.232,,women
Culture,0.5935,Media and Entertainment,0.2475,Healthcare and Medicine,0.232,,women
Culture,0.6735,Science and Technology,0.5086,Business and Economic,0.5047,57.5,57.5
Culture,0.7333,Business and Economic,0.5674,Science and Technology,0.5546,19.5,19.5
Culture,0.6731,Business and Economic,0.4868,Healthcare and Medicine,0.4841,10.9,10.9
Culture,0.7398,Science and Technology,0.6739,Business and Economic,0.6567,12.2,12.2
Culture,0.745,Science and Technology,0.6759,Business and Economic,0.6316,18.3,18.3
Culture,0.7402,Science and Technology,0.6566,Business and Economic,0.6335,18.2,18.2
Culture,0.3285,Religion and Philosophy,0.2507,Political,0.011,"sikh, buddhist",sikh and buddhist)?
Culture,0.6769,Science and Technology,0.5217,Business and Economic,0.5017,11.9,11.9
Culture,0.4425,Society,0.3224,Business and Economic,0.2708,"chinese, 2001",what is the percentage of the immigrants admitted in 2001 were chinese?
Society,0.1638,Culture,0.0916,Business and Economic,0.0426,"south asian, southeast asian, 2001",what is the percentage of the immigrants admitted in 2001 were south asian or southeast asian?
Society,0.2328,Culture,0.1816,Science and Technology,0.1734,2001,what is the percentage of the immigrants admitted in 2001 were not part of a visible minority group?
Culture,0.629,Business and Economic,0.4891,Society,0.4805,0.02,0.02
Culture,0.5963,Business and Economic,0.4353,Society,0.4125,0.01,0.01
Science and Technology,0.9762,Healthcare and Medicine,0.1263,Warfare and Conflict,0.0596,,how many thousand dollars did federal agencies obligate in r&d?
