Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities,Original Question
Media and Entertainment,0.8677,Art,0.2235,Political,0.0289,"Lonely Nights, Norma Jean Martine, Bilico, Michele Bravi’s, Ashley Roberts, Butterfly Effect, Passi Piccoli",Norma Jean Martine co-wrote the single In Bilico of Michele Bravi’s album A Passi Piccoli and Lonely Nights (Hey You) of Ashley Roberts’ album Butterfly Effect.
Culture,0.7642,Society,0.6749,Science and Technology,0.6057,"1966, 1967\",in 1966 and 1967\
Culture,0.259,Sports,0.0295,Business and Economic,0.0271,,light cruiser Glasgow\
Media and Entertainment,0.9497,Art,0.0383,Culture,0.0224,Trattoria,Dreamism! by Dolly Mixture (band) was released on Trattoria label.
Sports,0.9514,Culture,0.1069,Media and Entertainment,0.0729,"New York, first, seven, Olympia, Arnold Schwarzenegger",Arnold Schwarzenegger captured his first Mr. Olympia title in New York and won the title a total of seven times.
Sports,0.9656,Art,0.337,Culture,0.3106,the New York Rangers,defeating the New York Rangers.
Culture,0.6856,Society,0.6244,Art,0.5895,1855\,1855\
Culture,0.6094,Education,0.5145,Business and Economic,0.288,155,Jr. were tied with 155 each.
Media and Entertainment,0.9531,Culture,0.7622,Art,0.4754,Tearbridge,on CD through Tearbridge and on double LP through Daymare\
Culture,0.2557,Art,0.227,Warfare and Conflict,0.2158,"157 kW, 5.7, 210, 6.2, L V8",a 210 hp (157 kW) 5.7 L V8 and a 6.2 L diesel V8.
Media and Entertainment,0.9334,Art,0.6896,Culture,0.1625,"Armi, the Raw Award, Best New Artist, UDD",the UDD band won the Raw Award as well as Best New Artist and Best Female Award for Armi Millare\
Culture,0.7039,Environmental,0.4308,Society,0.3453,"New Zealand, 0.1%",or 0.1% of New Zealand area.
Sports,0.3248,Culture,0.1728,Society,0.0848,"2017, 2018, 125, ITF",as an ITF tournament and then as WTA 125K tournament in 2017 and 2018.
Media and Entertainment,0.9698,Culture,0.1864,Political,0.1454,"Soan Papdi, 2015)\",she appeared in the films Soan Papdi (2015)\
Media and Entertainment,0.7354,Society,0.1937,Culture,0.1369,"three, 1994 to 1996",Cable or Syndication three times from 1994 to 1996.
Culture,0.4467,Art,0.3765,Media and Entertainment,0.3362,1603,while the 1603 includes the ATI Radeon HD 3450.
Sports,0.6587,Culture,0.6244,Education,0.4744,000,000 participants for 1\
Science and Technology,0.6653,Education,0.5946,Sports,0.3691,,and how many test runs did he get?
Sports,0.8728,Warfare and Conflict,0.1196,Culture,0.103,"Emmanuel Eboué, 214",Emmanuel Eboué played 214 games for Arsenal\
Warfare and Conflict,0.6155,Society,0.0259,Political,0.0055,"Navy, BRP Bacolod City, December 1993\",BRP Bacolod City was commissioned into Navy in December 1993\
Culture,0.5699,Political,0.3355,Business and Economic,0.1891,the National Book Award for the Translation of Schmidt's,Woods received the National Book Award for the Translation of Schmidt's Evening Edged in Gold.
Healthcare and Medicine,0.262,Science and Technology,0.2512,Culture,0.2381,,whose record was 2\
Culture,0.4991,Business and Economic,0.3331,Education,0.3023,520 cubic feet,520 cubic feet for one TEU.
Culture,0.9173,Sports,0.885,Science and Technology,0.7322,"Shreyas Chi Mandli, the week, 189",but Shreyas Chi Mandli finished the week with the highest score of 189.
Political,0.9624,Culture,0.1844,Business and Economic,0.0545,"1842, Wallachian",In the 1842 Wallachian princely election\
Warfare and Conflict,0.8481,Media and Entertainment,0.0931,Business and Economic,0.0427,,Mutinies On The Banzai.
Sports,0.8403,Culture,0.7628,Art,0.4268,"23–18, third, Sporting",Porto defeated Sporting by 23–18 and claimed their third win in the competition
Political,0.8482,Culture,0.8103,Society,0.4984,"289, 173",MPLA won 173 out of the 289 seats.
Culture,0.7555,Society,0.6466,Healthcare and Medicine,0.5235,"1:59.92, 1:59.48",with times of 1:59.92 and 1:59.48.
Culture,0.3622,Business and Economic,0.1432,Warfare and Conflict,0.1365,,You Can Feel Bad\
Culture,0.7275,Society,0.4443,Education,0.4392,"2.59%, African American\",2.59% African American\
Culture,0.7775,Business and Economic,0.6838,Science and Technology,0.411,"Quebec, CBF-4",Quebec is the city of license for CBF-4.
Culture,0.332,Art,0.1958,Sports,0.0838,"Orlova Chuka, 200, 13\",200 m) and Orlova Chuka (13\
Media and Entertainment,0.902,Political,0.0137,Culture,0.0041,"Clyde, 1967)\, Bonnie, Benton",Benton contributed his writing work in Bonnie and Clyde (1967)\
Culture,0.6385,Society,0.5279,Media and Entertainment,0.5153,100,100 rpm.
Sports,0.9779,Media and Entertainment,0.0725,Culture,0.0587,"Baskonia, 15\, CET, 18:30, 18 February 2017, Real Madrid, Rey",The 18 February 2017 Copa del Rey match between Baskonia and Real Madrid began at 18:30 (CET) and had 15\
Sports,0.8777,Culture,0.5999,Media and Entertainment,0.5006,May 17\,The final was played on May 17\
Culture,0.6899,Society,0.5937,Business and Economic,0.499,2017,2017.
Culture,0.6841,Art,0.6556,Society,0.6465,5.11 carats,which weighs 5.11 carats.
Sports,0.9416,Society,0.5738,Culture,0.4701,"962, 1912 season",have played in 962 games since their 1912 season.
Media and Entertainment,0.8613,Culture,0.6129,Science and Technology,0.3485,million,million viewers per episode\
Sports,0.6346,Culture,0.6153,Art,0.382,"36.57, 36.68, Pavel Pegov",Pavel Pegov clocked 36.68 and a day later he sharpened the record to 36.57.
Warfare and Conflict,0.2812,Society,0.0351,Political,0.0256,two,two F-111s\
Sports,0.5144,Culture,0.4641,Art,0.1788,"237 yards, Winston",Winston completed 20 of 35 passes for 237 yards.
Culture,0.5962,Society,0.347,Warfare and Conflict,0.2543,502 km,502 km.
Culture,0.9339,Sports,0.8059,Society,0.74,"96.467, France",finishing ahead of France by almost a full point (96.467).
Culture,0.7889,Science and Technology,0.3518,Business and Economic,0.3278,"Honshū, Japan\",Honshū in Japan\
Sports,0.9349,Culture,0.4678,Art,0.3877,Tottenham Hotspur 2–1\,defeated Tottenham Hotspur 2–1\
Media and Entertainment,0.4028,Society,0.05,Culture,0.0185,"Dreamin', the following year",followed by Dreamin' is Easy the following year.
Media and Entertainment,0.9681,Business and Economic,0.459,Culture,0.1769,Monkey King,Monkey King: Hero Is Back was the highest-grossing animated film in China\
Sports,0.935,Society,0.2919,Culture,0.0887,"Football Park, Sunday 6 October 1996, SANFL Grand Final, 1996",The 1996 SANFL Grand Final was played on Sunday 6 October 1996 at Football Park in front of a crowd of 46\
Sports,0.8857,Culture,0.8103,Art,0.6931,1945 to 1947,with 3 consecutive wins from 1945 to 1947.
Sports,0.5865,Culture,0.0159,Warfare and Conflict,0.0135,137,Bahamontes won the mountains classification with 137 points\
Culture,0.7473,Art,0.4421,Society,0.3396,"485.143, UHF Channels, 647.143",UHF Channels 43 and 16 have frequencies of 647.143 MHz and 485.143 MHz respectively.
Media and Entertainment,0.9436,Art,0.2522,Culture,0.0626,"a Film Award for Best Actor, Vikram, Pithamagan",Vikram's performance in Pithamagan won a Film Award for Best Actor.
Sports,0.8181,Culture,0.7132,Political,0.289,Ireland\,The Pairs went to Ireland\
Culture,0.6087,Art,0.3922,Science and Technology,0.3527,"235.79, 9.54",235.79 g/mol and an isoelectric point of 9.54.
Culture,0.5506,Society,0.4495,Science and Technology,0.4061,13.82 seconds,13.82 seconds and a 1 minute\
Warfare and Conflict,0.666,Sports,0.653,Culture,0.4492,"2014, Team Seagate, Ecuador",before again being reclaimed by Team Seagate in Ecuador in 2014.
Warfare and Conflict,0.6532,Art,0.6268,Political,0.6012,"the Royal Siamese Army, Phraya Phahonphonphayuhasena, Luang Phibunsongkhram",Luang Phibunsongkhram replaced Phraya Phahonphonphayuhasena as Commander of the Royal Siamese Army.
Culture,0.6403,Society,0.3742,Warfare and Conflict,0.3264,"177, the Billboard Pop Albums",which reached 177 on the Billboard Pop Albums chart.
Culture,0.8325,Media and Entertainment,0.8087,Society,0.6644,9.87 million,selling a total of 9.87 million copies.
Business and Economic,0.3222,Science and Technology,0.2466,Political,0.07,"Steve Jobs, Selma",Selma and Steve Jobs.
Culture,0.5149,Media and Entertainment,0.3513,Science and Technology,0.3416,Anu Malik\,along with Anu Malik\
Culture,0.5422,Business and Economic,0.4662,Political,0.4615,"Henry Flagler, Miami\",Henry Flagler became the Father of Miami\
Environmental,0.9103,Business and Economic,0.4555,Education,0.4075,2.87 ERA\,a 2.87 ERA\
Culture,0.6509,Science and Technology,0.6405,Healthcare and Medicine,0.5839,2017\,in 2017\
Culture,0.8372,Society,0.629,Art,0.623,115,receiving 115 votes compared to 52 votes.
Culture,0.7253,Society,0.6317,Healthcare and Medicine,0.5826,98.5%,with turnout reported to be 98.5%.
Culture,0.6483,Society,0.5528,Environmental,0.35,500 acres,500 acres.
Sports,0.8048,Culture,0.7845,Business and Economic,0.5021,"third, Jari-Matti Latvala",with Jari-Matti Latvala rounding out the podium in third place.
Culture,0.7118,Society,0.6068,Art,0.5107,7000,bearing numbers 7000 to 7754.
Culture,0.8832,Sports,0.7354,Science and Technology,0.6679,"Wang Li, Danielle Brown, 551, first, China, 676",Danielle Brown ranked first with a world record of 676 points whereas China's Wang Li ranked lowest with 551 points.
Culture,0.7698,Society,0.7171,Science and Technology,0.704,1963,1963.
Media and Entertainment,0.9621,Political,0.4368,Culture,0.3304,"1978\, C. J. & Company, 1977, Deadeye Dick",C. J. & Company released Devil's Gun in 1977 and Deadeye Dick in 1978\
Culture,0.7684,Society,0.623,Business and Economic,0.5641,"600, 45\, 92.4%",600 (92.4%) votes in favour to 45\
Sports,0.9853,Culture,0.8841,Science and Technology,0.3916,"19.80 seconds, Canadian, De Grasse",De Grasse set a Canadian record of 19.80 seconds.
Sports,0.9156,Culture,0.8391,Art,0.7452,"first, Austrian, VC Tirol Innsbruck",eliminating the Austrian competitor VC Tirol Innsbruck (3-1; 1-3) in first leg\
Culture,0.6689,Society,0.6057,Business and Economic,0.4934,2016,2016.
Political,0.8416,Warfare and Conflict,0.7341,Culture,0.6788,"Italy, Croatia",Croatia v. Italy on 14 June\
Sports,0.9759,Culture,0.781,Art,0.3895,"45–37\, Rodriguez's Wildcats, New Mexico",Rodriguez's Wildcats defeated New Mexico by 45–37\
Media and Entertainment,0.9795,Art,0.4754,Political,0.393,"A Man for Emily, Sandra Dickinson, 1975",Sandra Dickinson portrayed Emily in A Man for Emily (1975).
Sports,0.9521,Warfare and Conflict,0.5877,Culture,0.2319,"St Francis, 9–0, second",St Francis lost their second game by 9–0 to Rossiyanka.
Political,0.8657,Culture,0.0095,Society,0.0094,"2018, 2017",the 2017 and 2018 Women's Marches\
Media and Entertainment,0.8786,Culture,0.4483,Society,0.0441,"the House Party, Big Jon Atkinson",Corritore collaborated with Big Jon Atkinson for the House Party At Big Jon's on Delta Groove.
Sports,0.8387,Society,0.0838,Warfare and Conflict,0.0206,"2016, Macau",In Macau at the 2016 Summer Paralympics\
Science and Technology,0.5183,Media and Entertainment,0.4876,Culture,0.4852,,episode 126\
Sports,0.9631,Warfare and Conflict,0.1926,Art,0.0371,"John F. Kennedy Stadium, Army",all Army–Navy Games were held in John F. Kennedy Stadium.
Culture,0.9333,Sports,0.753,Art,0.7487,Delapietra,but the silver was awarded to Delapietra.
Culture,0.6705,Business and Economic,0.493,Healthcare and Medicine,0.4784,"170, 156",156 or 170.
Political,0.9717,Culture,0.378,Warfare and Conflict,0.282,Barry Goldwater,against Barry Goldwater (R–Arizona)\
Political,0.9658,Culture,0.4371,Warfare and Conflict,0.2643,"Powhatan Ellis, the United States, Mississippi, Andrew Jackson, Peter Randolph",Andrew Jackson nominated Powhatan Ellis to a seat on the United States District Court for the District of Mississippi vacated by Peter Randolph.
Culture,0.6732,Science and Technology,0.5949,Society,0.5831,2011\,2011\
Political,0.1441,Culture,0.1396,Business and Economic,0.094,,what were they?
Business and Economic,0.0748,Culture,0.0505,Society,0.024,,Compared to the Flexity Classic trams\
Culture,0.7237,Business and Economic,0.6378,Society,0.6163,"2008, 2007",2007 and 2008.
Science and Technology,0.757,Business and Economic,0.345,Culture,0.2815,"206, China, 500",China had 206 out of the top 500 supercomputers\
Media and Entertainment,0.9453,Culture,0.0329,Political,0.0243,"M. Night, Split, 2016",Gioulakis did director M. Night Shyamalan's 2016 film Split.
Sports,0.9431,Culture,0.7668,Business and Economic,0.6626,"last season, Tirana, Champions",Tirana won the championship and were Champions last season.
Sports,0.2888,Culture,0.2684,Science and Technology,0.2577,Australian,an Australian record.
Culture,0.6812,Sports,0.6053,Society,0.1622,"1999, Andy Reid",and was retained by new head coach Andy Reid in 1999.
Culture,0.6996,Society,0.6438,Science and Technology,0.616,1980\,In 1980\
Sports,0.9876,Warfare and Conflict,0.7452,Culture,0.0599,"the Mobbs Memorial Match, Barbarians, the Bedford Blues",the Mobbs Memorial Match was played between the Bedford Blues and the Barbarians.
Media and Entertainment,0.7761,Culture,0.5524,Science and Technology,0.4069,"1999, Original, Golden Trailer Awards\",for 'Most Original' trailer at the 1999 Golden Trailer Awards\
Culture,0.5447,Warfare and Conflict,0.386,Society,0.375,"14\, 491",491 and 14\
Media and Entertainment,0.7814,Culture,0.7788,Art,0.7013,"first, 2006, second, 2011",first one produced in 2006 and second one in 2011.
Sports,0.8659,Culture,0.612,Society,0.5045,June 6\,The final was played on June 6\
Media and Entertainment,0.9414,Culture,0.0058,Society,0.0019,Hilary Duff,Hilary Duff for Best Actress and Best Horror Movie.
Sports,0.984,Warfare and Conflict,0.6639,Culture,0.452,"21-6, Vukovi Beograd",Kragujevac Wild Boars defeated Vukovi Beograd by 21-6.
Sports,0.93,Culture,0.7418,Art,0.6331,"2014, 2018",who was head coach from 2014 to 2018 and won 4 national championships as head coach.
Culture,0.647,Society,0.5145,Environmental,0.4316,"893 acres, January 12",893 acres before being fully contained on January 12.
Culture,0.9048,Media and Entertainment,0.5448,Society,0.4408,"Denver, Colorado Public Radio's, 88.1",and 88.1 FM carried Colorado Public Radio's classical service in Denver.
Culture,0.7972,Business and Economic,0.6693,Society,0.6646,37.5%,owning a 37.5% stake each.
Culture,0.6454,Sports,0.4057,Society,0.3476,"Jill Staub, Jennifer Jones, 1990-91, third",Jennifer Jones was at third in 1990-91 when Jill Staub was at skip\
Sports,0.8276,Culture,0.3644,Warfare and Conflict,0.1354,"U.S., Andy Najar\",called up by the U.S. national team and Andy Najar\
Culture,0.7067,Sports,0.6556,Art,0.4987,"lb⋅ft, 500, 10.6, 14.4",500 rpm with 14.4 N⋅m (10.6 lb⋅ft) of torque at 7\
Sports,0.8971,Business and Economic,0.0557,Science and Technology,0.0227,2012)\,Sprint (2012)\
Media and Entertainment,0.5147,Culture,0.0445,Warfare and Conflict,0.0065,"the Tedeschi Trucks Band, a Grammy Award for Best Blues Album, Revelator",the Tedeschi Trucks Band won a Grammy Award for Best Blues Album for their debut album Revelator.
Media and Entertainment,0.9764,Culture,0.6243,Society,0.0884,"Brendon Urie, Travie McCoy's, Keep On Keeping On",Brendon Urie was featured in Travie McCoy's single Keep On Keeping On.
Media and Entertainment,0.0332,Healthcare and Medicine,0.0205,Art,0.0109,"the United States, Geffen Records, July 20\, Autobiography",The album Autobiography was released in the United States by Geffen Records on July 20\
Business and Economic,0.0971,Science and Technology,0.0076,Political,0.006,"Boeing, 737-3Q8\",a Boeing 737-3Q8\
Culture,0.4474,Sports,0.3998,Society,0.3071,"114, 155, 1.8, Turbo, 1986",The 1.8 Turbo was launched in 1986 with 155 PS (114 kW) of power at 5\
Culture,0.6621,Society,0.6051,Education,0.4249,1966,and 30 of them were withdrawn in 1966.
Culture,0.731,Sports,0.6589,Art,0.5513,"227 kg, 402 kg",227 kg lift in the clean and jerk for a total of 402 kg (both lifts combined).
Political,0.925,Culture,0.4623,Business and Economic,0.2887,"Mike Purnell, 67.7%, Seth Hammett",Seth Hammett ran against Mike Purnell and received 67.7% of the vote.
Culture,0.8095,Healthcare and Medicine,0.6531,Science and Technology,0.5725,India,in India in 2005–06
Culture,0.7509,Science and Technology,0.6077,Business and Economic,0.582,552,552 votes.
Culture,0.6892,Science and Technology,0.6083,Society,0.6052,2003\,In 2003\
Culture,0.7271,Sports,0.6738,Business and Economic,0.6589,2009,winning until 2009.
Business and Economic,0.0673,Political,0.0471,Warfare and Conflict,0.0313,Toronto Pearson International Airport,behind Toronto Pearson International Airport.
Science and Technology,0.1254,Business and Economic,0.0981,Warfare and Conflict,0.0867,,with Sunsoft\
Media and Entertainment,0.4579,Business and Economic,0.3104,Science and Technology,0.2453,Summer Vacation,Happy Summer Vacation with BTOB\
Sports,0.9069,Society,0.5017,Culture,0.4847,four,recording four goals and four assists\
Sports,0.855,Culture,0.6108,Political,0.4197,Kentucky,Kentucky's crowd of 8\
Culture,0.7321,Society,0.6718,Science and Technology,0.6513,1983\,1983\
Media and Entertainment,0.9542,Political,0.4037,Art,0.0545,"Climate Change, Jennifer Lopez, Pitbull, Austin Mahone, R. Kelly",Kronic produced Sexy Body (with Jennifer Lopez) and Dedicated (featuring R. Kelly and Austin Mahone) on Pitbull's studio album Climate Change.
Media and Entertainment,0.8995,Art,0.8085,Culture,0.2554,"Sydney Theatre Awards, Helpmann Awards, Leticia Cáceres'",Leticia Cáceres' production The Drover's Wife won Helpmann Awards for Best Direction and Best Production and Sydney Theatre Awards for Best Direction.
Culture,0.6351,Society,0.6231,Art,0.4397,"April 15th\, 1881",1881 until April 15th\
Political,0.1743,Culture,0.012,Religion and Philosophy,0.0069,"1986, 1991",Karma (1986) and Saudagar (1991).
Political,0.9081,Culture,0.3432,Science and Technology,0.2459,"Struve, the United States",Struve was posted as Minister to the United States.
Media and Entertainment,0.9786,Culture,0.7456,Art,0.6117,"Stanley Miller, Rykka",Feel the Love performed by Stanley Miller and The Last of Our Kind performed by Rykka.
Culture,0.5797,Business and Economic,0.5121,Science and Technology,0.4627,987\,987\
Business and Economic,0.2958,Political,0.1635,Society,0.0653,"Cape Town International Airport, Johannesburg",behind both OR Tambo International Airport in Johannesburg and Cape Town International Airport.
Media and Entertainment,0.98,Culture,0.2268,Political,0.0247,"Schuyler Joplin, 2009–2010)\",Schuyler Joplin in One Life to Live (2009–2010)\
Sports,0.789,Art,0.4812,Culture,0.4676,only 418 yards,as he earned only 418 yards and no touchdowns.
Sports,0.4163,Business and Economic,0.0433,Society,0.0381,Gwynn,Gwynn batted .394\
Sports,0.9898,Culture,0.6976,Business and Economic,0.2893,"Loftus Versfeld Stadium, Sydney, Australia, the ANZ Stadium, Pretoria, South Africa",Australia hosted at the ANZ Stadium in Sydney and South Africa hosted at Loftus Versfeld Stadium in Pretoria.
Culture,0.7021,Sports,0.597,Media and Entertainment,0.5527,"NBL 2015, Josephine Ochoa, Nathalia, 9)\",Josephine Ochoa from NBL 2014 (Season 8) and Nathalia Casco from NBL 2015 (Season 9)\
Culture,0.7807,Society,0.6771,Art,0.5303,"626, 646",there were 646 are males and 626 are females.
Sports,0.3398,Warfare and Conflict,0.0284,Political,0.01,364,after 364 appearances and 66 goals for Liverpool\
Sports,0.5477,Business and Economic,0.2312,Culture,0.0483,,Everton (England)\
Media and Entertainment,0.8833,Culture,0.4578,Sports,0.3514,"Sony Music Italy, 2 June 2017",Voglio ballare con te was released on 2 June 2017 through Sony Music Italy.
Culture,0.1884,Society,0.1534,Education,0.1014,2009,which were replaced by single-deck buses in 2009.
Political,0.9192,Art,0.7221,Culture,0.6068,Rameshwar Dayal,defeating SP candidate Rameshwar Dayal.
Culture,0.2438,Society,0.2085,Warfare and Conflict,0.1975,"319, ACJ, 330, one, two",two ACJ 319 and one ACJ 330-200 aircraft.
Culture,0.0612,Society,0.0305,Warfare and Conflict,0.0269,"Esmeraldas, 7.6",The magnitude 7.6 earthquake struck Esmeraldas Province\
Society,0.7196,Culture,0.4349,Education,0.1349,"1994, Sisters",and Sisters of… in 1994.
Sports,0.9842,Culture,0.7267,Science and Technology,0.3928,"Ifeany Otounye, 7.15",Ifeany Otounye achieved 7.15 m in the long jump.
Sports,0.6039,Society,0.4242,Business and Economic,0.333,1987-1988,the 1987-1988 season\
Political,0.8634,Culture,0.8008,Society,0.6396,"263, 413",which won 263 of the 413 seats.
Media and Entertainment,0.0626,Culture,0.0012,Society,0.0011,"178, between 1993 and 2001, eight seasons",Diagnosis: Murder had a total of eight seasons and 178 episodes which were broadcast between 1993 and 2001.
Culture,0.4221,Business and Economic,0.0405,Science and Technology,0.0339,"2.10, 2.79 km², Wimmental, km², Grantschen",2.10 km² is Grantschen and 2.79 km² is Wimmental.
Media and Entertainment,0.951,Culture,0.0515,Political,0.005,"French, The Chronicles of Narnia, Beaver",French provided the voice for the character Mrs. Beaver in The Chronicles of Narnia: The Lion\
Sports,0.9889,Media and Entertainment,0.4135,Culture,0.404,"1949\, the Baltimore Bullets, 1948, the Minneapolis Lakers",followed by the Baltimore Bullets and the Minneapolis Lakers in 1948 and 1949\
Political,0.6575,Business and Economic,0.591,Sports,0.4281,Hardy Richardson,Hardy Richardson was part of the Big Four.
