question,answer
how many receiving yards did jared abbrederis get in 2011?,933.0
what was the won-lost record in regular season of cincinnati reds ?,"<214.0>, <282.0>"
when did patrick brown eject from simcoe north?,"february 16, 2018"
how many matches did ignacio camacho play for malaga before joining wolfsburg?,199.0
"in 2013/2014, on any given day, how many adult offenders are being supervised in either provincial/territorial or federal correctional services?",139337
"in the 10 reporting provinces and territories for which both custody and community data were available, how many adult offenders are in either custody or a community program on a given day?",116442
what is the incarceration rate of total correctional services?,492
"what are the percentage change of incarceration rate from the previous year and from five years earlier, respectively?","<4>, <12>"
how many adult offenders are in the federal correctional system?,22895
what is the federal incarceration rate?,81
how many percent of the federal incarceration rate was decreased from pervious year?,3
"compared to 2009/2010, how many percent of the federal incarceration rate was increased?",4
how many percent of adults under correctional supervision in the provinces and territories in 2013/2014 were in custody?,0.186393
how many percent of adults under correctional supervision in the provinces and territories in 2013/2014 were in the community?,0.821697
"in 2013/2014, how many adults are in custody on an average day?",36845
"in 2013/2014, how many adult offenders are in provincial/territorial custody?",21704
"in 2013/2014, how many adult offenders are in federal custody?",15141
what is the provincial/territorial incarceration rate for custody?,87
how many percent of the provincial/territorial incarceration rate for custody is decreased from previous year?,3
"how many percent of the federal incarceration rate for custody is increased from the previous year to 54 offenders per 100,000 adult population?",3
how many provinces and territories has reported a decreasing incarceration rate for custody only among 12 reporting provinces and territories?,5
"which province has the highest rate of incarceration in custody at 242 per 100,000 adult population?",manitoba
which province has the lowest incarceration rate in custody?,british columbia
"on any given day in 2013/2014, in the 10 provinces and territories for which community data were reported, how many adult offenders are being supervised through community programs?",95680
"how many offenders are being supervised by correctional service canada on day parole, full parole, or statutory release?",7754
"in provincial/territorial corrections, what is the rate of adult offenders being supervised in the community stood in 2013/2014?",404
"in provincial/territorial corrections, how many percent point of the rate of adult being supervised in community stood has decreased from the previous year?",5
"how many percent point of the rate of federal offenders in community supervision has declined to a rate of 27 adults per 100,000 population?",13
"when did ""the one you love"" release?",1982.0
what was the peak chart position on the billboard 200 of siren song of the counter culture?,136.0
"in alberta's agricultural region 7, what was the percentage of french-language workers born in canada, but in a province other than alberta?",22.1
"in 2011, what was the percentage of french-language agricultural workers were catholic, significantly higher than for other agricultural workers in the region?",88.9
what was the percentage of french-language workers declared having no religious affiliation of french-language workers in manitoba's region 9?,7.0
what was the percentage of the other agricultural workers declared having no religious affiliation in manitoba's region 9?,17.9
"in 2013/2014, what is number of the total admissions to federal and provincial/territorial adult correctional services in the 12 reporting provinces and territories?",341807.0
what is the decrease rate of total admissions in correctional supervision from the previous year in 2013/2014?,3
how many percent of all admissions was to provincial/territorial corrections?,0.953605
"in the 12 reporting provinces and territories, what is the largest overall decrease rate from 2012/2013 in total correctional supervision?",-8
"in the 12 reporting provinces and territories, which region has recorded the largest overall decrease from 2012/2013 in total correctional supervision?","<new brunswick>, <ontario>"
"from 2012/2013 to 2013/2014, what is the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?",9
"from 2012/2013 to 2013/2014, which region has recorded the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?",nunavut
"while accounting for 15% of overall admissions, which sector has smaller share of female admissions? custody or community supervision?",custody
how many percent of admissions to total correctional supervision in 2013/2014 are aboriginal adults?,24.0
how many percent of total custodial admissions in the provinces and territories in 2013/2014 are admitted by aboriginal people?,26.0
how many percent of total community admissions are addmited by aboriginal people in the provinces and territories?,23.0
"in 2013/2014, what is the total operating expenditures for correctional services in canada?",4.581961
"in 2013/2014, how many percent of total operating expenditures for correctional services in canada has increased from the previous year after adjusting for inflation?",5.3
what is the total operating expenditures for correctional services for each person in the canadian population?,130.32
which sector has a higher total cost? federal adult correctional services or the provincial and territorial system?,federal
"on average, in 2013/2014, what is the institutional expenditures per day for federal offenders?",298.07
"on average, in 2013/2014, what is the institutional expenditures per day per provincial and territorial offenders?",196.1
what is the overall rate of childhood physical abuse across ages 15 to 74?,17.8
"if the respondent had also experienced sexual abuse in childhood, what is the rate of physical abuse across ages 15 to 74?",46.4
"for all individuals aged 15 to 74, what is the rate of experiencing physical abuse in childhood if they also witnessed parental violence at least six times?",69.5
"among those who said they witnessed parental violence between one and five times, how many percent of people would say they were victims of childhood physical abuse?",44.8
"for those who witnessed no parental violence, how many percent of people would say they were victims of childhood physical abuse?",13.3
"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people would say it was physical abuse only?",52.9
"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people would say it was sexual abuse only?",18.8
"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people would say that they had witnessed frequent parental violence only?",4.2
"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people said that they had experienced any two of the three maltreatment factors?",19.4
"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people said they had experienced all three forms of violence?",4.7
which club did hughes play for in 1995-96?,chelsea
when did jupp heynckes become the manager of eintracht frankfurt?,1 july 1994
which club did zlicic play for in 2016-17?,vojvodina
how many league goals did rivera score for milan totally?,122.0
"how many percent of cannabis consumers who reported not paying have continued to report that they got at least some of their cannabis with family and friends in 2019 and in 2018, respectively?","<77.1>, <69.8>"
which source of cannabis by the highest spenders has decreased from 70.1% in 2018 to 62.0% in 2019?,illegal
how many percent of private incorporated businesses owned by immigrants were located in the kbi sector?,13.2
how many percent of private incorporated businesses owned by the canadian-born were located in the kbi sector.,11.1
"among the primarily self-employed, how many percent of immigrant businesses were in the kbi sector?",8
"among the primarily self-employed, how many percent of canadian-born owned businesses were in the kbi sector?",7.4
which industry has the largest shares of immigrant- and canadian-owned businesses among the primarily self-employed?,lessors of real estate
which immigrant class has the highest relative rates of primary self-employment in knowledge-based industries?,economic
which immigrant class has the highest relative rates of primary self-employment in engineering and it industries?,economic
how many percent of private incorporated companies owned by the economic class pas were in kowledge-based industries?,22.9
what proportion of private incorporated companies owned by the economic class pas were in retail trade or food services.,18.6
how many percent of the incorporated businesses owned by dependants of economic pas were in retail trade or food services?,21.9
how many percent of the incorporated businesses owned by dependants of economic pas were in knowledge-based industries?,14.4
list top three self-employment among economic class dependants.,"<retail trade>, <services to buildings and dwellings>, <lessors of real estate>"
which group of people were more likely to report that they had been physically assaulted and sexually assaulted since age 15? sexual minority canadians with a disability or those who did not have a disability?,person with disability
which group of people are more likely to have experienced both types of violent victimization since age 15? sexual minority people who self-identified as indigenous those of non-indigenous sexual minorities.,indigenous person
which gourp of people were more likely to have experienced an inappropriate behaviour in public? sexual minority canadians with a disability or those who did not have a disability?,person with disability
which group of people were more likely to have experienced an inappropriate behaviour while online? sexual minority canadians with a disability or those without a disability?,person with disability
which group of people are more likely to have experienced inappropriate behaviours online? indigenous sexual minorities or non-indigenous sexual minorities?,indigenous person
what matches did dundee united competed in?,"<spl>, <scottish cup>, <league cup>, <europa league>"
how many receiving yards did ingram jr get in 2010?,282.0
how many percent of bisexual women have reported that they had experienced an inappropriate behaviour in public?,76.4
which group of sexual minorities has the highest proportion of reporting that they had experienced an inappropriate behaviour in public?,female gender
how many percent of all bisexual men have experienced unwanted behaviours online in the past 12 months.,40.3
how many percent of all sexual minority canadians aged 15 and older have stated that their mental health was poor or fair?,32.1
"how many percent of bisexual canadians and gay or lesbian canadians, respectively, have reported poor or fair mental health?","<40.9>, <19.7>"
how many percent of heterosexual canadians have reported poor or fair mental health?,10.7
how many percent of sexual minority canadians have reported that they had been diagnosed with a mood or anxiety disorder?,41.1
how many percent of heterosexual canadians have reported a mood or anxiety disorder diagnosis.,16.4
"among sexual minorities, how many percent of bisexual canadians have reported they had been diagnosed with a mood or anxiety disorder?",50.8
how many percent of gay or lesbian canadians have reported a diagnosed mood or anxiety disorder?,29.6
how many percent of those who were a sexual minority not elsewhere classified have reported a diagnosed mood or anxiety disorder?,40.9
how many percent of heterosexual canadians have reported that they had seriously contemplated suicide at some point in their lives?,14.9
how many percent of sexual minority canadians have reported that they had seriously contemplated suicide at some point in their lives?,40.1
whichgroup of people is least likely to report that they had contemplated suicide?,heterosexual
which group of people has a higher proportion of people reporting that they had experienced physical or sexual assault in their lifetimes? transgender canadians or cisgender canadians?,transgender
which group of people has a larger proportion of people reporting that they had experienced an unwanted sexual behaviour while in public in the 12 months? transgender canadians or cisgender canadians?,transgender
which group of people were more likely to change their username or block others as a result of harassment they had experienced online? transgender or cisgender people?,transgender
which club did fattori play for in 2015?,newell's old boys
what was the passing rate that josh freeman got in 2013?,59.3
which club did muggleton play for in 2016-17?,eastleigh
how many goals did peter swan score in his career in the football league?,62.0
"in alberta's agricultural region 7, which operating arrangement had more proportion, sole proprietorships or the province as a whole?",sole proprietorship
"in alberta's agricultural region 7, which operating arrangement had fewer proportion, incorporated family farms or the province as a whole?",non-family corporation
which group of people were more likely to experience unwanted physical contact and suggestions that they do not act like a man or woman is supposed to act while at work? transgender canadians or cisgender canadians?,transgender
what proportion of cisgender canadians has considered their mental health to be poor or fair?,11.3
which group of people were much more likely to have a diagnosed mood or anxiety disorder? transgender canadians or cisgender canadians?,transgender
which group of people were much more likely to have seriously contemplated suicide in their lifetimes? transgender canadians or cisgender canadians?,transgender
"of the women admitted to shelter facilities in 2013/2014, how many percent of total admissions in canada were to transition homes?",50.0
how many percent of total admissions in canada were to emergency shelters and women's emergency centres?,41
how many percent of total admissions in canada were to second-stage housing.,3.0
how many of total admissions in canada were to other residential facilities.,6.0
what are the top two common reasons women sought shelter?,"<emotional abuse>, <physical abuse>"
how many percent of women in shelters on the snapshot date have cited financial abuse as one of their reasons for seeking shelter?,38.0
how many percent of women in shelters on the snapshot date cited threats as one of their reasons for seeking shelter?,36.0
how many percent of women in shelters on the snapshot date cited harassment as one of their reasons for seeking shelter?,27.0
how many percent of women in shelters on the snapshot date cited sexual abuse as one of their reasons for seeking shelter?,21.0
how many percent of women in shelters on the snapshot date cited other abuse as one of their reasons for seeking shelter?,12.0
"on that snapshot date, how many women have indicated human trafficking as a reason for seeking refuge?",67.0
how many percent of women have identified wanting to protect their children from witnessing abuse?,26.0
how many percent of women have identified wanting to protect their children from psychological abuse?,18.0
how many percent of women have identified wanting to protect their children from physical abuse as one of their reasons for seeking shelter?,10.0
how many percent of women have identified being unable to find affordable housing as one of their reasons for seeking shelter?,30.0
how many percent of women have cited short-term housing problems as one of their reasons for seeking shelter?,17.0
how many percent of women have reported housing emergencies as one of their reasons for seeking shelter?,10.0
"among all provinces and territories recorded in the table, which province has the highest proportion unable to find affordable housing?",prince edward island
"on snapshot day, which provinces or territories has the highest proportion of women residents with mental health issues?",newfoundland and labrador
"in canada, how many women in shelters have dentified their abuser as a current or former spouse or common-law partner?",2329.0
"in canada, how many percent of women in shelters have identified their abuser as a current or former spouse or common-law partner?",78.0
"when the new method (√fsize) is used and the median is calculated for individuals rather than families, what is the threshold for the cflim-at for 2015?","$20,137"
what is the cflim-at threshold for individuals when the old method is used?,"$18,213"
which club did signori play for in 1991-92?,foggia
list the five countries that the brics summit consists of.,"<brazil>, <russia>, <india>, <china>, <south africa>"
what was the rank of arizona?,6.0
what was the number of apps made by stan palk in all competitions ?,169.0
what was the result that nester geniwala'a got in the heat?,13.74
"in 2012, what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was often true that food did not last and there was no money to buy more food during the past 12 months?",15.9
"in 2012, what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was sometimes true that food did not last and there was no money to buy more food during the past 12 months?",42.6
what was the percentage of inuit lived in a household where they or other household members cut the size of their meals or skipped meals because there was not enough money for food?,30.5
"among those who skipped meals or cut meal size, what was the percentage of doing so almost every month?",40.5
"among those who skipped meals or cut meal size, what was the percentage of skipping some months but not every month?",42.1
what was the percentage of inuit reported eating less than they should because there was not enough money to buy food?,32.2
"what was the percentage of inuit reported that, in the previous 12 months, they had been hungry because they could not afford enough food?",26.8
how many percent of wheeled mobility device users have reported help from family members in the same household?,65.3
how many percent of wheeled mobility device users have reported help from family who lived elsewhere?,44.4
how many percent of wheeled mobility device users were assisted by unpaid organizations/individuals?,35.4
how many percent of wheeled mobility device users have paid for assistance?,27.0
how many percent of all enterprises in 2008 have kept their 2008 size.,47.5
how many percent of enterprises in 2008 have increased their size in 2014?,8.2
how many percent of enterprises of 2008 in 2004 have decreased their size?,7.1
"how many percent of enterprises of 2008 in 2004 went to ""attrition"".",37.3
"which sector has the lowest proportion of enterprises that went to ""attrition""?",manufacturing
how many percent of 2008 enterprises are in manufacturing sector?,0.049823
how many billion dollars did total s&e support to historically black colleges and universities (hbcus) decline for the third year in a row?,308.0
how many percentage points did total s&e support to historically black colleges and universities (hbcus) decline for the third year in a row down from fy 2016?,-0.174263
which club did bustos play for in 2015?,mumbai city
how many goals did vic mobley score for wednesday totally?,8.0
which enterprise size class in 2014 constitutes the largest proportion of enterprises in 2014 service sector that did not exist in 2008 service sector?,between 1 and 4
which province in canada had the highest rate of long-term job vacancy?,british columbia
what is the lowest long-term job vacancy rate?,0.11
list top 4 provinces or territories that could find most long-term job vacancies.,"<ontario>, <british columbia>, <quebec>, <alberta>"
"in 2016, what are the top two main industrial sectors that had the highest prevalence of long-term job vacancies?","<professional, scientific and technical services>, <health care and social assistance>"
which main industrial sector has posted the highest long-term job vacancy rate?,"professional, scientific and technical services"
which main industrial sector has the lowest long-term vacancy rate?,educational services
"in 2016, which workplace size has the highest prevalence of positions vacant for 90 days or more?",500 employees or more
what proportion of positions vacant for 90 days or more is in workplaces with 20 to 99 employees?,6.2
what proportion of positions vacant for 90 days or more is in workplaces with 100 to 499 employees.,9.1
what proportion of positions vacant for 90 days or more is in workplaces with less than 20 employees?,10.0
which workplace size has the highest long-term vacancy rate?,less than 20 employees
"in 2016, how many percent of long-term job vacancies were positions for which the employer did not specify any educational requirements?",22.5
how many percent of acancies for jobs requiring a bachelor's degree were long-term job vacancies?,15.2
how many times of the proportion recorded among positions requiring a graduate degree is higher than the proportion recorded among positions with no educational requirements?,2.952381
how many percent of vacancies for positions requiring at least eight years of experience had been vacant for 90 days or more?,17.5
"in 2016, what is the difference between employers were willing to pay $23.61 per hour on average to fill long-term vacancies and those with $19.63 for positions vacant for less than 90 days?",0.202751
"in 2016, list top two vacant positions among main industrial sectors that have the largest gaps between long-term job vacancies and other job vacancies.","<transportation and warehousing>, <manufacturing>"
"for having the largest gaps between long-term job vacancies and other job vacancies, which sectors ranked fourth and sixth, respectively?","<health care and social assistance>, <professional, scientific and technical services>"
how many percentatge points did twenty higher education institutions receiving the largest amounts of federal s&e support account of all s&e support obligations by the federal government?,0.365104
"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for r&d?",0.939304
"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for fttgs?",0.036168
"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for other s&e activities?",0.019253
"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for r&d plant?",0.002332
how many receptions did kittle get in 2017?,43.0
what was the weight of joshua bugajski?,96.4 kg
what was the role that howard acted in gone with the wind (1939)?,ashley wilkes
what was louis hostin's result in press(kilos)?,102.5
"among canadian women aged 45 to 54 with a high school diploma or less, how many percentage points of the rate has increased from 1997 to 2015?",8.3
"among canadian women aged 45 to 54 with a college-level education, how many percent of the rate has increased from 1997 to 2015?",7
"in united states, for women aged 45 to 54 with at most a high school diploma, what are the lfpr in 1997 and in 2015 respectively?","<68.2>, <63.6>"
how many times of the proportion of women aged 25 to 54 with a university degree has increased in canada from 1997 to 2015?,1.918033
"in the united states, what are the proportion of women aged 25 to 54 with a university degree in 1997 and in 2015 respectively?","<26.4>, <37.8>"
how many times of the proportion of canadian women aged 25 to 44 with a university degree have increased from 1997 to 2015?,2
which country has women aged 25 to 54 who were more likely to have a university degree in 1997? the united states or canada?,united states
"among all the age groups in 2014, which age group has the largest proportion of people who were satisfied with their job?",55 to 64
which occupational group was less likely to be satisfied with their job? individuals working in service and manufacturing occupations or those working in management occupations?,manufacturing and utilities
"how many percent of both men and women have reported a high to a very high extent of control over the order of work, respectively?","<40.6>, <40.3>"
"how many percent of both men and women reported a high or a very high extent of control over the hours of work, respectively?","<19.4>, <18.7>"
which group of people has a larger proportion of people reporting a high to a very high extent of control over how the work is done and the speed of work? men or women?,male
what proportion of individuals aged 18 to 24 and 55 to 64 respectively have reported a high to a very high extent of control over the order of work?,"<33.2>, <36.2>"
what is the range of the perentages of those with no postsecondary educationless more likely to report a high to a very high extent of control over a facet of job flexibility than those with a degree at the bachelor's level or above?,"<21.9>, <6.9>"
"for men, how many percent of increasing in the likelihood of being satisfied with their job was associated with having control over three of the four facets of job flexibility in lisa?",0.09
"for men, how many percent of increasing in the probability of being satisfied with their job was associated controlling over all facets of job flexibility?",0.186
"for women, how many percent of increasing in the probability of being satisfied with their job was associated with controlling over one or two facets of job flexibility.",0.063
"for women, how many percent of increasing in the likelihood of being satisfied with their job was associated with having control over three or all four of the facets of job flexibility in lisa?","<0.095>, <0.177>"
what was the result that alwin muha got in the heat of the 400m event?,53.03 s
how many goals did syracuse score in the 1979-80 season?,364.0
which league did anas play for jamshedupr in the 2017-18 seaon?,indian super league
"in 2006-07 season, which league did badhri move to?",malaysia premier league
how many passes did derek cassidy complete in 2012?,48.0
which division did sammy morgan play for fc groningen in 1979-80?,eerste divisie
what was the percentage of individuals reported having taken a vitamin c-containing supplement in the previous month?,21.8
what was the percentage of individuals drank fruit juice daily?,24.5
what was the percentage of individuals ate citrus fruit daily?,16.0
what was the mean plasma vitamin c concentration of canadians aged 20 to 79?,53.666667
what was the difference between users of vitamin c-containing supplements of mean concentrations and those of non-users?,20
what was the prevalence of individuals were men?,49.8
what was the prevalence of individuals were daily or occasional smokers?,20.0
what was the prevalence of individuals were obese?,25.6
which age group has the highest linkage rate of all age groups in 2011?,51 or over
what is the percentage of cases on average in each year show a difference between t1ff and t4 file of no more than one dollar between data sources?,94.808333
what is the percentage of cases on average in each year show a difference between t1ff and t4 earnings of no more than one thousand dollars between data sources?,97.958333
what is the percentage of canadians aged 15 or older with ms reported using one or more treatments?,82.5
what is the percentage of people who receive treatment chose to take medications?,83.7
what is the percentage of people who receive treatment chose to use counselling?,27.0
what is the percentage of people who receive treatment chose to use complementary medicine?,25.3
what is the percentage of people who received treatment reported one type treatment strategy?,38.9
what is the percentage of people who received treatment reported multiple treatment strategies?,61.1
what was the w-l record in the regular season of phillies?,"<169.0>, <130.0>"
which club did rodgers play for in 2011?,new york red bulls
"in all multivariate models except the overweight population, which gender had significantly lower vitamin c concentrations, men or women?",men
which province has the largest declines?,alberta
which province has the second largest declines?,saskatchewan
what is the percentage of tumours of the same site reported in the ccr tumour file were selected as single primary cancer tumours?,0.973958
which age group has the highest surgical rates?,50 to 69 years
what is the percentage of prostate cancer tumours received a surgical intervention?,31.0
list the province or territory where 35% of prostate cancer tumours received a surgical intervention.,"<newfoundland and labrador>, <nova scotia>"
"in all jurisdictions,which age group has the highest rate of surgical intervention?",19 to 49 years
list the province where the surgical rate is lowest and the number of the rate.,"<prince edward island>, <13.6>"
list the province where the surgical rate is highest and the number of the rate.,"<new brunswick>, <25.1>"
"in fy 2017, how many percentage points did five federal agencies account of all federal obligations for s&e support to hbcus?",0.921821
how many million dollars did hhs provide the most s&e support accounting of all federal hbcu obligations?,98150.1
how many percentage points did hhs which provided the most s&e support account of all federal hbcu obligations?,0.318781
how many thousand dollars did nsf provide thousand in s&e support?,78672.0
how many percentage points did nsf which provided $79 million in s&e support account of all federal hbcu obligations?,0.255518
how many thousand dollars did usda provide in s&e support?,74615.8
how many percentage points did usda which provided $75 million in s&e support account of all federal hbcu obligations?,0.242344
what is the rate of bladder tumours received surgical treatment?,91.0
list the provinces where 88% of bladder tumours received surgical treatment.,"<ontario>, <manitoba>, <yukon>"
what is the percentage of bladder tumours received surgical treatment in newfoundland and labrador?,94.0
what is the overall surgical rate?,93.0
what the provinces where the surgical rate is 91%?,"<prince edward island>, <manitoba>, <british columbia>"
what is the surgical rate in newfoundland and labrador?,98.0
"in 2014, what is the percentage of incidents of offences against the administration of justice of all criminal code violations (excluding traffic) reported by police?",0.095918
"in 2014,what is the percentage of incidents includes an offence against the administration of justice cleared by charge?",91.4
"in 2014,what is the percentage of incidents that did not include administration of justice offences cleared by charge?",49.5
what is the change of rate of persons facing charges related to administration of justice offences increased between 2004 and 2014?,7.7
what is the decline of the rate of persons charged in criminal incidents in general has declined between 2004 and 2014?,19.7
what is the change of rate of persons facing charges related to administration of justice offences increased between 2004 and 2014?,7.7
what is the decline of the rate of persons charged in criminal incidents in general has declined between 2004 and 2014?,19.7
"among youth accused of offences against the administration of justice in 2014, what is the percentage of charges were subjected to formal charges instead of extrajudicial measures?",0.849421
"among other minority-serving institutions, how many thousand dollars did high-hispanic-enrollment institutions receive in federal obligations for s&e support in fy 2017?",1735558.0
"among other minority-serving institutions, high-hispanic-enrollment institutions (hhes) received $1.7 billion in federal obligations for s&e support in fy 2017, how many percentage points of increasing from fy 2016?",0.009327
how many thousand dollars did support to hhes for r&d amount to in fy 2017?,1546178.0
"support to hhes for r&d amounted to $1.5 billion, how many percentage points were up from the fy 2016 total?",0.030968
how many percentage points did r&d obligations account of total federal s&e support to hhes?,0.890882
what was the number of league appearances made by winston white in a 17-year career?,529.0
how many games did phil maloney coach the vancouver canucks?,232.0
what was the rank of moldovan national division sheriff in 2010-11?,2nd
what was the percentage of all farms of natural land for pasture in 2011?,40.3
"in completed adult criminal court cases where an administration of justice offence represented one or more of the charges,which type of charges were most frequently finalized by the courts in 2013/2014?",failure to comply with order
"in 2013/2014,what is the percentage of completed adult criminal court cases where an administration of justice offence represented one or more of the charges were breach of probation?",0.334289
"between 2005/2006 and 2013/2014, how much did cases involving the relatively low-volume charge of prisoner unlawfully at large grow?",0.404119
"between 2005/2006 and 2013/2014,how much did cases where failure to comply with an order were among the charges grow?",0.253108
"between 2005/2006 and 2013/2014,how much did cases charged of breach of probation grow?",0.205233
"between 2005/2006 and 2013/2014,how much did instances of failure change?",-0.19438
"in 2013/2014, what is the percentage of cases related to violent offences included charges for offences against the administration of justice?",0.196566
"what is the percentage of cases where other criminal code charges such as those related to weapons, prostitution, and impaired driving were the mso include offences against the administration of justice in 2013/2014?",0.139431
what is the percentage of drug-related cases included offences against the administration of justice in 2013/2014?,0.131469
what is the percentage of completed court cases that included at least one administration of justice offence resulted in a guilty verdict in 2013/2014?,0.761075
what is the percentage of completed cases that did not include any administration of justice offences where decisions of guilt were handed down in 2013/2014?,0.552141
what is the percentage of completed cases that included offences against the administration of justice in 2013/2014 resulted in charges being stayed or withdrawn?,0.213284
what is the percentage of completed cases where an administration of justice offence was among the charges were acquitted in 2013/2014?,0.018029
what is the percentge of completed adult criminal court cases that did not include any administration of justice charges resulted in acquittals in 2013/2014?,0.051883
what is the percentage of immigrants had relatives in the country prior to their admission?,44.3
what is the percentage of immigrants had friends in the country prior to admission?,63.0
which sex was more likely to have relatives who were living in the country prior to their admission in 2001?,women
which sex was less likely to have pre-admission friends ?,women
what is the percentage of immigrants who were admitted in 2001 reported that the friends they made after they were admitted to canada were mostly from their own ethnic group?,57.5
what is the percentage of immigrants reported that most of the friends they made after migrating to canada were from outside their ethnic group?,19.5
what is the percentage of immigrants reported that their post-immigration friends were equally divided between those who were from the same ethnic group and those who were from other ethnic groups?,10.9
what is the percentage of immigrants reported that they did not make any friends in their first six months after admission?,12.2
what is the percentage pf immigrants who were muslim?,18.3
what is the percentage pf immigrants who were catholic?,18.2
"what is the percentage pf immmigrants who were eastern religion (including hindu, sikh and buddhist)?",16.9
what is the percentage pf immigrants who were protestant?,11.9
"with regard to visible minority status, what is the percentage of the immigrants admitted in 2001 were chinese?",24.9
"with regard to visible minority status, what is the percentage of the immigrants admitted in 2001 were south asian or southeast asian?",25.5
"with regard to visible minority status, what is the percentage of the immigrants admitted in 2001 were not part of a visible minority group?",20.1
what is the percentage that the number of newborns in the t1ff more than that in the vital statistics in 1991?,0.02
what is the percentage that the number of newborns in the t1ff more than that in the vital statistics in 1992?,0.01
"during fy 2017, how many thousand dollars did federal agencies obligate in r&d?",7214464.0
how many thousand dollars did the patient-centered outcomes research institute receive the most in federal funds for r&d and r&d plant?,883941.2
how many passing yards did maynard get in 2011?,2990.0
what was the overall time of kenza tazi at the 2014 winter olympics?,2:17.15
when did the single (everybody's got to learn sometime) release?,1995.0
"by marital status,which kind of parents has the largest difference between the two definitions in absolute terms?",common law
"by parents'sex,which kind of parents has the largest relative difference between the two definitions?",male lone parent
"by parents'sex,which kind of parents has the largest absolute difference between the two definitions?",opposite-sex parents
"by family income,which group has the largest absolute difference between the two definitions?","$30,000 to $59,999"
what is the percentage of canadians who reported having no close friends in 2013?,6.0
what is the percentage of seniors aged 75 years and older reported having no friends in 2013?,15.0
