similarity_score,question
0.5195,"how many offenders are being supervised by correctional service canada on day parole, full parole, or statutory release?"
0.6545,"in provincial/territorial corrections, what is the rate of adult offenders being supervised in the community stood in 2013/2014?"
0.6574,"in provincial/territorial corrections, how many percent point of the rate of adult being supervised in community stood has decreased from the previous year?"
0.5298,"how many percent point of the rate of federal offenders in community supervision has declined to a rate of 27 adults per 100,000 population?"
0.1417,"when did ""the one you love"" release?"
0.4753,what was the peak chart position on the billboard 200 of siren song of the counter culture?
0.6938,"in alberta's agricultural region 7, what was the percentage of french-language workers born in canada, but in a province other than alberta?"
0.4795,"in 2011, what was the percentage of french-language agricultural workers were catholic, significantly higher than for other agricultural workers in the region?"
0.5849,what was the percentage of french-language workers declared having no religious affiliation of french-language workers in manitoba's region 9?
0.5622,what was the percentage of the other agricultural workers declared having no religious affiliation in manitoba's region 9?
0.655,"in 2013/2014, what is number of the total admissions to federal and provincial/territorial adult correctional services in the 12 reporting provinces and territories?"
0.4805,what is the decrease rate of total admissions in correctional supervision from the previous year in 2013/2014?
0.5557,how many percent of all admissions was to provincial/territorial corrections?
0.5746,"in the 12 reporting provinces and territories, what is the largest overall decrease rate from 2012/2013 in total correctional supervision?"
0.5566,"in the 12 reporting provinces and territories, which region has recorded the largest overall decrease from 2012/2013 in total correctional supervision?"
0.5918,"from 2012/2013 to 2013/2014, what is the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?"
0.5715,"from 2012/2013 to 2013/2014, which region has recorded the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?"
0.3597,"while accounting for 15% of overall admissions, which sector has smaller share of female admissions? custody or community supervision?"
0.5935,how many percent of admissions to total correctional supervision in 2013/2014 are aboriginal adults?
0.5164,how many percent of total custodial admissions in the provinces and territories in 2013/2014 are admitted by aboriginal people?
0.4634,how many percent of total community admissions are addmited by aboriginal people in the provinces and territories?
0.7074,"in 2013/2014, what is the total operating expenditures for correctional services in canada?"
0.6794,"in 2013/2014, how many percent of total operating expenditures for correctional services in canada has increased from the previous year after adjusting for inflation?"
0.6705,what is the total operating expenditures for correctional services for each person in the canadian population?
0.605,which sector has a higher total cost? federal adult correctional services or the provincial and territorial system?
0.4762,"on average, in 2013/2014, what is the institutional expenditures per day for federal offenders?"
0.6344,"on average, in 2013/2014, what is the institutional expenditures per day per provincial and territorial offenders?"
0.7555,what is the overall rate of childhood physical abuse across ages 15 to 74?
0.7249,"if the respondent had also experienced sexual abuse in childhood, what is the rate of physical abuse across ages 15 to 74?"
0.739,"for all individuals aged 15 to 74, what is the rate of experiencing physical abuse in childhood if they also witnessed parental violence at least six times?"
0.6543,"among those who said they witnessed parental violence between one and five times, how many percent of people would say they were victims of childhood physical abuse?"
0.6356,"for those who witnessed no parental violence, how many percent of people would say they were victims of childhood physical abuse?"
0.7314,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people would say it was physical abuse only?"
0.7098,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people would say it was sexual abuse only?"
0.6738,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people would say that they had witnessed frequent parental violence only?"
0.6377,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people said that they had experienced any two of the three maltreatment factors?"
0.6608,"among those aged 15 to 74 who said they had experienced any type of violence in childhood, how many percent of people said they had experienced all three forms of violence?"
0.3108,which club did hughes play for in 1995-96?
0.2466,when did jupp heynckes become the manager of eintracht frankfurt?
0.459,which club did zlicic play for in 2016-17?
0.4824,how many league goals did rivera score for milan totally?
0.5606,"how many percent of cannabis consumers who reported not paying have continued to report that they got at least some of their cannabis with family and friends in 2019 and in 2018, respectively?"
0.5423,which source of cannabis by the highest spenders has decreased from 70.1% in 2018 to 62.0% in 2019?
0.5863,how many percent of private incorporated businesses owned by immigrants were located in the kbi sector?
0.6061,how many percent of private incorporated businesses owned by the canadian-born were located in the kbi sector.
0.6414,"among the primarily self-employed, how many percent of immigrant businesses were in the kbi sector?"
0.6937,"among the primarily self-employed, how many percent of canadian-born owned businesses were in the kbi sector?"
0.6861,which industry has the largest shares of immigrant- and canadian-owned businesses among the primarily self-employed?
0.5824,which immigrant class has the highest relative rates of primary self-employment in knowledge-based industries?
0.5629,which immigrant class has the highest relative rates of primary self-employment in engineering and it industries?
0.4899,how many percent of private incorporated companies owned by the economic class pas were in kowledge-based industries?
0.4606,what proportion of private incorporated companies owned by the economic class pas were in retail trade or food services.
0.5258,how many percent of the incorporated businesses owned by dependants of economic pas were in retail trade or food services?
0.4384,how many percent of the incorporated businesses owned by dependants of economic pas were in knowledge-based industries?
0.3585,list top three self-employment among economic class dependants.
0.5802,which group of people were more likely to report that they had been physically assaulted and sexually assaulted since age 15? sexual minority canadians with a disability or those who did not have a disability?
0.4594,which group of people are more likely to have experienced both types of violent victimization since age 15? sexual minority people who self-identified as indigenous those of non-indigenous sexual minorities.
0.49,which gourp of people were more likely to have experienced an inappropriate behaviour in public? sexual minority canadians with a disability or those who did not have a disability?
0.5198,which group of people were more likely to have experienced an inappropriate behaviour while online? sexual minority canadians with a disability or those without a disability?
0.4949,which group of people are more likely to have experienced inappropriate behaviours online? indigenous sexual minorities or non-indigenous sexual minorities?
0.3376,what matches did dundee united competed in?
0.3692,how many receiving yards did ingram jr get in 2010?
0.4387,how many percent of bisexual women have reported that they had experienced an inappropriate behaviour in public?
0.5099,which group of sexual minorities has the highest proportion of reporting that they had experienced an inappropriate behaviour in public?
0.514,how many percent of all bisexual men have experienced unwanted behaviours online in the past 12 months.
0.483,how many percent of all sexual minority canadians aged 15 and older have stated that their mental health was poor or fair?
0.525,"how many percent of bisexual canadians and gay or lesbian canadians, respectively, have reported poor or fair mental health?"
0.5074,how many percent of heterosexual canadians have reported poor or fair mental health?
0.5015,how many percent of sexual minority canadians have reported that they had been diagnosed with a mood or anxiety disorder?
0.5105,how many percent of heterosexual canadians have reported a mood or anxiety disorder diagnosis.
0.5379,"among sexual minorities, how many percent of bisexual canadians have reported they had been diagnosed with a mood or anxiety disorder?"
0.4981,how many percent of gay or lesbian canadians have reported a diagnosed mood or anxiety disorder?
0.4455,how many percent of those who were a sexual minority not elsewhere classified have reported a diagnosed mood or anxiety disorder?
0.4325,how many percent of heterosexual canadians have reported that they had seriously contemplated suicide at some point in their lives?
0.4423,how many percent of sexual minority canadians have reported that they had seriously contemplated suicide at some point in their lives?
0.2789,whichgroup of people is least likely to report that they had contemplated suicide?
0.6877,which group of people has a higher proportion of people reporting that they had experienced physical or sexual assault in their lifetimes? transgender canadians or cisgender canadians?
0.6827,which group of people has a larger proportion of people reporting that they had experienced an unwanted sexual behaviour while in public in the 12 months? transgender canadians or cisgender canadians?
0.4745,which group of people were more likely to change their username or block others as a result of harassment they had experienced online? transgender or cisgender people?
0.2405,which club did fattori play for in 2015?
0.4157,what was the passing rate that josh freeman got in 2013?
0.3082,which club did muggleton play for in 2016-17?
0.4126,how many goals did peter swan score in his career in the football league?
0.6791,"in alberta's agricultural region 7, which operating arrangement had more proportion, sole proprietorships or the province as a whole?"
0.6374,"in alberta's agricultural region 7, which operating arrangement had fewer proportion, incorporated family farms or the province as a whole?"
0.6036,which group of people were more likely to experience unwanted physical contact and suggestions that they do not act like a man or woman is supposed to act while at work? transgender canadians or cisgender canadians?
0.595,what proportion of cisgender canadians has considered their mental health to be poor or fair?
0.6094,which group of people were much more likely to have a diagnosed mood or anxiety disorder? transgender canadians or cisgender canadians?
0.6072,which group of people were much more likely to have seriously contemplated suicide in their lifetimes? transgender canadians or cisgender canadians?
0.6148,"of the women admitted to shelter facilities in 2013/2014, how many percent of total admissions in canada were to transition homes?"
0.6401,how many percent of total admissions in canada were to emergency shelters and women's emergency centres?
0.4892,how many percent of total admissions in canada were to second-stage housing.
0.5701,how many of total admissions in canada were to other residential facilities.
0.4966,what are the top two common reasons women sought shelter?
0.6153,how many percent of women in shelters on the snapshot date have cited financial abuse as one of their reasons for seeking shelter?
0.5422,how many percent of women in shelters on the snapshot date cited threats as one of their reasons for seeking shelter?
0.5547,how many percent of women in shelters on the snapshot date cited harassment as one of their reasons for seeking shelter?
0.5861,how many percent of women in shelters on the snapshot date cited sexual abuse as one of their reasons for seeking shelter?
0.613,how many percent of women in shelters on the snapshot date cited other abuse as one of their reasons for seeking shelter?
0.4518,"on that snapshot date, how many women have indicated human trafficking as a reason for seeking refuge?"
0.4044,how many percent of women have identified wanting to protect their children from witnessing abuse?
0.4307,how many percent of women have identified wanting to protect their children from psychological abuse?
0.5583,how many percent of women have identified wanting to protect their children from physical abuse as one of their reasons for seeking shelter?
0.5328,how many percent of women have identified being unable to find affordable housing as one of their reasons for seeking shelter?
0.584,how many percent of women have cited short-term housing problems as one of their reasons for seeking shelter?
0.5586,how many percent of women have reported housing emergencies as one of their reasons for seeking shelter?
0.4854,"among all provinces and territories recorded in the table, which province has the highest proportion unable to find affordable housing?"
0.5375,"on snapshot day, which provinces or territories has the highest proportion of women residents with mental health issues?"
0.5618,"in canada, how many women in shelters have dentified their abuser as a current or former spouse or common-law partner?"
0.5996,"in canada, how many percent of women in shelters have identified their abuser as a current or former spouse or common-law partner?"
0.5572,"when the new method (√fsize) is used and the median is calculated for individuals rather than families, what is the threshold for the cflim-at for 2015?"
0.4395,what is the cflim-at threshold for individuals when the old method is used?
0.2912,which club did signori play for in 1991-92?
0.4329,list the five countries that the brics summit consists of.
0.3928,what was the rank of arizona?
0.194,what was the number of apps made by stan palk in all competitions ?
0.2513,what was the result that nester geniwala'a got in the heat?
0.7205,"in 2012, what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was often true that food did not last and there was no money to buy more food during the past 12 months?"
0.7217,"in 2012, what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was sometimes true that food did not last and there was no money to buy more food during the past 12 months?"
0.7111,what was the percentage of inuit lived in a household where they or other household members cut the size of their meals or skipped meals because there was not enough money for food?
0.5746,"among those who skipped meals or cut meal size, what was the percentage of doing so almost every month?"
0.5935,"among those who skipped meals or cut meal size, what was the percentage of skipping some months but not every month?"
0.6989,what was the percentage of inuit reported eating less than they should because there was not enough money to buy food?
0.6759,"what was the percentage of inuit reported that, in the previous 12 months, they had been hungry because they could not afford enough food?"
0.637,how many percent of wheeled mobility device users have reported help from family members in the same household?
0.6423,how many percent of wheeled mobility device users have reported help from family who lived elsewhere?
0.5482,how many percent of wheeled mobility device users were assisted by unpaid organizations/individuals?
0.5862,how many percent of wheeled mobility device users have paid for assistance?
0.4261,how many percent of all enterprises in 2008 have kept their 2008 size.
0.5066,how many percent of enterprises in 2008 have increased their size in 2014?
0.4903,how many percent of enterprises of 2008 in 2004 have decreased their size?
0.4168,"how many percent of enterprises of 2008 in 2004 went to ""attrition""."
0.457,"which sector has the lowest proportion of enterprises that went to ""attrition""?"
0.5247,how many percent of 2008 enterprises are in manufacturing sector?
0.3819,how many billion dollars did total s&e support to historically black colleges and universities (hbcus) decline for the third year in a row?
0.3373,how many percentage points did total s&e support to historically black colleges and universities (hbcus) decline for the third year in a row down from fy 2016?
0.2762,which club did bustos play for in 2015?
0.3969,how many goals did vic mobley score for wednesday totally?
0.5298,which enterprise size class in 2014 constitutes the largest proportion of enterprises in 2014 service sector that did not exist in 2008 service sector?
0.6478,which province in canada had the highest rate of long-term job vacancy?
0.4482,what is the lowest long-term job vacancy rate?
0.5765,list top 4 provinces or territories that could find most long-term job vacancies.
0.4957,"in 2016, what are the top two main industrial sectors that had the highest prevalence of long-term job vacancies?"
0.5149,which main industrial sector has posted the highest long-term job vacancy rate?
0.488,which main industrial sector has the lowest long-term vacancy rate?
0.4778,"in 2016, which workplace size has the highest prevalence of positions vacant for 90 days or more?"
0.5916,what proportion of positions vacant for 90 days or more is in workplaces with 20 to 99 employees?
0.5657,what proportion of positions vacant for 90 days or more is in workplaces with 100 to 499 employees.
0.5696,what proportion of positions vacant for 90 days or more is in workplaces with less than 20 employees?
0.4073,which workplace size has the highest long-term vacancy rate?
0.5256,"in 2016, how many percent of long-term job vacancies were positions for which the employer did not specify any educational requirements?"
0.4396,how many percent of acancies for jobs requiring a bachelor's degree were long-term job vacancies?
0.4484,how many times of the proportion recorded among positions requiring a graduate degree is higher than the proportion recorded among positions with no educational requirements?
0.5611,how many percent of vacancies for positions requiring at least eight years of experience had been vacant for 90 days or more?
0.4888,"in 2016, what is the difference between employers were willing to pay $23.61 per hour on average to fill long-term vacancies and those with $19.63 for positions vacant for less than 90 days?"
0.4185,"in 2016, list top two vacant positions among main industrial sectors that have the largest gaps between long-term job vacancies and other job vacancies."
0.4027,"for having the largest gaps between long-term job vacancies and other job vacancies, which sectors ranked fourth and sixth, respectively?"
0.5243,how many percentatge points did twenty higher education institutions receiving the largest amounts of federal s&e support account of all s&e support obligations by the federal government?
0.596,"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for r&d?"
0.5901,"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for fttgs?"
0.596,"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for other s&e activities?"
0.5909,"for these 20 academic institutions, how many percentage points of all federal fy 2017 s&e obligations were for r&d plant?"
0.3839,how many receptions did kittle get in 2017?
0.2622,what was the weight of joshua bugajski?
0.1503,what was the role that howard acted in gone with the wind (1939)?
0.2376,what was louis hostin's result in press(kilos)?
0.7058,"among canadian women aged 45 to 54 with a high school diploma or less, how many percentage points of the rate has increased from 1997 to 2015?"
0.6986,"among canadian women aged 45 to 54 with a college-level education, how many percent of the rate has increased from 1997 to 2015?"
0.5182,"in united states, for women aged 45 to 54 with at most a high school diploma, what are the lfpr in 1997 and in 2015 respectively?"
0.6568,how many times of the proportion of women aged 25 to 54 with a university degree has increased in canada from 1997 to 2015?
0.6175,"in the united states, what are the proportion of women aged 25 to 54 with a university degree in 1997 and in 2015 respectively?"
0.6618,how many times of the proportion of canadian women aged 25 to 44 with a university degree have increased from 1997 to 2015?
0.5944,which country has women aged 25 to 54 who were more likely to have a university degree in 1997? the united states or canada?
0.5218,"among all the age groups in 2014, which age group has the largest proportion of people who were satisfied with their job?"
0.3986,which occupational group was less likely to be satisfied with their job? individuals working in service and manufacturing occupations or those working in management occupations?
0.4803,"how many percent of both men and women have reported a high to a very high extent of control over the order of work, respectively?"
0.5285,"how many percent of both men and women reported a high or a very high extent of control over the hours of work, respectively?"
0.4017,which group of people has a larger proportion of people reporting a high to a very high extent of control over how the work is done and the speed of work? men or women?
0.4664,what proportion of individuals aged 18 to 24 and 55 to 64 respectively have reported a high to a very high extent of control over the order of work?
0.3296,what is the range of the perentages of those with no postsecondary educationless more likely to report a high to a very high extent of control over a facet of job flexibility than those with a degree at the bachelor's level or above?
0.6169,"for men, how many percent of increasing in the likelihood of being satisfied with their job was associated with having control over three of the four facets of job flexibility in lisa?"
0.5893,"for men, how many percent of increasing in the probability of being satisfied with their job was associated controlling over all facets of job flexibility?"
0.5939,"for women, how many percent of increasing in the probability of being satisfied with their job was associated with controlling over one or two facets of job flexibility."
0.6288,"for women, how many percent of increasing in the likelihood of being satisfied with their job was associated with having control over three or all four of the facets of job flexibility in lisa?"
0.3021,what was the result that alwin muha got in the heat of the 400m event?
0.3891,how many goals did syracuse score in the 1979-80 season?
0.305,which league did anas play for jamshedupr in the 2017-18 seaon?
0.2105,"in 2006-07 season, which league did badhri move to?"
0.3071,how many passes did derek cassidy complete in 2012?
0.2905,which division did sammy morgan play for fc groningen in 1979-80?
0.6646,what was the percentage of individuals reported having taken a vitamin c-containing supplement in the previous month?
0.3405,what was the percentage of individuals drank fruit juice daily?
0.2954,what was the percentage of individuals ate citrus fruit daily?
0.7127,what was the mean plasma vitamin c concentration of canadians aged 20 to 79?
0.6279,what was the difference between users of vitamin c-containing supplements of mean concentrations and those of non-users?
0.343,what was the prevalence of individuals were men?
0.3436,what was the prevalence of individuals were daily or occasional smokers?
0.2826,what was the prevalence of individuals were obese?
0.3499,which age group has the highest linkage rate of all age groups in 2011?
0.6477,what is the percentage of cases on average in each year show a difference between t1ff and t4 file of no more than one dollar between data sources?
0.7072,what is the percentage of cases on average in each year show a difference between t1ff and t4 earnings of no more than one thousand dollars between data sources?
0.6201,what is the percentage of canadians aged 15 or older with ms reported using one or more treatments?
0.4855,what is the percentage of people who receive treatment chose to take medications?
0.5262,what is the percentage of people who receive treatment chose to use counselling?
0.4911,what is the percentage of people who receive treatment chose to use complementary medicine?
0.5677,what is the percentage of people who received treatment reported one type treatment strategy?
0.5711,what is the percentage of people who received treatment reported multiple treatment strategies?
0.5382,what was the w-l record in the regular season of phillies?
0.2891,which club did rodgers play for in 2011?
0.5268,"in all multivariate models except the overweight population, which gender had significantly lower vitamin c concentrations, men or women?"
0.589,which province has the largest declines?
0.5872,which province has the second largest declines?
0.7008,what is the percentage of tumours of the same site reported in the ccr tumour file were selected as single primary cancer tumours?
0.464,which age group has the highest surgical rates?
0.7349,what is the percentage of prostate cancer tumours received a surgical intervention?
0.8138,list the province or territory where 35% of prostate cancer tumours received a surgical intervention.
0.4487,"in all jurisdictions,which age group has the highest rate of surgical intervention?"
0.5168,list the province where the surgical rate is lowest and the number of the rate.
0.5172,list the province where the surgical rate is highest and the number of the rate.
0.6512,"in fy 2017, how many percentage points did five federal agencies account of all federal obligations for s&e support to hbcus?"
0.6312,how many million dollars did hhs provide the most s&e support accounting of all federal hbcu obligations?
0.5823,how many percentage points did hhs which provided the most s&e support account of all federal hbcu obligations?
0.3825,how many thousand dollars did nsf provide thousand in s&e support?
0.6154,how many percentage points did nsf which provided $79 million in s&e support account of all federal hbcu obligations?
0.3592,how many thousand dollars did usda provide in s&e support?
0.5825,how many percentage points did usda which provided $75 million in s&e support account of all federal hbcu obligations?
0.4302,what is the rate of bladder tumours received surgical treatment?
0.5663,list the provinces where 88% of bladder tumours received surgical treatment.
0.5969,what is the percentage of bladder tumours received surgical treatment in newfoundland and labrador?
0.2889,what is the overall surgical rate?
0.4416,what the provinces where the surgical rate is 91%?
0.3771,what is the surgical rate in newfoundland and labrador?
0.5959,"in 2014, what is the percentage of incidents of offences against the administration of justice of all criminal code violations (excluding traffic) reported by police?"
0.6699,"in 2014,what is the percentage of incidents includes an offence against the administration of justice cleared by charge?"
0.6588,"in 2014,what is the percentage of incidents that did not include administration of justice offences cleared by charge?"
0.6332,what is the change of rate of persons facing charges related to administration of justice offences increased between 2004 and 2014?
0.5134,what is the decline of the rate of persons charged in criminal incidents in general has declined between 2004 and 2014?
0.6332,what is the change of rate of persons facing charges related to administration of justice offences increased between 2004 and 2014?
0.5134,what is the decline of the rate of persons charged in criminal incidents in general has declined between 2004 and 2014?
0.5903,"among youth accused of offences against the administration of justice in 2014, what is the percentage of charges were subjected to formal charges instead of extrajudicial measures?"
0.3207,"among other minority-serving institutions, how many thousand dollars did high-hispanic-enrollment institutions receive in federal obligations for s&e support in fy 2017?"
0.39,"among other minority-serving institutions, high-hispanic-enrollment institutions (hhes) received $1.7 billion in federal obligations for s&e support in fy 2017, how many percentage points of increasing from fy 2016?"
0.3654,how many thousand dollars did support to hhes for r&d amount to in fy 2017?
0.364,"support to hhes for r&d amounted to $1.5 billion, how many percentage points were up from the fy 2016 total?"
0.413,how many percentage points did r&d obligations account of total federal s&e support to hhes?
0.3048,what was the number of league appearances made by winston white in a 17-year career?
0.5925,how many games did phil maloney coach the vancouver canucks?
0.416,what was the rank of moldovan national division sheriff in 2010-11?
0.7082,what was the percentage of all farms of natural land for pasture in 2011?
0.5673,"in completed adult criminal court cases where an administration of justice offence represented one or more of the charges,which type of charges were most frequently finalized by the courts in 2013/2014?"
0.5858,"in 2013/2014,what is the percentage of completed adult criminal court cases where an administration of justice offence represented one or more of the charges were breach of probation?"
0.5893,"between 2005/2006 and 2013/2014, how much did cases involving the relatively low-volume charge of prisoner unlawfully at large grow?"
0.4182,"between 2005/2006 and 2013/2014,how much did cases where failure to comply with an order were among the charges grow?"
0.5299,"between 2005/2006 and 2013/2014,how much did cases charged of breach of probation grow?"
0.1497,"between 2005/2006 and 2013/2014,how much did instances of failure change?"
0.5964,"in 2013/2014, what is the percentage of cases related to violent offences included charges for offences against the administration of justice?"
0.5046,"what is the percentage of cases where other criminal code charges such as those related to weapons, prostitution, and impaired driving were the mso include offences against the administration of justice in 2013/2014?"
0.5734,what is the percentage of drug-related cases included offences against the administration of justice in 2013/2014?
0.6122,what is the percentage of completed court cases that included at least one administration of justice offence resulted in a guilty verdict in 2013/2014?
0.6028,what is the percentage of completed cases that did not include any administration of justice offences where decisions of guilt were handed down in 2013/2014?
0.5943,what is the percentage of completed cases that included offences against the administration of justice in 2013/2014 resulted in charges being stayed or withdrawn?
0.5689,what is the percentage of completed cases where an administration of justice offence was among the charges were acquitted in 2013/2014?
0.5712,what is the percentge of completed adult criminal court cases that did not include any administration of justice charges resulted in acquittals in 2013/2014?
0.5137,what is the percentage of immigrants had relatives in the country prior to their admission?
0.6557,what is the percentage of immigrants had friends in the country prior to admission?
0.4378,which sex was more likely to have relatives who were living in the country prior to their admission in 2001?
0.4534,which sex was less likely to have pre-admission friends ?
0.7112,what is the percentage of immigrants who were admitted in 2001 reported that the friends they made after they were admitted to canada were mostly from their own ethnic group?
0.6833,what is the percentage of immigrants reported that most of the friends they made after migrating to canada were from outside their ethnic group?
0.5329,what is the percentage of immigrants reported that their post-immigration friends were equally divided between those who were from the same ethnic group and those who were from other ethnic groups?
0.5984,what is the percentage of immigrants reported that they did not make any friends in their first six months after admission?
0.5909,what is the percentage pf immigrants who were muslim?
0.6008,what is the percentage pf immigrants who were catholic?
0.5229,"what is the percentage pf immmigrants who were eastern religion (including hindu, sikh and buddhist)?"
0.5932,what is the percentage pf immigrants who were protestant?
0.5591,"with regard to visible minority status, what is the percentage of the immigrants admitted in 2001 were chinese?"
0.5301,"with regard to visible minority status, what is the percentage of the immigrants admitted in 2001 were south asian or southeast asian?"
0.5786,"with regard to visible minority status, what is the percentage of the immigrants admitted in 2001 were not part of a visible minority group?"
0.6733,what is the percentage that the number of newborns in the t1ff more than that in the vital statistics in 1991?
0.676,what is the percentage that the number of newborns in the t1ff more than that in the vital statistics in 1992?
0.5087,"during fy 2017, how many thousand dollars did federal agencies obligate in r&d?"
0.5708,how many thousand dollars did the patient-centered outcomes research institute receive the most in federal funds for r&d and r&d plant?
0.277,how many passing yards did maynard get in 2011?
0.4415,what was the overall time of kenza tazi at the 2014 winter olympics?
0.2372,when did the single (everybody's got to learn sometime) release?
0.5089,"by marital status,which kind of parents has the largest difference between the two definitions in absolute terms?"
0.4114,"by parents'sex,which kind of parents has the largest relative difference between the two definitions?"
0.398,"by parents'sex,which kind of parents has the largest absolute difference between the two definitions?"
0.4299,"by family income,which group has the largest absolute difference between the two definitions?"
0.5383,what is the percentage of canadians who reported having no close friends in 2013?
0.6057,what is the percentage of seniors aged 75 years and older reported having no friends in 2013?
0.5942,what is the percentage of persons aged aged 35 to 44 reported having no friends in 2013?
0.5691,what is the percentage of canadians aged 75 and older not living in an institution who had no close friends they could confide in or call on for help in 2013?
0.4474,which province has the lowest proportion of people who reported having no close friends in 2013?
0.4432,which province has the highest proportion of people who reported having no close friends in 2013?
0.2643,which club did bakayoko play for in 2016-17?
0.2898,which club did konopka play for in 2009?
0.3755,how many rushing yards did mccoy get in 2013?
