similarity_score,num_pairs,qas,table
0.8369606137275696,5,in 2014 what was ther percent of aboriginal people reported being satisfied or very satisfied with their personal safety from crime 850 in 2014 what was ther percent of nonaboriginal people reported being satisfied or very satisfied with their personal safety from crime 880 when considering crime in ones neighbourhood which kind of people believed that there was a higher amount of crime in their neighbourhood compared to other areas of canada aboriginal people or nonaboriginal people aboriginal people what was the percent of aboriginal people reported feeling very safe when walking alone at night 500 what was the percent of nonaboriginal people reported feeling very safe when walking alone at night 440,"canadians' perception of crime and safety in their neighbourhood, by aboriginal people and non-aboriginal people, provinces and territories, 2014. selected perception aboriginal people non-aboriginal people selected perception percent percent satisfaction with personal safety from crime very satisfied or satisfied 85 88 neither satisfied nor dissatisfied 8 8 dissatisfied or very dissatisfied 6 3 crime in neighbourhood compared with other areas in canada higher 7 4 about the same 20 20 lower 72 74 activity of crime in neighbourhood over the past five years increased 16 11 decreased 11 9 remained the same 69 74 feeling of safety when walking alone at night very safe 50 44 reasonably safe 28 34 somewhat unsafe 5 5 very unsafe 2 1 does not walk alone 15 15 feeling of safety when alone in your home in the evening or at night very worried about your safety from crime 1 1 somewhat worried about your safety from crime 11 10 not at all worried about your safety from crime 80 84 never alone 7 6"
0.8362831473350525,11,how many youth were there that began a period of supervision in correctional services in 20172018 56400 what was the declines in the rate of youth that began a period of supervision in correctional services from 20162017 5 what was the declines in the rate of youth that began a period of supervision in correctional services from 20132014 32 what was the proportion of initial entries were to community supervision in 20172018 710 how much did the rate of initial entries were to community supervision decrease from 20162017 1 what is the percentage of of all initial entries were primarily entering a period of probation in 20172018 470 what is the percentage of of all initial entries were under other community supervision in 20172018 220 what is the percentage of initial entries for youth in the reporting jurisdictions in 20172018 were into custody 290 what is the percentage of initial entries for youth in the reporting jurisdictions in 20172018 were into pretrial detention 280 how much did the rate of initial entries for youth were into custody decrease from the 20162017 13 how much did the rate of initial entries for youth were into custody decrease from the 20132014 25,"initial entry of youth into correctional services, by type of supervision, selected jurisdictions, 2017/2018. type of correctional supervision total-initial entries total-initial entries total-initial entries total-initial entries type of correctional supervision number percent percent change in the number from 2016/2017 percent change in the number from 2013/2014 custody 1,652 29 -13 -25 pre-trial detention 1,583 28 -13 -25 sentenced custody 69 1 0 -30 secure custody and supervision 31 1 0 -24 open custody and supervision 38 1 0 -35 community supervision 3,988 71 -1 -35 probation 2,649 47 -4 -38 deferred custody and supervision 93 2 22 -18 intensive support and supervision 27 0 42 59 other community 1,219 22 5 -29 total correctional services 5,640 100 -5 -32"
0.8344659805297852,3,how many percentage points was the absolute gap in internet use between nonseniors and seniors in 2007 490 how many percentage points was the absolute gap in internet use between nonseniors and seniors in 2016 280 how many percentage points did the gap between seniors and middleaged canadians narrow from 2007 to 2016 21,"difference in internet use between middle-aged canadians and seniors, 2007 to 2016. 2007 2010 2013 2016 percent percent percent percent middle-aged canadians 81.2 88.0 89.6 96.2 seniors 32.2 46.0 52.4 68.2 percentage points percentage points percentage points percentage points gap 49.0 41.9 37.2 28.0"
0.8334137797355652,3,what were the percentages of those who had ever witnessed violence involving at least one of their parents when they were under the age of 15 who said they had been a victim of cyberstalking had been a victim of cyberbullying and experienced both 91 101 144 what were the percentages of those who experienced an assault in childhood who experienced cyberstalking cyberbullying or both 101 97 109 among individuals who had been a victim of discrimination in the last five yearswhich did they most likely to report that they had experienced cyberbullied and cyberstalked,"note 1 by past experience of assault, discrimination or witnessing violence involving at least one parent, 2014. neither cyberbullied nor cyberstalked cyberbullied, but not cyberstalked cyberstalked, but not cyberbullied cyberbullied and cyberstalked percent percent percent percent witnessed violence involving at least one parent before age 15 no 84.7 5.7 5.3 4.4 yes 66.4 10.1 9.1 14.4 experienced physical/sexual assault before age 15 no 87.4 4.8 4.4 3.4 yes 69.2 10.1 9.7 10.9 experienced discrimination in the last 5 years no 87.7 4.7 4.3 3.3 yes 63.2 11.9 11.3 13.6"
0.8330504894256592,1,what was the mean absolute percentage point revision to the annual growth rate in real gdp for the 2013 to 2015 revision period 008,"revisions to the growth in real gdp, annual. revised average growth in annual real gdp previously published average growth in annual real gdp mean absolute revision to the growth in annual real gdp percent percent percentage points 2013 2.48 2.22 0.26 2014 2.57 2.47 0.10 2015 0.94 1.08 0.14 2013 to 2015 2.00 1.92 0.08"
0.8320740461349487,1,what was the percentage of the mean absolute percentage point revision to the annual growth rate of nominal gdp for the period 2014 to 2016 013,"revisions to the growth of nominal gdp, annual. previously-published average growth of annual gdp revised average growth of annual gdp mean absolute revision to the growth of annual gdp percentage percentage percentage points 2014 to 2016 2.25 2.38 0.13 2014 4.51 4.88 0.37 2015 0.16 0.24 0.08 2016 2.08 2.03 0.05"
0.830508291721344,4,which population has more women aged 25 to 59 who were lone parents black immigrants or the rest of the canadian population black population how many percent of black immigrant women aged 25 to 59 in 2016 were lone parents 292 among black immigrant women aged 25 to 59 in 2016 how many percent of other immigrant women were lone parents 98 which region of origion of the immigrants has the highest proportion of lone mothers among black immigrant women aged 25 to 59 in 2016 caribbean and latin america,"percentage of women aged 25 to 59 who were lone parents, by region of origin of the immigrant and canadian-born populations, 2001 to 2016. 2001 2006 2011 2016 total percent percent percent percent black population 30.7 30.0 29.1 27.4 rest of the population 10.1 10.2 10.4 10.6 immigrant women black population total 32.2 32.0 30.7 29.2 caribbean and latin america 33.9 34.6 34.2 34.4 africa 28.9 28.2 27.0 25.1 other regions 21.2 20.6 17.5 18.1 rest of the population 9.0 9.2 9.6 9.8 canadian-born women black population second generation-total 23.8 22.8 23.4 23.3 caribbean and latin america 25.1 22.9 23.6 24.7 africa 15.6 15.6 16.4 13.1 other regions 20.7 26.9 26.3 20.0 canada 27.2 27.8 28.0 26.4 rest of the population second generation 8.6 8.7 9.1 9.2 canada 10.8 11.0 11.0 11.5"
0.8293418884277344,1,among all decedents in british columbia and surrey what is the percentage of those who experienced their fatal overdose within one year after their contact with police 750,. time period prior to fatal overdose decedents in british columbia decedents in surrey time period prior to fatal overdose cumulative percent cumulative percent 1 month prior to fatal overdose 16 10 3 months prior to fatal overdose 33 24 6 months prior to fatal overdose 52 47 12 months prior to fatal overdose 74 75 18 months prior to fatal overdose 89 89 24 months prior to fatal overdose 100 100
0.8279702663421631,1,what kind of operating arrangement is the majority of farms in new brunswicks three agricultural regions sole proprietorship,"farms classified by operating arrangements, three agricultural regions of new brunswick, 2011. operating arrangements agricultural region 1 agricultural region 1 agricultural region 3 agricultural region 3 agricultural region 4 agricultural region 4 total new brunswick total new brunswick operating arrangements number percent number percent number percent number percent sole proprietorship 528 59.4 388 65.0 242 61.4 1,639 62.8 partnership without written agreement 118 13.3 70 11.7 35 8.9 335 12.8 partnership with a written agreement 12 1.3 23 3.9 4 1.0 50 1.9 family corporation 205 23.1 89 14.9 78 19.8 481 18.4 non-family corporation 23 2.6 22 3.7 35 8.9 97 3.7 other operating arrangements 3 0.3 5 0.8 0 0.0 9 0.3"
0.8248478770256042,2,which difficulties factors has positive correlations among all five factors f1 emotional symptoms f2 conduct problems f3 peer problems f4 hyperactivity which factor correlated negatively with other four difficulties factors f5 prosocial behaviour,polychoric correlations for the five strengths and difficulties questionnaire factors. factors f1 f2 f3 f4 f5 f1. emotional symptoms .. .. .. .. .. f2. conduct problems 0.37 .. .. .. .. f3. peer problems 0.41 0.34 .. .. .. f4. hyperactivity 0.36 0.56 0.34 .. .. f5. prosocial behaviour -0.20 -0.46 -0.27 -0.36 ..
0.8223236799240112,3,list top two chronic conditions that are the most commonly reported chronic conditions by aboriginal seniors in population centres in 2012 high blood pressure arthritis what are the rates of both aboriginal senior men and aboriginal senior women reported being diagnosed with high blood pressure respectively 497 506 which group of people is more likely to report bing diagnosed with arthritis aboriginal senior men or women aboriginal senior women,"percentage of aboriginal seniors in population centres diagnosed with selected chronic conditions, canada, 2012. selected chronic conditions total aboriginal seniors aboriginal senior men aboriginal senior women selected chronic conditions percent percent percent high blood pressure 50.2 49.7 50.6 arthritis 50.5 36.6 60.5 heart disease 24.6 25.9 23.8 diabetes 23.5 23.4 23.6"
0.8214578032493591,5,overall what was the proportion of employed indigenous women that were aged 55 and over in 2016 16 overall what was the renewal ratio of employed indigenous women that were aged 55 and over in 2016 141 which type of employed women were the youngest among the indigenous groups inuit what was the proportion of employed women that were aged 55 and over 135 what was the renewal ratio of inuit employed women workers 178,"note 1 and proportion of the employed population aged 55 and over by indigenous identity and sex, 2016. women women men men ratio of younger workers to older workers proportion of employed population aged 55 and over ratio of younger workers to older workers proportion of employed population aged 55 and over ratio percent ratio percent total population 1.03 20.3 0.92 22.7 indigenous identity 1.41 16.0 1.37 16.7 first nations 1.41 15.8 1.52 15.5 metis 1.42 16.1 1.21 18.2 inuit 1.78 13.5 1.84 13.7 non-indigenous identity 1.02 20.5 0.91 22.9"
0.8210906982421875,4,in nunavut what was the percent of couples with at least one inuit spouse or partner inuktut is the mother tongue of both partners 714 what was the percent of couples where both members are inuit are linguistically exogamous 77 what was the percent of inuit couples inuktut is not the mother tongue of either partner 114 what was the percent of mixed couples ie couples made up of one inuit and one noninuit are linguistically exogamous 711,"3 note 1 where at least one spouse/partner identifies as inuit, nunavut, 2016. couples where at least one spouse/partner is inuit couples where at least one spouse/partner is inuit couples where at least one spouse/partner is inuit couples where at least one spouse/partner is inuit couples where at least one spouse/partner is inuit couples where at least one spouse/partner is inuit inuit couples inuit couples mixed couples mixed couples total total number percent number percent number percent both inuktut mother tongue 3,680 80.9 25 3.9 3,705 71.4 neither inuktut mother tongue 520 11.4 160 25.0 680 13.1 linguistic exogamy 350 7.7 455 71.1 805 15.5 total 4,550 100.0 640 100.0 5,190 100.0"
0.8208861947059631,3,how many canadian aged 65 or older were at nutritional risk in 20082009 979 which sex was more likely to be at nutritional risk women which age group of people were more likely to be at nutritional risk 75 or older or 65 to 74 75 or older,"number and percentage at nutritional risk, by sex and age group, household population aged 65 or older, canada excluding territories and quebec, 2008/2009. sex and age group number % of population aged 65 or older 95% confidence interval 95% confidence interval sex and age group '000 % of population aged 65 or older from to total 979 33.7 32.3 35.0 sex men 384 29.2 27.3 31.2 women 595 37.4 35.5 39.3 age group 65 to 74 514 31.7 29.7 33.6 75 or older 465 36.2 34.1 38.3"
0.8200381398200989,8,how many hours did senior caregivers spend per week providing care or support to family and friends in 2018 60 how many hours did senior men spend per week providing care or support to family and friends in 2018 50 how many hours did senior women spend per week providing care or support to family and friends in 2018 80 which activity had the lowest number of weekly hours spent on caregiving involved friend colleague or neighbour which caregiver did seniors spend the most hours on spousepartner how many hours per week did senior women spend on caring for a spouse 200 how many hours per week did senior men spend on caring for a spouse 140 which sex spent more hours on caring for a child women,"median number of hours of care provided by senior caregivers per week, by primary care receiver relationship and sex, 2018. all caregivers total men women all caregivers hours hours hours all caregivers 6 5 8 primary care receiver spouse/partner 20 14 20 child 10 7 10 parent 7 6 8 parent-in-law 5 4 10 other family member 4 3 4 friend, colleague or neighbour 2 2 2"
0.8197977542877197,4,in 2011 what was the percent of aboriginal children aged 14 and under lived in a family with four or more children in the same age group 166 in 2011 what was the percent of nonaboriginal children aged 14 and under lived in a family with four or more children in the same age group 67 in 2011 what was the percent of both first nations and inuit children aged 14 and under lived in a family with four or more children in the same age group 203 in 2011 what was the percent of metis children aged 14 and under lived in a family with four or more children in the same age group 80,"number of children aged 14 and under in census family, by aboriginal identity, 2011. aboriginal identity aboriginal identity aboriginal identity aboriginal identity aboriginal identity total aboriginal children first nations children metis children inuit children non-aboriginal children percent percent percent percent percent total children in census families 100.0 100.0 100.0 100.0 100.0 1 child 25.9 24.5 29.3 23.9 28.6 2 children 36.3 33.4 43.0 33.9 46.6 3 children 21.2 21.8 19.7 22.4 18.1 4 or more children 16.6 20.3 8.0 19.8 6.7"
0.8177194595336914,5,in 2016 which workplace size has the highest prevalence of positions vacant for 90 days or more 500 employees or more what proportion of positions vacant for 90 days or more is in workplaces with 20 to 99 employees 62 what proportion of positions vacant for 90 days or more is in workplaces with 100 to 499 employees 91 what proportion of positions vacant for 90 days or more is in workplaces with less than 20 employees 100 which workplace size has the highest longterm vacancy rate less than 20 employees,"total number of job vacancies and percentage of positions vacant for 90 days or more, by workplace size, 2016. number of job vacancies job vacancy rate percentage of positions vacant for 90 days or more long-term job vacancy rate thousands percent percent percent workplace size 377.5 2.4 9.3 0.23 less than 20 employees 127.1 3.0 10.0 0.30 20 to 99 employees 112.8 2.5 6.2 0.16 100 to 499 employees 82.8 2.4 9.1 0.22 500 employees or more 54.8 1.6 14.4 0.23"
0.8133110404014587,2,what is the percentage of prostate cancer tumours received a surgical intervention 310 list the province or territory where 35 of prostate cancer tumours received a surgical intervention newfoundland and labrador nova scotia,"percentage of prostate cancer tumours diagnosed among patients aged 19 or older with at least one surgical treatment within one year of diagnosis, by province or territory, canada (excluding quebec), 2010 to 2012. linked cctlp tumour cohort tumours with one or more surgical interventions tumours with one or more surgical interventions number number percentage canada 52,905 16,480 31 newfoundland and labrador 1,350 470 35 prince edward island 420 70 17 nova scotia 2,210 775 35 new brunswick 1,965 490 25 ontario 26,135 8,085 31 manitoba 2,045 570 28 saskatchewan 2,100 515 25 alberta 6,835 2,325 34 british columbia 9,765 3,145 32 yukon 50 30 45 northwest territories x x x nunavut x x x"
0.8125411868095398,7,in 2012 what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was often true that food did not last and there was no money to buy more food during the past 12 months 159 in 2012 what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was sometimes true that food did not last and there was no money to buy more food during the past 12 months 426 what was the percentage of inuit lived in a household where they or other household members cut the size of their meals or skipped meals because there was not enough money for food 305 among those who skipped meals or cut meal size what was the percentage of doing so almost every month 405 among those who skipped meals or cut meal size what was the percentage of skipping some months but not every month 421 what was the percentage of inuit reported eating less than they should because there was not enough money to buy food 322 what was the percentage of inuit reported that in the previous 12 months they had been hungry because they could not afford enough food 268,"responses to household food security module questions for inuit aged 25 and over living in inuit nunangat, 2012. percentage q1. food didn't last / no money to buy more often true 15.9 sometimes true 42.6 never true 41.5 q2. balanced meals unaffordable often true 13.1 sometimes true 37.2 never true 49.7 q3. meals skipped / cut meal size because there wasn't enough money to buy food yes 30.5 no 69.5 q3a. frequency of meals skipped / cut meal size almost every month 40.5 some months but not every month 42.1 only 1 or 2 months 17.4 q4. ate less than you felt you should because there wasn't enough money to buy food yes 32.2 no 67.7 q5. hungry but could not afford food yes 26.8 no 73.2"
0.8117506504058838,2,which regions witnessed real median hourly wages of men aged 25 to 54 with no bachelors degree grew 23 or more from 2000 to 2017 297 234 261 which region witnessed real median hourly wages of men aged 25 to 54 with no bachelors degree increased by only 2 from 2000 to 2017 ontario,"growth in real median hourly wages of men and women aged 25 to 54, without a bachelor's degree, by region, canada and united states, 2000 to 2017. men women percent percent canada newfoundland-and-labrador 29.7 35.1 prince-edward-island 18.5 20.9 nova scotia 8.6 19.4 new brunswick 1.9 19.8 quebec 7.9 14.3 ontario 1.7 1.9 manitoba 9.8 21.9 saskatchewan 23.4 28.5 alberta 26.1 28.8 british columbia -1.2 2.5 all provinces 4.2 9.3 united states new england -4.7 -4.3 middle atlantic -8.2 -3.6 east north central -9.7 -3.1 west north central -7.2 1.5 south atlantic -5.1 -1.7 south central -1.7 3.6 mountain -4.8 3.4 pacific -6.4 -3.8 all regions -5.5 1.1"
0.8091328144073486,3,in 2010what was the proportion of tax filers who considered to be delayed tax filers 35 in 1990what was the proportion of tax filers who considered to be delayed tax filers 48 which year has the highest delayed tax filers rate 19900,"prevalence of initial and delayed tax filing, selected years, 1990 to 2010. number of initial tax filers number of delayed tax filers total number of tax filers percentage of delayed tax filers count count count percent 1990 18,566,069 941,602 19,507,671 4.8 1995 20,504,412 838,133 21,342,545 3.9 2000 22,189,409 1,091,789 23,281,198 4.7 2005 23,772,773 1,115,600 24,888,373 4.5 2010 25,371,932 908,038 26,279,970 3.5"
0.8090267181396484,1,for the period 2013 to 2015 what was the mean absolute percentage point revision to the annual growth rate in nominal gdp 005,"revisions to the growth in nominal gdp, annual. revised average growth in annual gdp previously published average growth in annual gdp mean absolute revision to the growth in annual gdp percent percent percentage points 2013 4.10 3.81 0.29 2014 4.51 4.27 0.24 2015 0.16 0.52 0.36 2013 to 2015 2.92 2.87 0.05"
0.8072483539581299,3,what percent of the 43 million persons with disabilities aged 15 to 64 years had an unmet need for an aid device andor prescription medication due to cost compared to two in ten 21 of the nearly 2 million seniors with disabilities 286 which severity of disability was more likely to have unmet needs due to cost those with more severe disabilities or those with milder disabilities more severe what percent of persons with severe disabilities aged 15 years and over who were living below canadas official poverty line reported an unmet need due to cost for an aid device andor prescription medication 374,"canadian population aged 15 years and over with a disability and unmet needs due to cost, by age group and severity, 2017. age group unmet needs due to cost unmet needs due to cost age group number percent 15 to 64 years 1,221,370 28.6 65 years and over 405,640 20.6 severity of disability milder 625,790 17.5 more severe 1,001,230 37.4"
0.8069799542427063,4,when only age were taken into account what was the hazard ratio for dying from avoidable causes for first nations cohort men 209 when educational attainment and income adequacy were taken into account what was the hazard ratio for dying from avoidable causes for first nations cohort men 158 when only age were taken into account what was the hazard ratio for dying from avoidable causes for first nations cohort women 258 when educational attainment and income adequacy were taken into account what was the hazard ratio for dying from avoidable causes for first nations cohort women 208,"hazard ratios for avoidable mortality, by sex, adjusted for age, education and income adequacy, first nations compared with non-aboriginal cohort members aged 25 to74 at baseline, canada, 1991 to 2006. ajusted for: men men men women women women ajusted for: hazard ratio 95% confidence interval 95% confidence interval hazard ratio 95% confidence interval 95% confidence interval ajusted for: hazard ratio from to hazard ratio from to age 2.09 2.01 2.17 2.58 2.47 2.70 age + education 1.91 1.83 1.99 2.44 2.34 2.55 age + income adequacy 1.65 1.59 1.72 2.14 2.05 2.24 age + education + income adequacy 1.58 1.52 1.64 2.08 1.99 2.18"
0.804284393787384,4,which share of occupations has a substantial decline in the occupational distribution of new mothers who remained in wage employment between 2006 and 2011 sales and service which occupations show an increase in the distribution of new mothers who switched to selfempoloyment in 2011 compared with the 2006 distribution management health social science education government service and religion art culture recreation and sport trades transport and equipment operators and related occupations which occupations have the least change in the distribution of new mothers who switched to selfemployment compared with the 2006 distribution sales and service which occupations have substantial reductions in the distribution of new mothers who switched to selfemployment in 2011 compared with the 2006 distribution business finance and administrative occupations natural and applied sciences and related occupations occupations unique to processing manufacturing and utilities,"occupational distribution of new mothers, 2006 to 2011. new mothers who remained wage workers new mothers who remained wage workers new mothers who transitioned to self-employment new mothers who transitioned to self-employment 2006 2011 2006 2011 percent percent percent percent occupations management 6.4 8.9 9.8 10.5 business, finance and administrative occupations 26.7 25.9 25.7 13.5 natural and applied sciences and related occupations 5.4 5.2 6.9 4.8 health 12.1 13.9 10.6 13.4 social science, education, government service and religion 19.8 22.3 12.9 20.3 art, culture, recreation and sport 3.1 3.1 8.9 14.6 sales and service 22.3 16.4 19.7 19.5 trades, transport and equipment operators and related occupations 1.0 1.3 1.8 2.1 occupations unique to primary industry 0.5 0.8 0.8 x occupations unique to processing, manufacturing and utilities 2.7 2.2 3.1 x number number number number observations 486,336 486,336 29,946 29,946 observations 9,346 9,346 553 553"
