num_pairs,table,qas
1,"[Wikipedia page title:1969 Portuguese legislative election; Wikipedia section title:Results; ] [TAB] | Party | Votes | % | Seats | [SEP] | National Union | 981,263 | 87.99 | 130 | [SEP] | Democratic Electoral Commission | 114,745 | 10.29 | 0 | [SEP] | United Democratic Electoral Commission | 16,863 | 1.51 | 0 | [SEP] | Monarchist Electoral Commission | 1,324 | 0.12 | 0 | [SEP] | Invalid/blank votes | 1,053 | – | – | [SEP] | Total | 1,115,248 | 100 | 130 | [SEP] | Registered voters/turnout | 1,784,341 | 62.5 | – | [SEP] | Source: Inter-Parliamentary Union | Source: Inter-Parliamentary Union | Source: Inter-Parliamentary Union | Source: Inter-Parliamentary Union |",How many seats did the National Union win and what was the turnout during that election? The National Union won all seats in the 1969 Portuguese legislative election with a turnout of 62.5%.
1,[Wikipedia page title:Gordon Hodgson; Wikipedia section title:Playing statistics; ] [TAB] | Club | Season | Division | League | League | FA Cup | FA Cup | Other | Other | Total | Total | [SEP] | Club | Season | Division | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals | [SEP] | Liverpool | 1925–26 | First Division | 12 | 4 | 0 | 0 | 0 | 0 | 12 | 4 | [SEP] | Liverpool | 1926–27 | First Division | 36 | 16 | 4 | 2 | 0 | 0 | 40 | 18 | [SEP] | Liverpool | 1927–28 | First Division | 32 | 23 | 0 | 0 | 0 | 0 | 32 | 23 | [SEP] | Liverpool | 1928–29 | First Division | 38 | 30 | 3 | 2 | 0 | 0 | 41 | 32 | [SEP] | Liverpool | 1929–30 | First Division | 36 | 14 | 1 | 0 | 0 | 0 | 37 | 14 | [SEP] | Liverpool | 1930–31 | First Division | 40 | 36 | 1 | 0 | 0 | 0 | 41 | 36 | [SEP] | Liverpool | 1931–32 | First Division | 39 | 26 | 4 | 1 | 0 | 0 | 43 | 27 | [SEP] | Liverpool | 1932–33 | First Division | 38 | 24 | 1 | 0 | 0 | 0 | 39 | 24 | [SEP] | Liverpool | 1933–34 | First Division | 37 | 24 | 3 | 1 | 0 | 0 | 40 | 25 | [SEP] | Liverpool | 1934–35 | First Division | 34 | 27 | 2 | 2 | 0 | 0 | 36 | 29 | [SEP] | Liverpool | 1935–36 | First Division | 17 | 9 | 0 | 0 | 0 | 0 | 17 | 9 | [SEP] | Liverpool | Total | Total | 359 | 233 | 19 | 8 | 0 | 0 | 378 | 241 | [SEP] | Aston Villa | 1935–36 | First Division | 15 | 4 | 0 | 0 | 0 | 0 | 15 | 4 | [SEP] | Aston Villa | 1936–37 | Second Division | 13 | 7 | 0 | 0 | 0 | 0 | 13 | 7 | [SEP] | Aston Villa | Total | Total | 28 | 11 | 0 | 0 | 0 | 0 | 28 | 11 | [SEP] | Leeds United | 1936–37 | First Division | 13 | 6 | 0 | 0 | 0 | 0 | 13 | 6 | [SEP] | Leeds United | 1937–38 | First Division | 36 | 25 | 2 | 1 | 0 | 0 | 38 | 26 | [SEP] | Leeds United | 1938–39 | First Division | 32 | 20 | 2 | 1 | 0 | 0 | 34 | 21 | [SEP] | Leeds United | 1939–40 | First Division | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | [SEP] | Leeds United | Total | Total | 81 | 51 | 4 | 2 | 1 | 0 | 86 | 53 | [SEP] | Career Total | Career Total | Career Total | 468 | 295 | 23 | 10 | 1 | 0 | 492 | 305 |,"When did Gordon Hodgson join Liverpool and how many total career goals did he score with the club? Hodgson joined Liverpool in 1925, scoring 241 goals for the club."
1,"[Wikipedia page title:Telma Hopkins; Wikipedia section title:Film; ] [TAB] | Year | Title | Role | Notes | [SEP] | 1982 | The Kid with the Broken Halo | Gail Desautel | Television film | [SEP] | 1984 | Trancers | Ruth ""Ruthie"" Raines | - | [SEP] | 1988 | Pulse Pounders | Ruth ""Ruthie"" Raines | Cameo | [SEP] | 1990 | Vital Signs | Dr. Kennan | - | [SEP] | 1990 | How to Murder a Millionaire | Teresa | - | [SEP] | 1991 | Trancers II | Ruth ""Ruthie"" Raines | - | [SEP] | 1992 | Trancers III | Ruth ""Ruthie"" Raines | - | [SEP] | 1999 | The Wood | Slim's Mother | - | [SEP] | 2001 | Down to Earth | Woman in Audience | Cameo | [SEP] | 2001 | Rain | - | Short film | [SEP] | 2008 | The Love Guru | Lillian Roanoke | - | [SEP] | 2013 | Trancers: City of Lost Angels | Ruth ""Ruthie"" Raines | Short film | [SEP] | 2015 | Welcome to the Family | Deborah | Television film |","When and for which films did Telma Hopkins play the role of Ruth Ruthie Raines? She played Ruth Ruthie Raines in the film Trancers (1984) and its sequels Trancers II (1991), and Trancers III (1992)."
1,"[Wikipedia page title:Rafe Spall; Wikipedia section title:Film; ] [TAB] | Year | Title | Role | Notes | [SEP] | 2001 | Beginner's Luck | - | - | [SEP] | 2004 | Shaun of the Dead | Noel | - | [SEP] | 2004 | The Calcium Kid | Stan Parlour | - | [SEP] | 2005 | Green Street | Swill | - | [SEP] | 2005 | The Last Drop | Pvt. David Wellings | - | [SEP] | 2006 | Kidulthood | Lenny | - | [SEP] | 2006 | A Good Year | Kenny | - | [SEP] | 2007 | Hot Fuzz | D.C. Andy Cartwright | - | [SEP] | 2007 | Grindhouse | Featured Ghost | Segment: ""Don't"" | [SEP] | 2008 | Close | Eric | - | [SEP] | 2009 | The Scouting Book For Boys | Steve | - | [SEP] | 2009 | Modern Life Is Rubbish | Liam | - | [SEP] | 2010 | Behind the Door | Bobby | - | [SEP] | 2010 | Sus | D.C. Wilby | - | [SEP] | 2011 | Anonymous | William Shakespeare | - | [SEP] | 2011 | One Day | Ian Whitehead | - | [SEP] | 2012 | Prometheus | Millburn | - | [SEP] | 2012 | Life of Pi | Writer | - | [SEP] | 2012 | Earthbound | Joe Norman | - | [SEP] | 2013 | I Give It a Year | Josh Moss | - | [SEP] | 2013 | The World's End | Young Man | - | [SEP] | 2013 | The F Word | Ben | Also released as What If | [SEP] | 2014 | X+Y | Martin Humphreys | Nominated — BIFA Award for Best Supporting Actor | [SEP] | 2014 | Get Santa | Steve | - | [SEP] | 2015 | The Big Short | Danny Moses | Nominated – Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture | [SEP] | 2016 | The BFG | Mr. Tibbs | - | [SEP] | 2016 | Swallows and Amazons | Jim Turner / Captain Flint | - | [SEP] | 2016 | Mum's List | Singe | - | [SEP] | 2017 | The Ritual | Luke | - | [SEP] | 2018 | Jurassic World: Fallen Kingdom | Eli Mills | - | [SEP] | 2018 | Denmark | Herb | Post-production | [SEP] | 2019 | Men in Black: International | - | Post-production |","Which movie roles did Rafe Spall play in 2018? In 2018, Spall portrayed Eli Mills in Jurassic World: Fallen Kingdom and Herb in Denmark."
1,[Wikipedia page title:Passenger (Powderfinger song); Wikipedia section title:Awards; ] [TAB] | Year | Organisation | Ceremony | Award | Result | [SEP] | 1999 | Triple J | Hottest 100 | N/A | #100 | [SEP] | 2000 | APRA | APRA Awards | Song of the Year | Won | [SEP] | 2000 | ARIA | ARIA Music Awards | Best Cover Art | Nominated | [SEP] | 2000 | ARIA | ARIA Music Awards | Best Group | Nominated | [SEP] | 2000 | ARIA | ARIA Music Awards | Single of the Year | Nominated |,"What year was Passenger (Powderfinger song) nominated for Single of the Year, and what ceremony was he nominated at? Passenger (Powderfinger song) was nominated for Single of the year in 2000 at the ARIA Music Awards."
1,"[Wikipedia page title:Amor Ben Yahia; Wikipedia section title:Competition record; ] [TAB] | Year | Competition | Venue | Position | Event | Notes | [SEP] | Representing Tunisia | Representing Tunisia | Representing Tunisia | Representing Tunisia | Representing Tunisia | Representing Tunisia | [SEP] | 2009 | Arab Championships | Damascus, Syria | 4th | 3000 m s'chase | 8:50.21 | [SEP] | 2011 | World Championships | Daegu, South Korea | 19th (h) | 3000 m s'chase | 8:30.02 | [SEP] | 2011 | Pan Arab Games | Doha, Qatar | 4th | 3000 m s'chase | 8:47.18 | [SEP] | 2012 | Olympic Games | London, United Kingdom | 14th (h) | 3000 m s'chase | 8:22.70 | [SEP] | 2013 | Arab Championships | Doha, Qatar | 4th | 3000 m s'chase | 9:03.66 | [SEP] | 2013 | Mediterranean Games | Mersin, Turkey | 1st | 3000 m s'chase | 8:14.05 | [SEP] | 2014 | African Championships | Marrakech, Morocco | 5th | 3000 m s'chase | 8:44.61 | [SEP] | 2015 | Arab Championships | Isa Town, Bahrain | 3rd | 3000 m s'chase | 8:31.28 | [SEP] | 2015 | World Championships | Beijing, China | 21st (h) | 3000 m s'chase | 8:43.11 | [SEP] | 2015 | Military World Games | Mungyeong, South Korea | 1st | 3000 m s'chase | 8:24.68 | [SEP] | 2016 | Olympic Games | Rio de Janeiro, Brazil | 4th (h) | 3000 m s'chase | 8:23.121 | [SEP] | 2018 | Mediterranean Games | Tarragona, Spain | 2nd | 3000 m s'chase | 8:26.14 |",Amor Ben Yahia set a record in the ______ Amor Ben Yahia set a record in the 3000 m s'chase with 8:14.05 in Mersin in 2013.
1,"[Wikipedia page title:Love (Mika Nakashima album); Wikipedia section title:Oricon sales charts (Japan); ] [TAB] | Release | Chart | Peak Position | First Week Sales | Sales Total | Chart Run | [SEP] | November 6, 2003 | Oricon Daily Albums Chart | 1 | - | - | - | [SEP] | November 6, 2003 | Oricon Weekly Albums Chart | 1 | 437,218 | 1,447,681 | 100 weeks | [SEP] | November 6, 2003 | Oricon Daily Monthly Chart | 1 | - | - | - | [SEP] | November 6, 2003 | Oricon Yearly Albums Chart | 12 | - | - | - |","How did the Album Love in 2003 perform? The Love in 2003 Album chart in Japan has sold 1,447,681 copies, making it one of the best-selling album in Mika's career."
1,"[Wikipedia page title:Claire McCaskill; Wikipedia section title:U; ] [TAB] | Party | Party | Candidate | Votes | % | ± | [SEP] | - | Democratic | Claire McCaskill (Incumbent) | 1,484,683 | 54.7% | +5.1 | [SEP] | - | Republican | Todd Akin | 1,063,698 | 39.2% | 15.5 | [SEP] | - | Libertarian | Jonathan Dine | 164,991 | 6.1% | 45.1 |",Who was Claire McCaskill's republican opponent and what percentage of the vote did each of them receive? Claire McCaskill was elected with 54.7% of the vote to Akin's 39.2%.
1,[Wikipedia page title:Hawaii; Wikipedia section title:Ancestry; ] [TAB] | Racial composition | 1970 | 1990 | 2000 | 2010 | est. 2015 | [SEP] | White | 38.8% | 33.4% | 24.3% | 24.7% | 26.7% | [SEP] | Asian | 57.7% | 61.8% | 41.6% | 38.6% | 37.3% | [SEP] | Native Hawaiian and other Pacific Islander | 57.7% | 61.8% | 9.4% | 10.0% | 9.9% | [SEP] | Black | 1.0% | 2.5% | 1.8% | 1.6% | 2.6% | [SEP] | Native American and Alaskan native | 0.1% | 0.5% | 0.3% | 0.3% | 0.5% | [SEP] | Other race | 2.4% | 1.9% | 1.2% | 1.2% | — | [SEP] | Two or more races | – | – | 21.4% | 23.6% | 23.0% |,"Who are the majorities of the Hawaiian population back in 1970s? In 1970, Hawaii's population constitute 38.8% white and 57.7% Asian and Pacific Islander."
1,[Wikipedia page title:Harry Oscroft; Wikipedia section title:Statistics; ] [TAB] | Club | Season | Division | League | League | FA Cup | FA Cup | Total | Total | [SEP] | Club | Season | Division | Apps | Goals | Apps | Goals | Apps | Goals | [SEP] | Mansfield Town | 1946–47 | Third Division South | 12 | 3 | 0 | 0 | 12 | 3 | [SEP] | Mansfield Town | 1947–48 | Third Division North | 40 | 12 | 3 | 1 | 43 | 13 | [SEP] | Mansfield Town | 1948–49 | Third Division North | 38 | 14 | 3 | 3 | 41 | 17 | [SEP] | Mansfield Town | 1949–50 | Third Division North | 23 | 12 | 2 | 0 | 25 | 12 | [SEP] | Mansfield Town | Total | Total | 113 | 41 | 8 | 4 | 121 | 45 | [SEP] | Stoke City | 1949–50 | First Division | 16 | 3 | 0 | 0 | 16 | 3 | [SEP] | Stoke City | 1950–51 | First Division | 35 | 6 | 4 | 0 | 39 | 6 | [SEP] | Stoke City | 1951–52 | First Division | 40 | 10 | 4 | 0 | 44 | 10 | [SEP] | Stoke City | 1952–53 | First Division | 37 | 10 | 2 | 0 | 39 | 10 | [SEP] | Stoke City | 1953–54 | Second Division | 33 | 13 | 3 | 0 | 36 | 13 | [SEP] | Stoke City | 1954–55 | Second Division | 37 | 21 | 1 | 0 | 38 | 21 | [SEP] | Stoke City | 1955–56 | Second Division | 38 | 15 | 5 | 2 | 43 | 17 | [SEP] | Stoke City | 1956–57 | Second Division | 41 | 11 | 1 | 1 | 42 | 12 | [SEP] | Stoke City | 1957–58 | Second Division | 21 | 6 | 1 | 1 | 22 | 7 | [SEP] | Stoke City | 1958–59 | Second Division | 28 | 8 | 2 | 0 | 30 | 8 | [SEP] | Stoke City | Total | Total | 326 | 103 | 23 | 4 | 349 | 107 | [SEP] | Port Vale | 1959–60 | Third Division | 26 | 7 | 1 | 0 | 27 | 7 | [SEP] | Port Vale | 1960–61 | Third Division | 21 | 5 | 0 | 0 | 21 | 5 | [SEP] | Port Vale | Total | Total | 47 | 12 | 1 | 0 | 48 | 12 | [SEP] | Career Total | Career Total | Career Total | 486 | 156 | 32 | 8 | 518 | 164 |,"How many appearances did Harry Oscroft make before being traded to Port Vale, and what year did he go to Port Vale? Harry Oscroft made 349 appearances before he was traded to Port Vale in 1959."
